货箱编号,服务区编号,出现次数,架次编号,唯一覆盖通过
S001-FOD-01,S001,1,Q1-DP-001,True
S001-FOD-02,S001,1,Q1-DP-002,True
S001-FOD-03,S001,1,Q1-DP-002,True
S001-HYG-01,S001,1,Q1-DP-002,True
S001-HYG-02,S001,1,Q1-DP-002,True
S001-MED-01,S001,1,Q1-DP-002,True
S001-MED-02,S001,1,Q1-DP-002,True
S001-WAT-01,S001,1,Q1-DP-001,True
S001-WAT-02,S001,1,Q1-DP-001,True
S001-WAT-03,S001,1,Q1-DP-001,True
S001-WAT-04,S001,1,Q1-DP-001,True
S001-WAT-05,S001,1,Q1-DP-001,True
S001-WAT-06,S001,1,Q1-DP-002,True
S001-WAT-07,S001,1,Q1-DP-002,True
S001-WAT-08,S001,1,Q1-DP-002,True
S002-FOD-01,S002,1,Q1-DP-003,True
S002-FOD-02,S002,1,Q1-DP-004,True
S002-HYG-01,S002,1,Q1-DP-003,True
S002-MED-01,S002,1,Q1-DP-004,True
S002-WAT-01,S002,1,Q1-DP-003,True
S002-WAT-02,S002,1,Q1-DP-003,True
S002-WAT-03,S002,1,Q1-DP-003,True
S002-WAT-04,S002,1,Q1-DP-004,True
S003-FOD-01,S003,1,Q1-DP-005,True
S003-FOD-02,S003,1,Q1-DP-006,True
S003-HYG-01,S003,1,Q1-DP-005,True
S003-MED-01,S003,1,Q1-DP-006,True
S003-WAT-01,S003,1,Q1-DP-005,True
S003-WAT-02,S003,1,Q1-DP-005,True
S003-WAT-03,S003,1,Q1-DP-005,True
S003-WAT-04,S003,1,Q1-DP-006,True
S004-FOD-01,S004,1,Q1-DP-007,True
S004-HYG-01,S004,1,Q1-DP-007,True
S004-MED-01,S004,1,Q1-DP-007,True
S004-WAT-01,S004,1,Q1-DP-007,True
S004-WAT-02,S004,1,Q1-DP-007,True
S004-WAT-03,S004,1,Q1-DP-007,True
S005-FOD-01,S005,1,Q1-DP-008,True
S005-HYG-01,S005,1,Q1-DP-008,True
S005-MED-01,S005,1,Q1-DP-008,True
S005-WAT-01,S005,1,Q1-DP-008,True
S005-WAT-02,S005,1,Q1-DP-008,True
S005-WAT-03,S005,1,Q1-DP-008,True
S006-FOD-01,S006,1,Q1-DP-009,True
S006-HYG-01,S006,1,Q1-DP-009,True
S006-MED-01,S006,1,Q1-DP-009,True
S006-WAT-01,S006,1,Q1-DP-009,True
S006-WAT-02,S006,1,Q1-DP-009,True
S006-WAT-03,S006,1,Q1-DP-009,True
S007-FOD-01,S007,1,Q1-DP-010,True
S007-HYG-01,S007,1,Q1-DP-010,True
S007-MED-01,S007,1,Q1-DP-010,True
S007-WAT-01,S007,1,Q1-DP-010,True
S007-WAT-02,S007,1,Q1-DP-010,True
S008-FOD-01,S008,1,Q1-DP-011,True
S008-HYG-01,S008,1,Q1-DP-011,True
S008-MED-01,S008,1,Q1-DP-011,True
S008-WAT-01,S008,1,Q1-DP-011,True
S008-WAT-02,S008,1,Q1-DP-011,True
S009-FOD-01,S009,1,Q1-DP-012,True
S009-MED-01,S009,1,Q1-DP-012,True
S009-WAT-01,S009,1,Q1-DP-012,True
S010-FOD-01,S010,1,Q1-DP-013,True
S010-MED-01,S010,1,Q1-DP-013,True
S010-WAT-01,S010,1,Q1-DP-013,True
S011-FOD-01,S011,1,Q1-DP-014,True
S011-MED-01,S011,1,Q1-DP-014,True
S011-WAT-01,S011,1,Q1-DP-014,True
S012-FOD-01,S012,1,Q1-DP-015,True
S012-MED-01,S012,1,Q1-DP-015,True
S012-WAT-01,S012,1,Q1-DP-015,True
S013-FOD-01,S013,1,Q1-DP-016,True
S013-MED-01,S013,1,Q1-DP-016,True
S013-WAT-01,S013,1,Q1-DP-016,True
S014-FOD-01,S014,1,Q1-DP-017,True
S014-MED-01,S014,1,Q1-DP-017,True
S014-WAT-01,S014,1,Q1-DP-017,True
S015-FOD-01,S015,1,Q1-DP-018,True
S015-MED-01,S015,1,Q1-DP-018,True
S015-WAT-01,S015,1,Q1-DP-018,True
