架次编号,同服务区,质量约束,体积约束,能量/SOC约束,数值一致性与全部约束
Q1-DP-001,True,True,True,True,True
Q1-DP-002,True,True,True,True,True
Q1-DP-003,True,True,True,True,True
Q1-DP-004,True,True,True,True,True
Q1-DP-005,True,True,True,True,True
Q1-DP-006,True,True,True,True,True
Q1-DP-007,True,True,True,True,True
Q1-DP-008,True,True,True,True,True
Q1-DP-009,True,True,True,True,True
Q1-DP-010,True,True,True,True,True
Q1-DP-011,True,True,True,True,True
Q1-DP-012,True,True,True,True,True
Q1-DP-013,True,True,True,True,True
Q1-DP-014,True,True,True,True,True
Q1-DP-015,True,True,True,True,True
Q1-DP-016,True,True,True,True,True
Q1-DP-017,True,True,True,True,True
Q1-DP-018,True,True,True,True,True
