服务区编号,机型编号,组合计数,总质量（kg）,总体积（m³）,往返能耗（kWh）,临界安全余量,临界安全余量（%）,医疗物资箱数,饮用水箱数,应急食品箱数,生活卫生用品箱数
S003,C,"(0, 4, 2, 1)",78,0.199,7.1772714673,0.102841066588,10.2841066588,0,4,2,1
S002,C,"(0, 4, 2, 1)",78,0.199,7.14241040948,0.107198698814,10.7198698814,0,4,2,1
S003,C,"(1, 4, 2, 0)",75,0.176,6.90349898801,0.137062626499,13.7062626499,1,4,2,0
S002,C,"(1, 4, 2, 0)",75,0.176,6.86600011079,0.141749986152,14.1749986152,1,4,2,0
S003,C,"(1, 4, 1, 1)",73,0.183,6.74022575828,0.157471780215,15.7471780215,1,4,1,1
S002,C,"(1, 4, 1, 1)",73,0.183,6.70136076684,0.162329904145,16.2329904145,1,4,1,1
S003,C,"(0, 4, 2, 0)",72,0.164,6.66365842182,0.167042697273,16.7042697273,0,4,2,0
S002,C,"(0, 4, 2, 0)",72,0.164,6.62421376027,0.171973279966,17.1973279966,0,4,2,0
S003,C,"(0, 4, 1, 1)",70,0.171,6.51967503847,0.185040620192,18.5040620192,0,4,1,1
S002,C,"(0, 4, 1, 1)",70,0.171,6.47925767557,0.190092790554,19.0092790554,0,4,1,1
S003,C,"(1, 3, 2, 1)",67,0.184,6.32405773593,0.209492783009,20.9492783009,1,3,2,1
S003,C,"(1, 4, 1, 0)",67,0.148,6.32405773593,0.209492783009,20.9492783009,1,4,1,0
S008,B,"(0, 2, 0, 0)",28,0.054,3.14340878228,0.21414780443,21.414780443,0,2,0,0
S002,C,"(1, 3, 2, 1)",67,0.184,6.28259651399,0.214675435751,21.4675435751,1,3,2,1
S002,C,"(1, 4, 1, 0)",67,0.148,6.28259651399,0.214675435751,21.4675435751,1,4,1,0
S003,C,"(1, 4, 0, 1)",65,0.155,6.2055396231,0.224307547112,22.4307547112,1,4,0,1
S002,C,"(1, 4, 0, 1)",65,0.155,6.1636250593,0.229546867588,22.9546867588,1,4,0,1
S004,C,"(1, 3, 1, 1)",59,0.156,6.15293201891,0.230883497637,23.0883497637,1,3,1,1
S003,C,"(0, 3, 2, 1)",64,0.172,6.14947804377,0.231315244529,23.1315244529,0,3,2,1
S003,C,"(0, 4, 1, 0)",64,0.136,6.14947804377,0.231315244529,23.1315244529,0,4,1,0
S002,C,"(0, 3, 2, 1)",64,0.172,6.10740202098,0.236574747377,23.6574747377,0,3,2,1
S002,C,"(0, 4, 1, 0)",64,0.136,6.10740202098,0.236574747377,23.6574747377,0,4,1,0
S004,B,"(0, 2, 0, 0)",28,0.054,3.03535775581,0.241160561048,24.1160561048,0,2,0,0
S003,C,"(0, 4, 0, 1)",62,0.143,6.04321676308,0.244597904614,24.4597904614,0,4,0,1
S004,C,"(0, 3, 1, 1)",56,0.144,6.01475825989,0.248155217513,24.8155217513,0,3,1,1
S002,C,"(0, 4, 0, 1)",62,0.143,6.00093737425,0.249882828219,24.9882828219,0,4,0,1
S003,C,"(1, 3, 2, 0)",61,0.149,5.9928253857,0.250896826787,25.0896826787,1,3,2,0
S002,C,"(1, 3, 2, 0)",61,0.149,5.95050018061,0.256187477424,25.6187477424,1,3,2,0
S008,B,"(1, 1, 1, 0)",25,0.067,2.97207777335,0.256980556663,25.6980556663,1,1,1,0
S003,C,"(1, 3, 1, 1)",59,0.156,5.89708891752,0.26286388531,26.286388531,1,3,1,1
S003,C,"(1, 4, 0, 0)",59,0.12,5.89708891752,0.26286388531,26.286388531,1,4,0,0
S004,C,"(1, 3, 1, 0)",53,0.121,5.88954921489,0.263806348139,26.3806348139,1,3,1,0
S008,A,"(0, 1, 1, 0)",22,0.055,3.30515344481,0.265521456709,26.5521456709,0,1,1,0
S003,B,"(0, 2, 0, 0)",28,0.054,2.93642728285,0.265893179287,26.5893179287,0,2,0,0
S002,C,"(1, 3, 1, 1)",59,0.156,5.85477499798,0.268153125252,26.8153125252,1,3,1,1
S002,C,"(1, 4, 0, 0)",59,0.12,5.85477499798,0.268153125252,26.8153125252,1,4,0,0
S003,C,"(0, 3, 2, 0)",58,0.137,5.85158763239,0.268551545952,26.8551545952,0,3,2,0
S008,C,"(1, 2, 1, 1)",45,0.129,5.83226950788,0.270966311515,27.0966311515,1,2,1,1
S004,C,"(1, 3, 0, 1)",51,0.128,5.81248738155,0.273439077306,27.3439077306,1,3,0,1
S002,C,"(0, 3, 2, 0)",58,0.137,5.80932762912,0.273834046361,27.3834046361,0,3,2,0
S004,C,"(0, 3, 1, 0)",50,0.109,5.77572479644,0.278034400445,27.8034400445,0,3,1,0
S003,C,"(0, 3, 1, 1)",56,0.144,5.7649651152,0.2793793606,27.93793606,0,3,1,1
S003,C,"(0, 4, 0, 0)",56,0.108,5.7649651152,0.2793793606,27.93793606,0,4,0,0
S002,B,"(0, 2, 0, 0)",28,0.054,2.87150640311,0.282123399223,28.2123399223,0,2,0,0
S004,B,"(1, 1, 1, 0)",25,0.067,2.87128202221,0.282179494447,28.2179494447,1,1,1,0
S008,C,"(0, 2, 1, 1)",42,0.117,5.73920535002,0.282599331248,28.2599331248,0,2,1,1
S002,C,"(0, 3, 1, 1)",56,0.144,5.72290227483,0.284637215646,28.4637215646,0,3,1,1
S002,C,"(0, 4, 0, 0)",56,0.108,5.72290227483,0.284637215646,28.4637215646,0,4,0,0
S004,C,"(0, 3, 0, 1)",48,0.116,5.70550738131,0.286811577336,28.6811577336,0,3,0,1
S008,A,"(1, 1, 0, 0)",17,0.039,3.19672808297,0.289615981562,28.9615981562,1,1,0,0
S004,A,"(0, 1, 1, 0)",22,0.055,3.19112044975,0.290862122277,29.0862122277,0,1,1,0
S008,B,"(0, 1, 1, 0)",22,0.055,2.83606470226,0.290983824434,29.0983824434,0,1,1,0
S008,C,"(1, 2, 1, 0)",39,0.094,5.6539963561,0.293250455487,29.3250455487,1,2,1,0
S003,C,"(1, 2, 2, 1)",53,0.157,5.64504724249,0.294369094688,29.4369094688,1,2,2,1
S003,C,"(1, 3, 1, 0)",53,0.121,5.64504724249,0.294369094688,29.4369094688,1,3,1,0
S004,C,"(1, 2, 1, 1)",45,0.129,5.60783942826,0.299020071467,29.9020071467,1,2,1,1
S004,C,"(1, 3, 0, 0)",45,0.093,5.60783942826,0.299020071467,29.9020071467,1,3,0,0
S002,C,"(1, 2, 2, 1)",53,0.157,5.60348441898,0.299564447628,29.9564447628,1,2,2,1
S002,C,"(1, 3, 1, 0)",53,0.121,5.60348441898,0.299564447628,29.9564447628,1,3,1,0
S008,C,"(1, 2, 0, 1)",37,0.101,5.60118748304,0.29985156462,29.985156462,1,2,0,1
S008,A,"(0, 1, 0, 0)",14,0.027,3.14334808676,0.301478202941,30.1478202941,0,1,0,0
S008,C,"(0, 2, 1, 0)",36,0.082,5.57590954448,0.30301130694,30.301130694,0,2,1,0
S003,C,"(1, 3, 0, 1)",51,0.128,5.57113764946,0.303607793818,30.3607793818,1,3,0,1
S003,B,"(1, 1, 1, 0)",25,0.067,2.77991746797,0.305020633007,30.5020633007,1,1,1,0
S003,C,"(0, 2, 2, 1)",50,0.145,5.53584768955,0.308019038806,30.8019038806,0,2,2,1
S003,C,"(0, 3, 1, 0)",50,0.109,5.53584768955,0.308019038806,30.8019038806,0,3,1,0
S002,C,"(1, 3, 0, 1)",51,0.128,5.53003126659,0.308746091677,30.8746091677,1,3,0,1
S008,C,"(0, 2, 0, 1)",34,0.089,5.52749867372,0.309062665785,30.9062665785,0,2,0,1
S012,B,"(1, 1, 1, 0)",25,0.067,2.76050358237,0.309874104406,30.9874104406,1,1,1,0
S008,B,"(0, 1, 0, 1)",20,0.062,2.76040375234,0.309899061915,30.9899061915,0,1,0,1
S004,C,"(0, 2, 1, 1)",42,0.117,5.51850097939,0.310187377576,31.0187377576,0,2,1,1
S004,C,"(0, 3, 0, 0)",42,0.081,5.51850097939,0.310187377576,31.0187377576,0,3,0,0
S008,A,"(1, 0, 1, 0)",11,0.04,3.09774072955,0.311613171212,31.1613171212,1,0,1,0
S002,C,"(0, 2, 2, 1)",50,0.145,5.49500348104,0.31312456487,31.312456487,0,2,2,1
S002,C,"(0, 3, 1, 0)",50,0.109,5.49500348104,0.31312456487,31.312456487,0,3,1,0
S004,A,"(1, 1, 0, 0)",17,0.039,3.08679942441,0.314044572352,31.4044572352,1,1,0,0
S003,A,"(0, 1, 1, 0)",22,0.055,3.08359276854,0.314757162548,31.4757162548,0,1,1,0
S004,B,"(0, 1, 1, 0)",22,0.055,2.7409315087,0.314767122826,31.4767122826,0,1,1,0
S003,C,"(0, 3, 0, 1)",48,0.116,5.46838193221,0.316452258473,31.6452258473,0,3,0,1
S008,A,"(1, 0, 0, 1)",9,0.047,3.0714349758,0.317458894268,31.7458894268,1,0,0,1
S008,C,"(1, 1, 1, 1)",31,0.102,5.45995627679,0.317505465401,31.7505465401,1,1,1,1
S008,C,"(1, 2, 0, 0)",31,0.066,5.45995627679,0.317505465401,31.7505465401,1,2,0,0
S012,A,"(0, 1, 1, 0)",22,0.055,3.06691201551,0.318463996554,31.8463996554,0,1,1,0
S008,A,"(0, 0, 1, 0)",8,0.028,3.05949443131,0.320112348597,32.0112348597,0,0,1,0
S004,C,"(1, 2, 1, 0)",39,0.094,5.43666345353,0.320417068308,32.0417068308,1,2,1,0
S003,C,"(1, 2, 2, 0)",47,0.122,5.43612722502,0.320484096873,32.0484096873,1,2,2,0
S002,B,"(1, 1, 1, 0)",25,0.067,2.71475031918,0.321312420204,32.1312420204,1,1,1,0
S002,C,"(0, 3, 0, 1)",48,0.116,5.42812558518,0.321484301852,32.1484301852,0,3,0,1
S008,A,"(0, 0, 0, 1)",6,0.035,3.038072311,0.324872819778,32.4872819778,0,0,0,1
S008,C,"(0, 1, 1, 1)",28,0.09,5.3980989728,0.3252376284,32.52376284,0,1,1,1
S008,C,"(0, 2, 0, 0)",28,0.054,5.3980989728,0.3252376284,32.52376284,0,2,0,0
S002,C,"(1, 2, 2, 0)",47,0.122,5.39619495576,0.32547563053,32.547563053,1,2,2,0
S004,A,"(0, 1, 0, 0)",14,0.027,3.03535551772,0.325476551617,32.5476551617,0,1,0,0
S004,C,"(1, 2, 0, 1)",37,0.101,5.38592196932,0.326759753835,32.6759753835,1,2,0,1
S003,C,"(1, 2, 1, 1)",45,0.129,5.374393257,0.328200842875,32.8200842875,1,2,1,1
S003,C,"(1, 3, 0, 0)",45,0.093,5.374393257,0.328200842875,32.8200842875,1,3,0,0
S002,A,"(0, 1, 1, 0)",22,0.055,3.02007894203,0.328871346215,32.8871346215,0,1,1,0
S004,C,"(0, 2, 1, 0)",36,0.082,5.361626924,0.3297966345,32.97966345,0,2,1,0
S008,A,"(1, 0, 0, 0)",3,0.012,3.01252071538,0.330550952137,33.0550952137,1,0,0,0
S003,C,"(0, 2, 2, 0)",44,0.11,5.34484761691,0.331894047887,33.1894047887,0,2,2,0
S008,C,"(1, 1, 1, 0)",25,0.067,5.3415465399,0.332306682513,33.2306682513,1,1,1,0
S004,B,"(0, 1, 0, 1)",20,0.062,2.66836849785,0.332907875537,33.2907875537,0,1,0,1
S002,C,"(1, 2, 1, 1)",45,0.129,5.335165748,0.333104281499,33.3104281499,1,2,1,1
S002,C,"(1, 3, 0, 0)",45,0.093,5.335165748,0.333104281499,33.3104281499,1,3,0,0
S008,B,"(1, 1, 0, 0)",17,0.039,2.66471351173,0.333821622068,33.3821622068,1,1,0,0
S004,A,"(1, 0, 1, 0)",11,0.04,2.99133373068,0.33525917096,33.525917096,1,0,1,0
S004,C,"(0, 2, 0, 1)",34,0.089,5.31508510728,0.33561436159,33.561436159,0,2,0,1
S003,B,"(0, 1, 1, 0)",22,0.055,2.65515904092,0.336210239771,33.6210239771,0,1,1,0
S008,C,"(1, 1, 0, 1)",23,0.074,5.30663856163,0.336670179796,33.6670179796,1,1,0,1
S002,C,"(0, 2, 2, 0)",44,0.11,5.30599943661,0.336750070423,33.6750070423,0,2,2,0
S003,A,"(1, 1, 0, 0)",17,0.039,2.9819824555,0.337337232111,33.7337232111,1,1,0,0
S008,C,"(0, 1, 1, 0)",22,0.055,5.28999425756,0.338750717806,33.8750717806,0,1,1,0
S003,C,"(0, 2, 1, 1)",42,0.117,5.28824658598,0.338969176752,33.8969176752,0,2,1,1
S003,C,"(0, 3, 0, 0)",42,0.081,5.28824658598,0.338969176752,33.8969176752,0,3,0,0
S012,A,"(1, 1, 0, 0)",17,0.039,2.9662138933,0.340841357044,34.0841357044,1,1,0,0
S004,A,"(1, 0, 0, 1)",9,0.047,2.96590016606,0.340911074208,34.0911074208,1,0,0,1
S012,B,"(0, 1, 1, 0)",22,0.055,2.63517428937,0.341206427657,34.1206427657,0,1,1,0
S003,A,"(0, 0, 2, 0)",16,0.056,2.96434712771,0.341256193842,34.1256193842,0,0,2,0
S008,C,"(0, 1, 0, 1)",20,0.062,5.25828683151,0.342714146061,34.2714146061,0,1,0,1
S004,A,"(0, 0, 1, 0)",8,0.028,2.95434104412,0.343479767973,34.3479767973,0,0,1,0
S002,C,"(0, 2, 1, 1)",42,0.117,5.25020785126,0.343724018593,34.3724018593,0,2,1,1
S002,C,"(0, 3, 0, 0)",42,0.081,5.25020785126,0.343724018593,34.3724018593,0,3,0,0
S004,C,"(1, 1, 1, 1)",31,0.102,5.25011747553,0.343735315559,34.3735315559,1,1,1,1
S004,C,"(1, 2, 0, 0)",31,0.066,5.25011747553,0.343735315559,34.3735315559,1,2,0,0
S004,A,"(0, 0, 0, 1)",6,0.035,2.93357087784,0.34809536048,34.809536048,0,0,0,1
S008,C,"(1, 0, 1, 1)",17,0.075,5.214593021,0.348175872375,34.8175872375,1,0,1,1
S008,C,"(1, 1, 0, 0)",17,0.039,5.214593021,0.348175872375,34.8175872375,1,1,0,0
S003,A,"(0, 1, 0, 0)",14,0.027,2.93151247695,0.348552782899,34.8552782899,0,1,0,0
S003,C,"(1, 1, 2, 1)",39,0.13,5.20916183228,0.348854770965,34.8854770965,1,1,2,1
S003,C,"(1, 2, 1, 0)",39,0.094,5.20916183228,0.348854770965,34.8854770965,1,2,1,0
S002,A,"(1, 1, 0, 0)",17,0.039,2.92130583828,0.350820924827,35.0820924827,1,1,0,0
S004,C,"(0, 1, 1, 1)",28,0.09,5.19057855854,0.351177680183,35.1177680183,0,1,1,1
S004,C,"(0, 2, 0, 0)",28,0.054,5.19057855854,0.351177680183,35.1177680183,0,2,0,0
S012,A,"(0, 1, 0, 0)",14,0.027,2.91647521176,0.351894397388,35.1894397388,0,1,0,0
S002,B,"(0, 1, 1, 0)",22,0.055,2.59039318677,0.352401703308,35.2401703308,0,1,1,0
S008,C,"(0, 0, 1, 1)",14,0.063,5.17546099603,0.353067375497,35.3067375497,0,0,1,1
S008,C,"(0, 1, 0, 0)",14,0.027,5.17546099603,0.353067375497,35.3067375497,0,1,0,0
S008,B,"(0, 0, 1, 1)",14,0.063,2.58643001121,0.353392497198,35.3392497198,0,0,1,1
S008,B,"(0, 1, 0, 0)",14,0.027,2.58643001121,0.353392497198,35.3392497198,0,1,0,0
S002,C,"(1, 1, 2, 1)",39,0.13,5.17245589832,0.35344301271,35.344301271,1,1,2,1
S002,C,"(1, 2, 1, 0)",39,0.094,5.17245589832,0.35344301271,35.344301271,1,2,1,0
S004,A,"(1, 0, 0, 0)",3,0.012,2.90870040639,0.353622131914,35.3622131914,1,0,0,0
S003,B,"(0, 1, 0, 1)",20,0.062,2.58548496829,0.353628757928,35.3628757928,0,1,0,1
S002,A,"(0, 0, 2, 0)",16,0.056,2.9042927478,0.354601611599,35.4601611599,0,0,2,0
S003,C,"(1, 2, 0, 1)",37,0.101,5.16003214019,0.354995982476,35.4995982476,1,2,0,1
S004,B,"(1, 1, 0, 0)",17,0.039,2.57652239355,0.355869401612,35.5869401612,1,1,0,0
S008,C,"(1, 0, 1, 0)",11,0.04,5.14089869602,0.357387662997,35.7387662997,1,0,1,0
S003,C,"(0, 1, 2, 1)",36,0.118,5.13648003374,0.357939995783,35.7939995783,0,1,2,1
S003,C,"(0, 2, 1, 0)",36,0.082,5.13648003374,0.357939995783,35.7939995783,0,2,1,0
S004,C,"(1, 1, 1, 0)",25,0.067,5.13610528115,0.357986839857,35.7986839857,1,1,1,0
S003,A,"(1, 0, 1, 0)",11,0.04,2.88803022447,0.358215505673,35.8215505673,1,0,1,0
S002,C,"(1, 2, 0, 1)",37,0.101,5.12428802837,0.359463996453,35.9463996453,1,2,0,1
S008,C,"(1, 0, 0, 1)",9,0.047,5.12046477664,0.35994190292,35.994190292,1,0,0,1
S008,C,"(0, 0, 1, 0)",8,0.028,5.11106307209,0.361117115989,36.1117115989,0,0,1,0
S012,A,"(1, 0, 1, 0)",11,0.04,2.87384674043,0.361367391015,36.1367391015,1,0,1,0
S003,B,"(1, 0, 2, 0)",19,0.068,2.55402105265,0.361494736838,36.1494736838,1,0,2,0
S002,A,"(0, 1, 0, 0)",14,0.027,2.87275225354,0.361610610323,36.1610610323,0,1,0,0
S004,C,"(1, 1, 0, 1)",23,0.074,5.10245742282,0.362192822147,36.2192822147,1,1,0,1
S002,C,"(0, 1, 2, 1)",36,0.118,5.10123748763,0.362345314046,36.2345314046,0,1,2,1
S002,C,"(0, 2, 1, 0)",36,0.082,5.10123748763,0.362345314046,36.2345314046,0,2,1,0
S008,C,"(0, 0, 0, 1)",6,0.035,5.09398644576,0.363251694279,36.3251694279,0,0,0,1
S003,C,"(0, 2, 0, 1)",34,0.089,5.09130421566,0.363586973042,36.3586973042,0,2,0,1
S003,A,"(1, 0, 0, 1)",9,0.047,2.86272725814,0.363838387079,36.3838387079,1,0,0,1
S004,C,"(0, 1, 1, 0)",22,0.055,5.0864066647,0.364199166913,36.4199166913,0,1,1,0
S008,C,"(1, 0, 0, 0)",3,0.012,5.07322096212,0.365847379734,36.5847379734,1,0,0,0
S003,C,"(1, 1, 2, 0)",33,0.095,5.0696449037,0.366294387038,36.6294387038,1,1,2,0
S003,A,"(0, 0, 1, 0)",8,0.028,2.85116568108,0.366407626427,36.6407626427,0,0,1,0
S002,C,"(0, 2, 0, 1)",34,0.089,5.05710413023,0.367861983722,36.7861983722,0,2,0,1
S004,C,"(0, 1, 0, 1)",20,0.062,5.05581502467,0.368023121916,36.8023121916,0,1,0,1
S012,A,"(0, 0, 1, 0)",8,0.028,2.83795197653,0.369344005216,36.9344005216,0,0,1,0
S008,B,"(1, 0, 1, 0)",11,0.04,2.5224383525,0.369390411875,36.9390411875,1,0,1,0
S002,B,"(0, 1, 0, 1)",20,0.062,2.52126193744,0.36968451564,36.968451564,0,1,0,1
S002,C,"(1, 1, 2, 0)",33,0.095,5.03598498717,0.370501876604,37.0501876604,1,1,2,0
S002,A,"(1, 0, 1, 0)",11,0.04,2.83132890826,0.370815798165,37.0815798165,1,0,1,0
S003,A,"(0, 0, 0, 1)",6,0.035,2.83025317888,0.371054849137,37.1054849137,0,0,0,1
S003,C,"(1, 1, 1, 1)",31,0.102,5.02810201362,0.371487248297,37.1487248297,1,1,1,1
S003,C,"(1, 2, 0, 0)",31,0.066,5.02810201362,0.371487248297,37.1487248297,1,2,0,0
S004,C,"(1, 0, 1, 1)",17,0.075,5.01362048994,0.373297438757,37.3297438757,1,0,1,1
S004,C,"(1, 1, 0, 0)",17,0.039,5.01362048994,0.373297438757,37.3297438757,1,1,0,0
S003,C,"(0, 1, 2, 0)",30,0.083,5.00818870637,0.373976411703,37.3976411703,0,1,2,0
S004,B,"(0, 0, 1, 1)",14,0.063,2.50129804511,0.374675488722,37.4675488722,0,0,1,1
S004,B,"(0, 1, 0, 0)",14,0.027,2.50129804511,0.374675488722,37.4675488722,0,1,0,0
S002,C,"(1, 1, 1, 1)",31,0.102,4.99555865066,0.375555168668,37.5555168668,1,1,1,1
S002,C,"(1, 2, 0, 0)",31,0.066,4.99555865066,0.375555168668,37.5555168668,1,2,0,0
S003,B,"(1, 1, 0, 0)",17,0.039,2.49697740711,0.375755648221,37.5755648221,1,1,0,0
S002,A,"(1, 0, 0, 1)",9,0.047,2.80747370574,0.376116954279,37.6116954279,1,0,0,1
S003,A,"(1, 0, 0, 0)",3,0.012,2.80480137504,0.376710805546,37.6710805546,1,0,0,0
S002,B,"(1, 0, 2, 0)",19,0.068,2.49013822762,0.377465443095,37.7465443095,1,0,2,0
S002,C,"(0, 1, 2, 0)",30,0.083,4.97622112176,0.37797235978,37.797235978,0,1,2,0
S004,C,"(0, 0, 1, 1)",14,0.063,4.97578201988,0.378027247515,37.8027247515,0,0,1,1
S004,C,"(0, 1, 0, 0)",14,0.027,4.97578201988,0.378027247515,37.8027247515,0,1,0,0
S008,B,"(1, 0, 0, 1)",9,0.047,2.48668507067,0.378328732333,37.8328732333,1,0,0,1
