架次编号,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,往返时间（s）,架次能耗（kWh）,返航SOC（%）,载质量利用率（%）,体积利用率（%）
Q1-DP-001,S001,C,S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-FOD-01,78,0.163,1494.16907733,2.99576926272,62.552884216,97.5,65.2
Q1-DP-002,S001,C,S001-MED-01;S001-MED-02;S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02,76,0.231,1692.16907733,2.91758230758,63.5302211552,95,92.4
Q1-DP-003,S002,C,S002-WAT-01;S002-WAT-02;S002-WAT-03;S002-FOD-01;S002-HYG-01,56,0.144,2045.88726885,5.72290227483,28.4637215646,70,57.6
Q1-DP-004,S002,B,S002-MED-01;S002-WAT-04;S002-FOD-02,25,0.067,1820.01457598,2.71475031918,32.1312420204,83.3333333333,91.7808219178
Q1-DP-005,S003,C,S003-WAT-01;S003-WAT-02;S003-WAT-03;S003-FOD-01;S003-HYG-01,56,0.144,2370.0913496,5.7649651152,27.93793606,70,57.6
Q1-DP-006,S003,B,S003-MED-01;S003-WAT-04;S003-FOD-02,25,0.067,2080.52330354,2.77991746797,30.5020633007,83.3333333333,91.7808219178
Q1-DP-007,S004,C,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,59,0.156,2301.05669248,6.15293201891,23.0883497637,73.75,62.4
Q1-DP-008,S005,C,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,59,0.156,1877.19052453,4.22219285951,47.2225892562,73.75,62.4
Q1-DP-009,S006,C,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,59,0.156,1565.72565141,2.59973167683,67.5033540396,73.75,62.4
Q1-DP-010,S007,C,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,45,0.129,1889.30959698,3.40380040644,57.4524949195,56.25,51.6
Q1-DP-011,S008,C,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,45,0.129,2190.07037812,5.83226950788,27.0966311515,56.25,51.6
Q1-DP-012,S009,B,S009-MED-01;S009-WAT-01;S009-FOD-01,25,0.067,1558.44173309,2.09623373443,47.5941566393,83.3333333333,91.7808219178
Q1-DP-013,S010,B,S010-MED-01;S010-WAT-01;S010-FOD-01,25,0.067,1555.37956583,1.82319569809,54.4201075478,83.3333333333,91.7808219178
Q1-DP-014,S011,B,S011-MED-01;S011-WAT-01;S011-FOD-01,25,0.067,1188.42047224,1.07395176544,73.1512058641,83.3333333333,91.7808219178
Q1-DP-015,S012,B,S012-MED-01;S012-WAT-01;S012-FOD-01,25,0.067,1942.96475667,2.76050358237,30.9874104406,83.3333333333,91.7808219178
Q1-DP-016,S013,B,S013-MED-01;S013-WAT-01;S013-FOD-01,25,0.067,1501.04166918,1.82098723322,54.4753191695,83.3333333333,91.7808219178
Q1-DP-017,S014,B,S014-MED-01;S014-WAT-01;S014-FOD-01,25,0.067,1845.69785518,2.1307656272,46.7308593201,83.3333333333,91.7808219178
Q1-DP-018,S015,B,S015-MED-01;S015-WAT-01;S015-FOD-01,25,0.067,1828.27663743,2.30745282428,42.3136793929,83.3333333333,91.7808219178
