服务区编号,机型编号,旧安全载荷（kg）,严格GIS安全载荷（kg）,差值（kg）
S001,A,25,25,0
S001,B,30,30,0
S001,C,80,80,0
S002,A,25,25,0
S002,B,30,30,0
S002,C,68.5265605628,68.833419952,0.306859389217
S003,A,25,25,0
S003,B,30,30,0
S003,C,68.233975067,68.2064905552,-0.0274845117954
S004,A,25,25,0
S004,B,30,30,0
S004,C,63.2582140299,63.6969554511,0.438741421271
S005,A,25,25,0
S005,B,30,30,0
S005,C,80,80,0
S006,A,25,25,0
S006,B,30,30,0
S006,C,80,80,0
S007,A,25,25,0
S007,B,30,30,0
S007,C,80,80,0
S008,A,25,25,0
S008,B,28.6789102776,28.8477910068,0.168880729204
S008,C,58.5153960789,58.9841239402,0.468727861345
S009,A,25,25,0
S009,B,30,30,0
S009,C,80,80,0
S010,A,25,25,0
S010,B,30,30,0
S010,C,80,80,0
S011,A,25,25,0
S011,B,30,30,0
S011,C,80,80,0
S012,A,25,25,0
S012,B,30,30,0
S012,C,67.8452247001,67.9491383005,0.103913600357
S013,A,25,25,0
S013,B,30,30,0
S013,C,80,80,0
S014,A,25,25,0
S014,B,30,30,0
S014,C,80,80,0
S015,A,25,25,0
S015,B,30,30,0
S015,C,80,80,0
