临界安全余量,临界安全余量（%）,首先受影响服务区,安全载荷越过阈值的机型,失效原组批,变化前受影响组批,变化后新组批,架次数变化,能耗变化（kWh）,时间变化（h）,是否变为不可配送
0.230883497637,23.0883497637,S004,S004-C,"Q1-DP-007/C/59.0kg/[S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03,S004-FOD-01,S004-HYG-01]","S004: Q1-DP-007/C/59.0kg/[S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03,S004-FOD-01,S004-HYG-01]","S004: Q1-DP-007/C/34.0kg/[S004-WAT-01,S004-WAT-02,S004-HYG-01]；Q1-DP-008/B/25.0kg/[S004-MED-01,S004-WAT-03,S004-FOD-01]",1,2.03343511059,0.495456565851,否
0.270966311515,27.0966311515,S008,S008-C,"Q1-DP-012/C/45.0kg/[S008-MED-01,S008-WAT-01,S008-WAT-02,S008-FOD-01,S008-HYG-01]","S008: Q1-DP-012/C/45.0kg/[S008-MED-01,S008-WAT-01,S008-WAT-02,S008-FOD-01,S008-HYG-01]","S008: Q1-DP-012/C/31.0kg/[S008-MED-01,S008-WAT-01,S008-WAT-02]；Q1-DP-013/B/14.0kg/[S008-FOD-01,S008-HYG-01]",1,2.21411678012,0.489440024626,否
0.2793793606,27.93793606,S003,S003-C,"Q1-DP-005/C/56.0kg/[S003-WAT-01,S003-WAT-02,S003-WAT-03,S003-FOD-01,S003-HYG-01]","S003: Q1-DP-005/C/56.0kg/[S003-WAT-01,S003-WAT-02,S003-WAT-03,S003-FOD-01,S003-HYG-01]；Q1-DP-006/B/25.0kg/[S003-MED-01,S003-WAT-04,S003-FOD-02]","S003: Q1-DP-005/C/42.0kg/[S003-WAT-01,S003-WAT-02,S003-WAT-03]；Q1-DP-006/C/39.0kg/[S003-MED-01,S003-WAT-04,S003-FOD-01,S003-FOD-02,S003-HYG-01]",0,1.9525258351,0.0437689016837,否
0.282179494447,28.2179494447,S004,S004-B,"Q1-DP-008/B/25.0kg/[S004-MED-01,S004-WAT-03,S004-FOD-01]","S004: Q1-DP-007/C/34.0kg/[S004-WAT-01,S004-WAT-02,S004-HYG-01]；Q1-DP-008/B/25.0kg/[S004-MED-01,S004-WAT-03,S004-FOD-01]","S004: Q1-DP-007/C/42.0kg/[S004-WAT-01,S004-WAT-02,S004-FOD-01,S004-HYG-01]；Q1-DP-008/B/17.0kg/[S004-MED-01,S004-WAT-03]",0,-0.0913437565512,0.00166666666667,否
0.284637215646,28.4637215646,S002,S002-C,"Q1-DP-003/C/56.0kg/[S002-WAT-01,S002-WAT-02,S002-WAT-03,S002-FOD-01,S002-HYG-01]","S002: Q1-DP-003/C/56.0kg/[S002-WAT-01,S002-WAT-02,S002-WAT-03,S002-FOD-01,S002-HYG-01]；Q1-DP-004/B/25.0kg/[S002-MED-01,S002-WAT-04,S002-FOD-02]","S002: Q1-DP-003/C/42.0kg/[S002-WAT-01,S002-WAT-02,S002-WAT-03]；Q1-DP-004/C/39.0kg/[S002-MED-01,S002-WAT-04,S002-FOD-01,S002-FOD-02,S002-HYG-01]",0,1.98501115557,0.0260757480197,否
0.309874104406,30.9874104406,S012,S012-B,"Q1-DP-017/B/25.0kg/[S012-MED-01,S012-WAT-01,S012-FOD-01]","S012: Q1-DP-017/B/25.0kg/[S012-MED-01,S012-WAT-01,S012-FOD-01]","S012: Q1-DP-017/C/25.0kg/[S012-MED-01,S012-WAT-01,S012-FOD-01]",0,2.17010394341,0.0340129965323,否
0.310187377576,31.0187377576,S004,S004-C,"Q1-DP-007/C/42.0kg/[S004-WAT-01,S004-WAT-02,S004-FOD-01,S004-HYG-01]","S004: Q1-DP-007/C/42.0kg/[S004-WAT-01,S004-WAT-02,S004-FOD-01,S004-HYG-01]；Q1-DP-008/B/17.0kg/[S004-MED-01,S004-WAT-03]","S004: Q1-DP-007/C/39.0kg/[S004-MED-01,S004-WAT-01,S004-WAT-02,S004-FOD-01]；Q1-DP-008/B/20.0kg/[S004-WAT-03,S004-HYG-01]",0,0.0100085784441,0,否
0.317505465401,31.7505465401,S008,S008-C,"Q1-DP-012/C/31.0kg/[S008-MED-01,S008-WAT-01,S008-WAT-02]","S008: Q1-DP-012/C/31.0kg/[S008-MED-01,S008-WAT-01,S008-WAT-02]；Q1-DP-013/B/14.0kg/[S008-FOD-01,S008-HYG-01]","S008: Q1-DP-012/C/28.0kg/[S008-WAT-01,S008-FOD-01,S008-HYG-01]；Q1-DP-013/B/17.0kg/[S008-MED-01,S008-WAT-02]",0,0.0164261965297,0,否
0.320417068308,32.0417068308,S004,S004-C,"Q1-DP-007/C/39.0kg/[S004-MED-01,S004-WAT-01,S004-WAT-02,S004-FOD-01]","S004: Q1-DP-007/C/39.0kg/[S004-MED-01,S004-WAT-01,S004-WAT-02,S004-FOD-01]；Q1-DP-008/B/20.0kg/[S004-WAT-03,S004-HYG-01]","S004: Q1-DP-007/C/31.0kg/[S004-MED-01,S004-WAT-01,S004-FOD-01,S004-HYG-01]；Q1-DP-008/C/28.0kg/[S004-WAT-02,S004-WAT-03]",0,2.33566408267,0.0320591820611,否
0.3252376284,32.52376284,S008,S008-C,"Q1-DP-012/C/28.0kg/[S008-WAT-01,S008-FOD-01,S008-HYG-01]","S008: Q1-DP-012/C/28.0kg/[S008-WAT-01,S008-FOD-01,S008-HYG-01]；Q1-DP-013/B/17.0kg/[S008-MED-01,S008-WAT-02]","S008: Q1-DP-012/C/23.0kg/[S008-MED-01,S008-WAT-01,S008-HYG-01]；Q1-DP-013/C/22.0kg/[S008-WAT-02,S008-FOD-01]",0,2.53382033466,0.0272461915193,否
0.336670179796,33.6670179796,S008,S008-C,"Q1-DP-012/C/23.0kg/[S008-MED-01,S008-WAT-01,S008-HYG-01]","S008: Q1-DP-012/C/23.0kg/[S008-MED-01,S008-WAT-01,S008-HYG-01]；Q1-DP-013/C/22.0kg/[S008-WAT-02,S008-FOD-01]","S008: Q1-DP-012/C/22.0kg/[S008-WAT-01,S008-FOD-01]；Q1-DP-013/B/14.0kg/[S008-WAT-02]；Q1-DP-014/B/9.0kg/[S008-MED-01,S008-HYG-01]",1,-0.233523479757,0.463860499774,否
0.338750717806,33.8750717806,S008,S008-C,"Q1-DP-012/C/22.0kg/[S008-WAT-01,S008-FOD-01]","S008: Q1-DP-012/C/22.0kg/[S008-WAT-01,S008-FOD-01]；Q1-DP-013/B/14.0kg/[S008-WAT-02]；Q1-DP-014/B/9.0kg/[S008-MED-01,S008-HYG-01]","S008: Q1-DP-012/C/20.0kg/[S008-WAT-01,S008-HYG-01]；Q1-DP-013/B/14.0kg/[S008-WAT-02]；Q1-DP-014/B/11.0kg/[S008-MED-01,S008-FOD-01]",0,0.00404585579383,0,否
0.338969176752,33.8969176752,S003,S003-C,"Q1-DP-005/C/42.0kg/[S003-WAT-01,S003-WAT-02,S003-WAT-03]","S003: Q1-DP-005/C/42.0kg/[S003-WAT-01,S003-WAT-02,S003-WAT-03]；Q1-DP-006/C/39.0kg/[S003-MED-01,S003-WAT-04,S003-FOD-01,S003-FOD-02,S003-HYG-01]","S003: Q1-DP-005/C/34.0kg/[S003-WAT-01,S003-WAT-02,S003-HYG-01]；Q1-DP-006/C/28.0kg/[S003-WAT-03,S003-WAT-04]；Q1-DP-007/B/19.0kg/[S003-MED-01,S003-FOD-01,S003-FOD-02]",1,2.1179276506,0.522923139873,否
0.342714146061,34.2714146061,S008,S008-C,"Q1-DP-013/C/20.0kg/[S008-WAT-01,S008-HYG-01]","S008: Q1-DP-013/C/20.0kg/[S008-WAT-01,S008-HYG-01]；Q1-DP-014/B/14.0kg/[S008-WAT-02]；Q1-DP-015/B/11.0kg/[S008-MED-01,S008-FOD-01]","S008: Q1-DP-013/C/17.0kg/[S008-MED-01,S008-WAT-01]；Q1-DP-014/B/14.0kg/[S008-FOD-01,S008-HYG-01]；Q1-DP-015/B/14.0kg/[S008-WAT-02]",0,0.0202978481941,0,否
0.343724018593,34.3724018593,S002,S002-C,"Q1-DP-003/C/42.0kg/[S002-WAT-01,S002-WAT-02,S002-WAT-03]","S002: Q1-DP-003/C/42.0kg/[S002-WAT-01,S002-WAT-02,S002-WAT-03]；Q1-DP-004/C/39.0kg/[S002-MED-01,S002-WAT-04,S002-FOD-01,S002-FOD-02,S002-HYG-01]","S002: Q1-DP-003/C/39.0kg/[S002-MED-01,S002-WAT-01,S002-WAT-02,S002-FOD-01]；Q1-DP-004/B/22.0kg/[S002-WAT-03,S002-FOD-02]；Q1-DP-005/B/20.0kg/[S002-WAT-04,S002-HYG-01]",1,-0.138552727052,0.427817189752,否
0.343735315559,34.3735315559,S004,S004-C,"Q1-DP-009/C/31.0kg/[S004-MED-01,S004-WAT-01,S004-FOD-01,S004-HYG-01]","S004: Q1-DP-009/C/31.0kg/[S004-MED-01,S004-WAT-01,S004-FOD-01,S004-HYG-01]；Q1-DP-010/C/28.0kg/[S004-WAT-02,S004-WAT-03]","S004: Q1-DP-009/C/28.0kg/[S004-WAT-01,S004-WAT-02]；Q1-DP-010/B/17.0kg/[S004-MED-01,S004-WAT-03]；Q1-DP-011/B/14.0kg/[S004-FOD-01,S004-HYG-01]",1,-0.172297036864,0.465064050456,否
0.348175872375,34.8175872375,S008,S008-C,"Q1-DP-015/C/17.0kg/[S008-MED-01,S008-WAT-01]","S008: Q1-DP-015/C/17.0kg/[S008-MED-01,S008-WAT-01]；Q1-DP-016/B/14.0kg/[S008-FOD-01,S008-HYG-01]；Q1-DP-017/B/14.0kg/[S008-WAT-02]","S008: Q1-DP-015/B/14.0kg/[S008-WAT-01]；Q1-DP-016/B/14.0kg/[S008-WAT-02]；Q1-DP-017/B/9.0kg/[S008-MED-01,S008-HYG-01]；Q1-DP-018/B/8.0kg/[S008-FOD-01]",1,-0.257178472627,0.46552716644,否
0.351177680183,35.1177680183,S004,S004-C,"Q1-DP-009/C/28.0kg/[S004-WAT-01,S004-WAT-02]","S004: Q1-DP-009/C/28.0kg/[S004-WAT-01,S004-WAT-02]；Q1-DP-010/B/17.0kg/[S004-MED-01,S004-WAT-03]；Q1-DP-011/B/14.0kg/[S004-FOD-01,S004-HYG-01]","S004: Q1-DP-009/C/22.0kg/[S004-WAT-01,S004-FOD-01]；Q1-DP-010/C/20.0kg/[S004-WAT-02,S004-HYG-01]；Q1-DP-011/B/17.0kg/[S004-MED-01,S004-WAT-03]",0,2.45034508572,0.0320591820611,否
