区间编号,稳定区间,下界,上界,是否可行,最少架次数,累计作业时间（h）,总能耗（kWh）,组批签名
1,"[0.000000000%, 23.088349764%]",0,0.230883497637,是,18,9.09623060716,59.1199036821,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'B', (1, 1, 1, 0)), ('S002', 'C', (0, 3, 1, 1)), ('S003', 'B', (1, 1, 1, 0)), ('S003', 'C', (0, 3, 1, 1)), ('S004', 'C', (1, 3, 1, 1)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'C', (1, 2, 1, 1)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'B', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
2,"(23.088349764%, 27.096631151%]",0.230883497637,0.270966311515,是,19,9.59168717301,61.1533387927,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'B', (1, 1, 1, 0)), ('S002', 'C', (0, 3, 1, 1)), ('S003', 'B', (1, 1, 1, 0)), ('S003', 'C', (0, 3, 1, 1)), ('S004', 'B', (1, 1, 1, 0)), ('S004', 'C', (0, 2, 0, 1)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'C', (1, 2, 1, 1)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'B', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
3,"(27.096631151%, 27.937936060%]",0.270966311515,0.2793793606,是,20,10.0811271976,63.3674555728,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'B', (1, 1, 1, 0)), ('S002', 'C', (0, 3, 1, 1)), ('S003', 'B', (1, 1, 1, 0)), ('S003', 'C', (0, 3, 1, 1)), ('S004', 'B', (1, 1, 1, 0)), ('S004', 'C', (0, 2, 0, 1)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'B', (0, 0, 1, 1)), ('S008', 'C', (1, 2, 0, 0)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'B', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
4,"(27.937936060%, 28.217949445%]",0.2793793606,0.282179494447,是,20,10.1248960993,65.3199814079,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'B', (1, 1, 1, 0)), ('S002', 'C', (0, 3, 1, 1)), ('S003', 'C', (0, 3, 0, 0)), ('S003', 'C', (1, 1, 2, 1)), ('S004', 'B', (1, 1, 1, 0)), ('S004', 'C', (0, 2, 0, 1)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'B', (0, 0, 1, 1)), ('S008', 'C', (1, 2, 0, 0)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'B', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
5,"(28.217949445%, 28.463721565%]",0.282179494447,0.284637215646,是,20,10.126562766,65.2286376513,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'B', (1, 1, 1, 0)), ('S002', 'C', (0, 3, 1, 1)), ('S003', 'C', (0, 3, 0, 0)), ('S003', 'C', (1, 1, 2, 1)), ('S004', 'B', (1, 1, 0, 0)), ('S004', 'C', (0, 2, 1, 1)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'B', (0, 0, 1, 1)), ('S008', 'C', (1, 2, 0, 0)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'B', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
6,"(28.463721565%, 30.987410441%]",0.284637215646,0.309874104406,是,20,10.152638514,67.2136488069,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'C', (0, 3, 0, 0)), ('S002', 'C', (1, 1, 2, 1)), ('S003', 'C', (0, 3, 0, 0)), ('S003', 'C', (1, 1, 2, 1)), ('S004', 'B', (1, 1, 0, 0)), ('S004', 'C', (0, 2, 1, 1)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'B', (0, 0, 1, 1)), ('S008', 'C', (1, 2, 0, 0)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'B', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
7,"(30.987410441%, 31.018737758%]",0.309874104406,0.310187377576,是,20,10.1866515105,69.3837527503,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'C', (0, 3, 0, 0)), ('S002', 'C', (1, 1, 2, 1)), ('S003', 'C', (0, 3, 0, 0)), ('S003', 'C', (1, 1, 2, 1)), ('S004', 'B', (1, 1, 0, 0)), ('S004', 'C', (0, 2, 1, 1)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'B', (0, 0, 1, 1)), ('S008', 'C', (1, 2, 0, 0)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'C', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
8,"(31.018737758%, 31.750546540%]",0.310187377576,0.317505465401,是,20,10.1866515105,69.3937613288,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'C', (0, 3, 0, 0)), ('S002', 'C', (1, 1, 2, 1)), ('S003', 'C', (0, 3, 0, 0)), ('S003', 'C', (1, 1, 2, 1)), ('S004', 'B', (0, 1, 0, 1)), ('S004', 'C', (1, 2, 1, 0)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'B', (0, 0, 1, 1)), ('S008', 'C', (1, 2, 0, 0)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'C', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
9,"(31.750546540%, 32.041706831%]",0.317505465401,0.320417068308,是,20,10.1866515105,69.4101875253,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'C', (0, 3, 0, 0)), ('S002', 'C', (1, 1, 2, 1)), ('S003', 'C', (0, 3, 0, 0)), ('S003', 'C', (1, 1, 2, 1)), ('S004', 'B', (0, 1, 0, 1)), ('S004', 'C', (1, 2, 1, 0)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'B', (1, 1, 0, 0)), ('S008', 'C', (0, 1, 1, 1)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'C', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
10,"(32.041706831%, 32.523762840%]",0.320417068308,0.3252376284,是,20,10.2187106926,71.745851608,"(('S001', 'C', (0, 5, 1, 0)), ('S001', 'C', (2, 3, 2, 2)), ('S002', 'C', (0, 3, 0, 0)), ('S002', 'C', (1, 1, 2, 1)), ('S003', 'C', (0, 3, 0, 0)), ('S003', 'C', (1, 1, 2, 1)), ('S004', 'C', (0, 2, 0, 0)), ('S004', 'C', (1, 1, 1, 1)), ('S005', 'C', (1, 3, 1, 1)), ('S006', 'C', (1, 3, 1, 1)), ('S007', 'C', (1, 2, 1, 1)), ('S008', 'B', (1, 1, 0, 0)), ('S008', 'C', (0, 1, 1, 1)), ('S009', 'B', (1, 1, 1, 0)), ('S010', 'B', (1, 1, 1, 0)), ('S011', 'B', (1, 1, 1, 0)), ('S012', 'C', (1, 1, 1, 0)), ('S013', 'B', (1, 1, 1, 0)), ('S014', 'B', (1, 1, 1, 0)), ('S015', 'B', (1, 1, 1, 0)))"
