服务区编号,WGS84椭球水平距离（m）,Haversine水平距离（m）,距离差（m）,严格all_touched最高DEM（m）,旧密集采样最高DEM（m）,最高高程差（m）,最高像元行,最高像元列,最高像元经度,最高像元纬度,计划巡航海拔（m）,去程爬升（m）,去程下降（m）,返程爬升（m）,返程下降（m）
S001,3053.97884352,3063.41132629,-9.43248277041,223.056610107,223.056610107,0,721,741,109.23875,23.0243055556,273.056610107,145.356610107,89.0566101074,89.0566101074,145.356610107
S002,7411.31045508,7435.27851834,-23.9680632546,261.218078613,261.218078613,0,595,794,109.253472222,23.0593055556,311.218078613,183.518078613,91.7180786133,91.7180786133,183.518078613
S003,7263.17925656,7261.07557036,2.10368619182,511.804138184,511.804138184,0,726,610,109.202361111,23.0229166667,561.804138184,434.104138184,223.304138184,223.304138184,434.104138184
S004,7714.69644912,7745.6624415,-30.9659923844,348.23916626,348.23916626,0,587,733,109.236527778,23.0615277778,398.23916626,270.53916626,169.93916626,169.93916626,270.53916626
S005,5280.60693687,5302.02013115,-21.413194277,276.410888672,276.410888672,0,669,707,109.229305556,23.03875,326.410888672,198.710888672,131.410888672,131.410888672,198.710888672
S006,3186.20817841,3181.03330826,5.17487015776,318.415496826,318.415496826,0,780,611,109.202638889,23.0079166667,368.415496826,240.715496826,53.6154968262,53.6154968262,240.715496826
S007,4534.46056682,4533.82789799,0.632668828617,451.830474854,451.830474854,0,722,610,109.202361111,23.0240277778,501.830474854,374.130474854,153.330474854,153.330474854,374.130474854
S008,8079.03311242,8109.47318493,-30.4400725047,317.558868408,317.558868408,0,610,670,109.219027778,23.0551388889,367.558868408,239.858868408,96.6588684082,96.6588684082,239.858868408
S009,5705.14496228,5722.68039321,-17.5354309376,243.228912354,243.228912354,0,633,785,109.250972222,23.04875,293.228912354,165.528912354,63.2289123535,63.2289123535,165.528912354
S010,4784.49485164,4778.43990162,6.05495002266,385.636535645,385.636535645,0,745,850,109.269027778,23.0176388889,435.636535645,307.936535645,84.0365356445,84.0365356445,307.936535645
S011,2808.07423268,2817.15172515,-9.07749246996,245.361755371,245.361755371,0,713,683,109.222638889,23.0265277778,295.361755371,167.661755371,83.2617553711,83.2617553711,167.661755371
S012,7390.49168698,7398.44956129,-7.95787430949,377.090362549,377.090362549,0,637,872,109.275138889,23.0476388889,427.090362549,299.390362549,147.290362549,147.290362549,299.390362549
S013,4849.24237723,4848.70699991,0.535377320685,342.751831055,342.751831055,0,700,853,109.269861111,23.0301388889,392.751831055,265.051831055,41.0518310547,41.0518310547,265.051831055
S014,5419.60185821,5410.91709437,8.68476384374,525.543823242,525.543823242,0,788,878,109.276805556,23.0056944444,575.543823242,447.843823242,224.543823242,224.543823242,447.843823242
S015,6009.38297162,6019.11394854,-9.73097691775,521.799255371,521.799255371,0,666,608,109.201805556,23.0395833333,571.799255371,444.099255371,97.2992553711,97.2992553711,444.099255371
