服务区编号,机型编号,安全余量,最大安全载荷（kg）
S001,A,0.2,25
S001,B,0.2,30
S001,C,0.2,80
S002,A,0.2,25
S002,B,0.2,30
S002,C,0.2,68.833419952
S003,A,0.2,25
S003,B,0.2,30
S003,C,0.2,68.2064905552
S004,A,0.2,25
S004,B,0.2,30
S004,C,0.2,63.6969554511
S005,A,0.2,25
S005,B,0.2,30
S005,C,0.2,80
S006,A,0.2,25
S006,B,0.2,30
S006,C,0.2,80
S007,A,0.2,25
S007,B,0.2,30
S007,C,0.2,80
S008,A,0.2,25
S008,B,0.2,28.8477910068
S008,C,0.2,58.9841239402
S009,A,0.2,25
S009,B,0.2,30
S009,C,0.2,80
S010,A,0.2,25
S010,B,0.2,30
S010,C,0.2,80
S011,A,0.2,25
S011,B,0.2,30
S011,C,0.2,80
S012,A,0.2,25
S012,B,0.2,30
S012,C,0.2,67.9491383005
S013,A,0.2,25
S013,B,0.2,30
S013,C,0.2,80
S014,A,0.2,25
S014,B,0.2,30
S014,C,0.2,80
S015,A,0.2,25
S015,B,0.2,30
S015,C,0.2,80
