aircraft_id,trip_id,start_time_s,end_time_s,aircraft_model
U01,T005,0.0,1190.899502077302,A
U03,T017,0.0,1256.8774250806614,A
U02,T018,0.0,1652.5481242545018,A
U04,T024,0.0,2069.3144795679273,A
U05,T045,0.0,1150.6704858002063,B
U06,T054,0.0,1435.3795658311299,B
U08,T072,0.0,1536.7084110459734,C
U07,T076,0.0,1873.762462931023,C
U05,T028,1151.0,2240.100207293352,B
U01,T026,1191.0,2733.6830817519603,A
U06,T033,1436.0,3256.01457597737,B
U08,T074,1537.0,3005.058946195839,C
U02,T020,1653.0,3305.548124254502,A
U07,T073,1874.0,3807.411544184941,C
U04,T019,2070.0,3722.548124254502,A
U03,T008,2114.0,4061.0582578135095,A
U05,T057,2281.0,4006.697855183627,B
U01,T006,2734.0,3924.899502077302,A
U08,T068,3199.0,5125.070378124524,C
U06,T038,3257.0,5217.52330354347,B
U04,T010,3765.0,5967.6292787620205,A
U07,T070,3808.0,5320.5680372066,C
U01,T012,4346.0,6464.800185367184,A
U06,T039,5218.0,7178.52330354347,B
U07,T069,5321.0,7247.070378124524,C
U03,T016,5392.0,6648.877425080662,A
U05,T058,5480.0,7308.276637426976,B
U08,T064,5935.0,7906.0566924832,C
U06,T051,7179.0,9012.984088655123,B
U07,T071,7248.0,8760.5680372066,C
U05,T042,7309.0,8765.170228301822,B
U01,T022,7315.0,8477.022946657878,A
U03,T002,7509.0,8699.899502077302,A
U04,T007,7806.0,8996.899502077302,A
U08,T066,7907.0,9454.19052452578,C
U05,T040,8824.0,10784.52330354347,B
U06,T055,9013.0,10081.420472235157,B
U08,T065,9484.0,11031.19052452578,C
U04,T001,9543.0,10733.899502077302,A
U01,T023,9850.0,11012.022946657878,A
U06,T048,10145.0,11646.399438693967,B
U05,T037,10801.0,12761.52330354347,B
U08,T062,11032.0,13138.091349604669,C
U07,T061,11213.0,12994.887268848464,C
U06,T052,11647.0,13085.44173308876,B
U01,T011,11841.0,14043.62927876202,A
U05,T056,12762.0,14584.964756668664,B
U07,T063,12995.0,14966.0566924832,C
U06,T046,13086.0,14236.670485800207,B
U08,T060,13139.0,14303.16907732916,C
U06,T049,14508.0,16009.399438693967,B
U05,T041,14585.0,16446.64363706328,B
U08,T059,15096.0,16260.16907732916,C
U01,T009,15391.0,17593.629278762022,A
U06,T031,16247.0,17336.10020729335,B
U08,T075,16261.0,18134.762462931023,C
U05,T050,16447.0,18280.984088655125,B
U06,T047,17348.0,18498.670485800205,B
U05,T036,18281.0,19981.01457597737,B
U06,T030,18499.0,19588.10020729335,B
U01,T013,18918.0,21036.800185367185,A
U07,T067,19327.0,20562.72565140893,C
U05,T035,19982.0,21682.01457597737,B
U06,T032,20007.0,21096.10020729335,B
U05,T034,21683.0,23383.01457597737,B
U01,T014,22414.0,24532.800185367185,A
U06,T027,23374.0,24463.10020729335,B
U05,T044,25548.0,27004.170228301824,B
U01,T021,25910.0,28013.285192402564,A
U05,T043,28417.0,29873.170228301824,B
U01,T015,29398.0,31030.190459530924,A
U05,T053,31245.0,32680.37956583113,B
U01,T025,32134.0,33676.68308175196,A
U05,T029,34005.0,35094.100207293355,B
U04,T003,34717.0,35907.8995020773,A
U04,T004,36749.0,37939.8995020773,A
