battery_id,trip_id,flight_start_time_s,return_time_s,ready_time_s,charge_duration_s,aircraft_model
BA04,T005,0.0,1190.899502077302,2028.2623810408613,837.3628789635593,A
BA06,T017,0.0,1256.8774250806614,2112.9484218491066,856.0709967684452,A
BA02,T018,0.0,1652.5481242545018,2676.6312414146887,1024.083117160187,A
BA03,T024,0.0,2069.3144795679273,3376.316415387979,1307.0019358200516,A
BB01,T045,0.0,1150.6704858002063,2279.9364161707717,1129.2659303705655,B
BB04,T054,0.0,1435.3795658311299,2790.138152234268,1354.7585864031382,B
BC01,T072,0.0,1536.7084110459734,3198.0543251418735,1661.3459140959,C
BC02,T076,0.0,1873.762462931023,3661.6891055432634,1787.9266426122404,C
BB02,T028,1151.0,2240.100207293352,3313.180272900845,1073.080065607493,B
BA05,T026,1191.0,2733.6830817519603,3764.415477824254,1030.7323960722938,A
BB03,T033,1436.0,3256.01457597737,5099.073047623964,1843.0584716465942,B
BC04,T074,1537.0,3005.058946195839,4688.9184137049715,1683.8594675091326,C
BA01,T020,1653.0,3305.548124254502,4344.798697254831,1039.2505730003286,A
BC03,T073,1874.0,3807.411544184941,5934.0681002956,2126.656556110659,C
BA04,T019,2070.0,3722.548124254502,4737.705462092231,1015.1573378377288,A
BA06,T008,2114.0,4061.0582578135095,5390.964464393146,1329.9062065796365,A
BB01,T057,2281.0,4006.697855183627,5479.415784485636,1472.7179293020095,B
BA02,T006,2734.0,3924.899502077302,4777.206937257087,852.307435179785,A
BC01,T068,3199.0,5125.070378124524,7332.401055366448,2207.3306772419246,C
BB04,T038,3257.0,5217.52330354347,6875.716457244135,1658.1931537006649,B
BA05,T010,3765.0,5967.6292787620205,7314.510660992972,1346.8813822309512,A
BC02,T070,3808.0,5320.5680372066,7123.524599412875,1802.9565622062755,C
BA01,T012,4346.0,6464.800185367184,7805.091413878796,1340.2912285116117,A
BB02,T039,5218.0,7178.52330354347,8822.835608693355,1644.3123051498842,B
BC04,T069,5321.0,7247.070378124524,9482.09106454829,2235.020686423767,C
BA06,T016,5392.0,6648.877425080662,7508.3388524918755,859.4614274112137,A
BB01,T058,5480.0,7308.276637426976,8974.839527950082,1666.562890523106,B
BC03,T064,5935.0,7906.0566924832,10086.997656201545,2180.9409637183453,C
BB03,T051,7179.0,9012.984088655123,10800.437093512455,1787.4530048573324,B
BC02,T071,7248.0,8760.5680372066,10583.034938189718,1822.4669009831177,C
BB04,T042,7309.0,8765.170228301822,10143.92775114435,1378.7575228425285,B
BA05,T022,7315.0,8477.022946657878,9295.218808706662,818.195862048784,A
BA06,T002,7509.0,8699.899502077302,9542.691049332823,842.7915472555214,A
BA01,T007,7806.0,8996.899502077302,9849.206937257088,852.3074351797859,A
BC01,T066,7907.0,9454.19052452578,11212.188119563438,1757.9975950376574,C
BB02,T040,8824.0,10784.52330354347,12501.641442464266,1717.118138920796,B
BB01,T055,9013.0,10081.420472235157,11125.715854734557,1044.2953824994001,B
BC04,T065,9484.0,11031.19052452578,12770.616585834705,1739.4260613089245,C
BA06,T001,9543.0,10733.899502077302,11576.691049332823,842.7915472555214,A
BA01,T023,9850.0,11012.022946657878,11839.191589325923,827.1686426680444,A
BB04,T048,10145.0,11646.399438693967,12945.575025609049,1299.175586915082,B
BB03,T037,10801.0,12761.52330354347,14431.417795980986,1669.8944924375155,B
BC02,T062,11032.0,13138.091349604669,15260.125513897407,2122.034164292738,C
BC01,T061,11213.0,12994.887268848464,15095.363046151528,2100.4757773030633,C
BB01,T052,11647.0,13085.44173308876,14507.16834024071,1421.7266071519498,B
BA01,T011,11841.0,14043.62927876202,15390.510660992972,1346.8813822309512,A
BB02,T056,12762.0,14584.964756668664,16246.884353328776,1661.9195966601128,B
BC03,T063,12995.0,14966.0566924832,17130.08787131831,2164.031178835108,C
BB04,T046,13086.0,14236.670485800207,15365.936416170773,1129.265930370566,B
BC04,T060,13139.0,14303.16907732916,15674.824308406398,1371.6552310772386,C
BB01,T049,14508.0,16009.399438693967,17346.71528006476,1337.3158413707934,B
BB03,T041,14585.0,16446.64363706328,18137.118154655025,1690.474517591745,B
BC01,T059,15096.0,16260.16907732916,17631.824308406398,1371.6552310772386,C
BA01,T009,15391.0,17593.629278762022,18917.29936440738,1323.6700856453572,A
BB02,T031,16247.0,17336.10020729335,18439.122622359497,1103.0224150661452,B
BC04,T075,16261.0,18134.762462931023,19931.034921321214,1796.2724583901909,C
BB04,T050,16447.0,18280.984088655125,20006.08156188485,1725.0974732297254,B
BB01,T047,17348.0,18498.670485800205,19627.93641617077,1129.265930370566,B
BB03,T036,18281.0,19981.01457597737,21671.42957740203,1690.4150014246588,B
BB02,T030,18499.0,19588.10020729335,20691.122622359497,1103.0224150661452,B
BA01,T013,18918.0,21036.800185367185,22413.680668264693,1376.880482897508,A
BC01,T067,19327.0,20562.72565140893,21954.755733194175,1392.030081785244,C
BB01,T035,19982.0,21682.01457597737,23372.42957740203,1690.4150014246588,B
BB04,T032,20007.0,21096.10020729335,22199.122622359497,1103.0224150661452,B
BB03,T034,21683.0,23383.01457597737,25016.706770763853,1633.692194786483,B
BA01,T014,22414.0,24532.800185367185,25909.680668264693,1376.880482897508,A
BB01,T027,23374.0,24463.10020729335,25546.632093640925,1083.5318863475732,B
BB01,T044,25548.0,27004.170228301824,28416.11081262968,1411.9405843278546,B
BA01,T021,25910.0,28013.285192402564,29397.139139226092,1383.8539468235285,A
BB01,T043,28417.0,29873.170228301824,31243.803874354035,1370.6336460522107,B
BA01,T015,29398.0,31030.190459530924,32132.80104234417,1102.6105828132459,A
BB01,T053,31245.0,32680.37956583113,34003.81411608711,1323.4345502559809,B
BA01,T025,32134.0,33676.68308175196,34716.222585630436,1039.5395038784773,A
BB01,T029,34005.0,35094.100207293355,36197.1226223595,1103.0224150661452,B
BA01,T003,34717.0,35907.8995020773,36748.23208856838,840.3325864910803,A
BA01,T004,36749.0,37939.8995020773,38780.23208856838,840.3325864910803,A
