box_id,trip_id,service_id,material_type,mass_kg,volume_m3,first_batch,priority_weight,delivery_time_s,expected_time_s,hard_deadline_s,expected_lateness_s,hard_deadline_met
S001-FOD-01,T001,S001,应急食品,8.0,0.028,False,10.0,10391.573084371985,7200.0,,3191.573084371985,True
S001-FOD-02,T027,S001,应急食品,8.0,0.028,False,10.0,24171.67343698001,7200.0,,16971.67343698001,True
S001-FOD-03,T002,S001,应急食品,8.0,0.028,False,10.0,8357.573084371985,7200.0,,1157.5730843719848,True
S001-HYG-01,T003,S001,生活卫生用品,6.0,0.035,False,8.0,35565.57308437199,10800.0,,24765.573084371987,True
S001-HYG-02,T004,S001,生活卫生用品,6.0,0.035,False,8.0,37597.57308437199,10800.0,,26797.573084371987,True
S001-MED-01,T005,S001,医疗物资,3.0,0.012,True,24.0,848.5730843719844,3600.0,3600.0,0.0,True
S001-MED-02,T028,S001,医疗物资,3.0,0.012,False,24.0,1948.6734369800092,3600.0,3600.0,0.0,True
S001-WAT-01,T006,S001,饮用水,14.0,0.027,True,12.0,3582.5730843719844,3600.0,3600.0,0.0,True
S001-WAT-02,T029,S001,饮用水,14.0,0.027,False,12.0,34802.67343698001,3600.0,,31202.67343698001,True
S001-WAT-03,T059,S001,饮用水,14.0,0.027,False,12.0,15948.26953866458,3600.0,,12348.26953866458,True
S001-WAT-04,T030,S001,饮用水,14.0,0.027,False,12.0,19296.67343698001,3600.0,,15696.67343698001,True
S001-WAT-05,T060,S001,饮用水,14.0,0.027,False,12.0,13991.26953866458,3600.0,,10391.26953866458,True
S001-WAT-06,T031,S001,饮用水,14.0,0.027,False,12.0,17044.67343698001,3600.0,,13444.67343698001,True
S001-WAT-07,T032,S001,饮用水,14.0,0.027,False,12.0,20804.67343698001,3600.0,,17204.67343698001,True
S001-WAT-08,T007,S001,饮用水,14.0,0.027,False,12.0,8654.573084371985,3600.0,,5054.573084371985,True
S002-FOD-01,T061,S002,应急食品,8.0,0.028,False,10.0,12372.353634424231,7200.0,,5172.353634424231,True
S002-FOD-02,T033,S002,应急食品,8.0,0.028,False,10.0,2657.9472879886853,7200.0,,0.0,True
S002-HYG-01,T034,S002,生活卫生用品,6.0,0.035,False,8.0,22784.947287988685,10800.0,,11984.947287988685,True
S002-MED-01,T033,S002,医疗物资,3.0,0.012,True,24.0,2657.9472879886853,3600.0,3600.0,0.0,True
S002-WAT-01,T008,S002,饮用水,14.0,0.027,True,12.0,3339.469128906755,3600.0,3600.0,0.0,True
S002-WAT-02,T035,S002,饮用水,14.0,0.027,False,12.0,21083.947287988685,3600.0,,17483.947287988685,True
S002-WAT-03,T036,S002,饮用水,14.0,0.027,False,12.0,19382.947287988685,3600.0,,15782.947287988685,True
S002-WAT-04,T033,S002,饮用水,14.0,0.027,False,12.0,2657.9472879886853,3600.0,,0.0,True
S003-FOD-01,T037,S003,应急食品,8.0,0.028,False,8.0,12029.23498510507,10800.0,,1229.2349851050694,True
S003-FOD-02,T009,S003,应急食品,8.0,0.028,False,8.0,16740.287972714345,10800.0,,5940.2879727143445,True
S003-HYG-01,T038,S003,生活卫生用品,6.0,0.035,False,6.0,4485.2349851050685,14400.0,,0.0,True
S003-MED-01,T039,S003,医疗物资,3.0,0.012,True,20.0,6446.2349851050685,7200.0,7200.0,0.0,True
