trip_id,aircraft_model,aircraft_id,battery_id,start_time_s,return_time_s,battery_ready_time_s,duration_s,energy_kwh,return_soc_percent,total_mass_kg,total_volume_m3,stop_count,stop_sequence,box_count,box_ids
T005,A,U01,BA04,0.0,1190.899502077302,2028.2623810408613,1190.899502077302,1.1677945810277048,74.04900931049545,3.0,0.012,1,S001,1,S001-MED-01
T017,A,U03,BA06,0.0,1256.8774250806614,2112.9484218491066,1256.8774250806614,1.2325534503523095,72.60992332550423,3.0,0.012,1,S006,1,S006-MED-01
T018,A,U02,BA02,0.0,1652.5481242545018,2676.6312414146887,1652.5481242545018,1.8141338670929554,59.685914064601,8.0,0.028,1,S007,1,S007-FOD-01
T024,A,U04,BA03,0.0,2069.3144795679273,3376.316415387979,2069.3144795679273,2.7934682393771006,37.9229280138422,3.0,0.012,1,S012,1,S012-MED-01
T045,B,U05,BB01,0.0,1150.6704858002063,2279.9364161707717,1150.6704858002063,1.067536762393613,73.31158094015969,14.0,0.027,1,S006,1,S006-WAT-01
T054,B,U06,BB04,0.0,1435.3795658311299,2790.138152234268,1435.3795658311299,1.587904430161088,60.3023892459728,14.0,0.027,1,S010,1,S010-WAT-01
T072,C,U08,BC01,0.0,1536.7084110459734,3198.0543251418735,1536.7084110459734,3.05727722127717,61.78403473403537,3.0,0.012,1,S010,1,S010-MED-01
T076,C,U07,BC02,0.0,1873.762462931023,3661.6891055432634,1873.762462931023,3.5246522188759637,55.94184726405045,3.0,0.012,1,S014,1,S014-MED-01
T028,B,U05,BB02,1151.0,2240.100207293352,3313.180272900845,1089.100207293352,0.9378770744788305,76.55307313802923,3.0,0.012,1,S001,1,S001-MED-02
T026,A,U01,BA05,1191.0,2733.6830817519603,3764.415477824254,1542.6830817519603,1.837150601788709,59.17443107136202,3.0,0.012,1,S013,1,S013-MED-01
T033,B,U06,BB03,1436.0,3256.01457597737,5099.073047623964,1820.01457597737,2.714750319184448,32.1312420203888,25.0,0.067,1,S002,3,S002-MED-01|S002-WAT-04|S002-FOD-02
T074,C,U08,BC04,1537.0,3005.058946195839,4688.9184137049715,1468.0589461958389,3.140404187726027,60.74494765342466,14.0,0.027,1,S013,1,S013-WAT-01
T020,A,U02,BA01,1653.0,3305.548124254502,4344.798697254831,1652.5481242545018,1.866636598847291,58.51918669228242,14.0,0.027,1,S007,1,S007-WAT-01
T073,C,U07,BC03,1874.0,3807.411544184941,5934.0681002956,1933.4115441849406,4.775347284100896,40.30815894873881,14.0,0.027,1,S012,1,S012-WAT-01
T019,A,U04,BA04,2070.0,3722.548124254502,4737.705462092231,1652.5481242545018,1.7832369386690619,60.372512474020844,3.0,0.012,1,S007,1,S007-MED-01
