battery_id,trip_id,flight_start_time_s,return_time_s,ready_time_s,charge_duration_s,aircraft_model
BB01,T001,0.0,1089.100207293352,2162.180272900845,1073.080065607493,B
BB02,T002,0.0,1089.100207293352,2162.180272900845,1073.080065607493,B
BC01,T003,0.0,1781.887268848464,3873.14835493389,2091.261086085426,C
BA01,T004,0.0,1256.8774250806614,2112.9484218491066,856.0709967684452,A
BA02,T005,0.0,1652.5481242545018,2667.705462092231,1015.1573378377291,A
BC02,T006,0.0,1536.7084110459734,3198.0543251418735,1661.3459140959,C
BA03,T007,0.0,1542.6830817519603,2573.415477824254,1030.7323960722938,A
BA04,T008,0.0,1190.899502077302,2043.2069372570872,852.3074351797852,A
BB03,T009,1089.100207293352,2789.114783270722,4479.529784695383,1690.4150014246607,B
BB04,T010,1089.100207293352,2239.7706930935583,3369.0366234641237,1129.2659303705655,B
BA05,T011,1190.899502077302,2843.447626331804,3882.6981993321324,1039.2505730003286,A
BA06,T012,1256.8774250806614,2851.7401526332455,3906.800830469222,1055.0606778359765,A
BC03,T013,1536.7084110459734,3470.119955230914,5596.7765113415735,2126.6565561106595,C
BC04,T014,1781.887268848464,3249.946215044303,4933.805682553435,1683.8594675091322,C
BA04,T015,2043.2069372570872,3949.558187714486,5097.294428140725,1147.7362404262394,A
BA01,T016,2112.9484218491066,4182.262901417034,5489.264837237086,1307.0019358200516,A
BB01,T017,2239.7706930935583,3965.468548277185,5381.624901646925,1416.1563533697395,B
BB02,T018,2789.114783270722,4749.638086814193,6393.950391964077,1644.3123051498842,B
BA02,T019,2843.447626331804,4962.247811698988,6302.5390402105995,1340.2912285116117,A
BA03,T020,2851.7401526332455,4955.025345035809,6325.309107257723,1370.283762221914,A
BC02,T021,3249.946215044303,5084.455937594977,6961.475544288985,1877.019606694008,C
BC01,T022,3873.14835493389,5979.239704538559,8101.273868831297,2122.034164292738,C
BA05,T024,3949.558187714486,6052.843380117049,7460.921716293465,1408.078336176416,A
BB04,T023,3965.468548277185,5827.112185340464,7577.674671555809,1750.5624862153454,B
BA06,T025,4182.262901417034,5814.453360947959,6891.8563560008115,1077.402995052853,A
BB03,T026,4749.638086814193,6188.079819902954,7591.150680310952,1403.0708604079982,B
BC04,T027,5084.455937594977,6230.696994953832,7551.455433067531,1320.7584381136994,C
BA04,T028,5097.294428140725,6729.48488767165,7832.0954704848955,1102.6105828132459,A
BA01,T029,5489.264837237086,7117.878069068415,8258.39426540673,1140.5161963383152,A
BB01,T030,5827.112185340464,6895.532657575621,7967.9729917112945,1072.4403341356738,B
BC03,T031,5979.239704538559,7813.749427089233,9714.361239844931,1900.6118127556983,C
BA02,T032,6302.5390402105995,7493.438542287901,8345.745977467686,852.307435179785,A
BA03,T033,6325.309107257723,7516.208609335024,8368.51604451481,852.3074351797859,A
BB02,T034,6393.950391964077,7483.050599257429,8586.073014323572,1103.0224150661434,B
BA06,T035,6891.8563560008115,8082.755858078113,8935.0632932579,852.3074351797859,A
BC02,T036,6961.475544288985,8125.644621618144,9497.299852695383,1371.6552310772395,C
BA05,T037,7460.921716293465,8651.821218370767,9504.128653550553,852.3074351797859,A
BB04,T038,7577.674671555809,8666.77487884916,9769.797293915304,1103.0224150661434,B
BB03,T039,7591.150680310952,9291.165256288323,10981.580257712983,1690.4150014246607,B
BC04,T040,7813.749427089233,9595.636695937697,11711.88750646263,2116.2508105249326,C
BA04,T041,7832.0954704848955,9779.153728298405,11109.059934878042,1329.906206579637,A
BC01,T042,8125.644621618144,9361.370273027074,10761.177438885268,1399.807165858194,C
BA01,T043,8258.39426540673,9515.271690487392,10388.005493057513,872.733802570121,A
BA02,T044,8345.745977467686,9998.294101722187,11037.544674722516,1039.2505730003286,A
BA03,T046,8651.821218370767,9842.72072044807,10685.51226770359,842.7915472555214,A
BB01,T045,8666.77487884916,9755.875086142512,10839.406972490087,1083.531886347575,B
BB02,T047,9291.165256288323,10380.265463581674,11463.79734992925,1083.531886347575,B
BC02,T048,9497.299852695383,11279.187121543848,13379.66289884691,2100.4757773030615,C
BA05,T049,9515.271690487392,11462.329948300901,12770.25343957347,1307.9234912725678,A
BC03,T051,9714.361239844931,11820.4525894496,13942.486753742338,2122.034164292738,C
BB04,T050,9769.797293915304,11730.320597458775,13447.43873637957,1717.118138920796,B
BA06,T052,9779.153728298405,11981.783007060425,13328.664389291376,1346.8813822309512,A
BA01,T053,10388.005493057513,12506.805678424698,13883.686161322206,1376.880482897508,A
BA03,T054,10685.51226770359,12804.312453070776,14181.192935968284,1376.880482897508,A
BB01,T055,10839.406972490087,11990.077458290294,13098.132543252603,1108.0550849623087,B
BC01,T056,11279.187121543848,12904.49671852232,14540.979486576116,1636.4827680537965,C
BA02,T057,11462.329948300901,13565.615140703463,14973.69347687988,1408.078336176417,A
BB02,T058,11730.320597458775,13165.700163289905,14489.134713545884,1323.434550255979,B
BC04,T059,11820.4525894496,13753.86413363454,15864.074164284826,2110.2100306502853,C
BA04,T061,11981.783007060425,13888.134257517824,15017.737832692692,1129.6035751748677,A
BB03,T060,11990.077458290294,13371.119127467904,14693.104823770203,1321.9856963022994,B
BA05,T062,12770.25343957347,13961.152941650771,14801.485528141851,840.3325864910803,A
BB01,T063,13165.700163289905,14254.800370583256,15333.53407761427,1078.7337070310132,B
BA06,T066,13328.664389291376,15531.293668053397,16854.963753698754,1323.6700856453572,A
BC02,T064,13379.66289884691,15161.550167695374,17257.85813099693,2096.307963301557,C
BB04,T065,13447.43873637957,15407.96203992304,17077.856532360554,1669.8944924375137,B
BA01,T067,13883.686161322206,16002.486346689391,17355.962648324046,1353.476301634655,A
BC03,T068,13942.486753742338,15489.677278268118,17247.674873305776,1757.9975950376574,C
BA03,T069,14181.192935968284,15813.383395499208,16915.993978312454,1102.6105828132459,A
BB02,T070,14489.134713545884,15639.80519934609,16742.562213807352,1102.7570144612619,B
BA05,T071,14801.485528141851,16454.033652396352,17474.11959576714,1020.0859433707883,A
BC01,T072,15161.550167695374,17087.620545819897,19305.20012784398,2217.579582024082,C
BB01,T073,15407.96203992304,17368.485343466513,19026.678497167177,1658.193153700664,B
BA02,T075,15531.293668053397,17163.48412758432,18249.986097984958,1086.5019704006372,A
BB03,T074,15639.80519934609,17501.44883640937,19191.923354001116,1690.474517591745,B
BA04,T077,15813.383395499208,17441.996627330536,18565.431630423926,1123.4350030933892,A
BC04,T076,15864.074164284826,17790.14454240935,20003.099204804013,2212.9546623946626,C
BA06,T078,16854.963753698754,18016.986700356632,18835.182562405415,818.1958620487821,A
BA03,T079,16915.993978312454,18824.583381460106,20006.618151357496,1182.0347698973892,A
BC03,T080,17247.674873305776,18794.865397831556,20538.09635357339,1743.230955741834,C
