trip_id,aircraft_model,aircraft_id,battery_id,start_time_s,return_time_s,battery_ready_time_s,duration_s,energy_kwh,return_soc_percent,total_mass_kg,total_volume_m3,stop_count,stop_sequence,box_count,box_ids
T001,B,U05,BB01,0.0,1089.100207293352,2162.180272900845,1089.100207293352,0.9378770744788305,76.55307313802923,3.0,0.012,1,S001,1,S001-MED-01
T002,B,U06,BB02,0.0,1089.100207293352,2162.180272900845,1089.100207293352,0.9378770744788305,76.55307313802923,3.0,0.012,1,S001,1,S001-MED-02
T003,C,U07,BC01,0.0,1781.887268848464,3873.14835493389,1781.887268848464,4.644656317853881,41.94179602682648,3.0,0.012,1,S002,1,S002-MED-01
T004,A,U01,BA01,0.0,1256.8774250806614,2112.9484218491066,1256.8774250806614,1.2325534503523095,72.60992332550423,3.0,0.012,1,S006,1,S006-MED-01
T005,A,U02,BA02,0.0,1652.5481242545018,2667.705462092231,1652.5481242545018,1.7832369386690619,60.372512474020844,3.0,0.012,1,S007,1,S007-MED-01
T006,C,U08,BC02,0.0,1536.7084110459734,3198.0543251418735,1536.7084110459734,3.05727722127717,61.78403473403537,3.0,0.012,1,S010,1,S010-MED-01
T007,A,U03,BA03,0.0,1542.6830817519603,2573.415477824254,1542.6830817519603,1.837150601788709,59.17443107136202,3.0,0.012,1,S013,1,S013-MED-01
T008,A,U04,BA04,0.0,1190.899502077302,2043.2069372570872,1190.899502077302,1.2195257371607946,72.89942806309345,14.0,0.027,1,S001,1,S001-WAT-01
T009,B,U05,BB03,1089.100207293352,2789.114783270722,4479.529784695383,1700.01457597737,2.3624961571338323,40.93759607165419,14.0,0.027,1,S002,1,S002-WAT-01
T010,B,U06,BB04,1089.100207293352,2239.7706930935583,3369.0366234641237,1150.6704858002063,1.067536762393613,73.31158094015969,14.0,0.027,1,S006,1,S006-WAT-01
T011,A,U04,BA05,1190.899502077302,2843.447626331804,3882.6981993321324,1652.5481242545018,1.866636598847291,58.51918669228242,14.0,0.027,1,S007,1,S007-WAT-01
T012,A,U01,BA06,1256.8774250806614,2851.7401526332455,3906.800830469222,1594.8627275525841,1.9213638848168428,57.303024781847945,14.0,0.027,1,S010,1,S010-WAT-01
T013,C,U08,BC03,1536.7084110459734,3470.119955230914,5596.7765113415735,1933.4115441849406,4.775347284100896,40.30815894873881,14.0,0.027,1,S012,1,S012-WAT-01
T014,C,U07,BC04,1781.887268848464,3249.946215044303,4933.805682553435,1468.0589461958389,3.140404187726027,60.74494765342466,14.0,0.027,1,S013,1,S013-WAT-01
T015,A,U02,BA04,2043.2069372570872,3949.558187714486,5097.294428140725,1906.3512504573985,2.242163909167751,50.17413535182775,14.0,0.027,1,S014,1,S014-WAT-01
T016,A,U03,BA01,2112.9484218491066,4182.262901417034,5489.264837237086,2069.3144795679273,2.7934682393771006,37.9229280138422,3.0,0.012,1,S012,1,S012-MED-01
T017,B,U06,BB01,2239.7706930935583,3965.468548277185,5381.624901646925,1725.6978551836269,1.7295915846994,56.760210382515,3.0,0.012,1,S014,1,S014-MED-01
T018,B,U05,BB02,2789.114783270722,4749.638086814193,6393.950391964077,1960.5233035434708,2.2561053195766565,43.59736701058359,3.0,0.012,1,S003,1,S003-MED-01
T019,A,U04,BA02,2843.447626331804,4962.247811698988,6302.5390402105995,2118.800185367184,2.908700406386348,35.36221319141448,3.0,0.012,1,S004,1,S004-MED-01
T020,A,U01,BA03,2851.7401526332455,4955.025345035809,6325.309107257723,2103.2851924025626,3.012520715383551,33.05509521369887,3.0,0.012,1,S008,1,S008-MED-01
T021,C,U07,BC02,3249.946215044303,5084.455937594977,6961.475544288985,1834.509722550674,3.853610855485568,51.829864306430395,3.0,0.012,1,S015,1,S015-MED-01
T022,C,U08,BC01,3873.14835493389,5979.239704538559,8101.273868831297,2106.0913496046687,4.758279991234723,40.52150010956596,14.0,0.027,1,S003,1,S003-WAT-01
T024,A,U02,BA05,3949.558187714486,6052.843380117049,7460.921716293465,2103.2851924025626,3.143348086764518,30.14782029412183,14.0,0.027,1,S008,1,S008-WAT-01
