seed,validation,objective_primary,makespan_s,energy_kwh,trip_count,runtime_s,feasible_moves,accepted_moves,improving_moves,incumbent_source,seed_retained,native_improved_seed
20260924,PASS,0.516328617103963,9408.443943661947,64.83172808040707,22,0.12843979999999888,13,2,0,provided_seed,True,False
20260925,PASS,0.5158908995531455,9534.345058907296,69.52235221186811,24,0.1339414000000012,10,1,1,alns_search,False,True
20260926,PASS,0.516328617103963,9408.443943661947,64.83172808040707,22,0.14419380000000004,10,4,0,provided_seed,True,False
20260927,PASS,0.516328617103963,9408.443943661947,64.83172808040707,22,0.14465909999999838,9,5,0,provided_seed,True,False
20260928,PASS,0.5158908995531455,9534.345058907296,69.52235221186811,24,0.12836919999999807,9,1,1,alns_search,False,True
20260929,PASS,0.516328617103963,9408.443943661947,64.83172808040707,22,0.10578640000000306,9,1,0,provided_seed,True,False
20260930,PASS,0.516328617103963,9408.443943661947,64.83172808040707,22,0.13665049999999823,14,2,0,provided_seed,True,False
20260931,PASS,0.5158908995531455,9534.345058907296,69.52235221186811,24,0.15671529999999834,5,1,1,alns_search,False,True
20260932,PASS,0.516328617103963,9408.443943661947,64.83172808040707,22,0.2045148999999995,7,1,0,provided_seed,True,False
20260933,PASS,0.516328617103963,9408.443943661947,64.83172808040707,22,0.19158080000000055,10,1,0,provided_seed,True,False
