aircraft_id,trip_id,start_time_s,end_time_s,aircraft_model
U05,T001,0.0,1089.100207293352,B
U06,T002,0.0,1089.100207293352,B
U07,T003,0.0,1781.887268848464,C
U01,T004,0.0,1256.8774250806614,A
U02,T005,0.0,1652.5481242545018,A
U08,T006,0.0,1536.7084110459734,C
U03,T007,0.0,1542.6830817519603,A
U04,T008,0.0,1190.899502077302,A
U05,T009,1089.100207293352,2789.114783270722,B
U06,T010,1089.100207293352,2239.7706930935583,B
U04,T011,1190.899502077302,2843.447626331804,A
U01,T012,1256.8774250806614,2851.7401526332455,A
U08,T013,1536.7084110459734,3470.119955230914,C
U07,T014,1781.887268848464,3249.946215044303,C
U02,T015,2043.2069372570872,3949.558187714486,A
U03,T016,2112.9484218491066,4182.262901417034,A
U06,T017,2239.7706930935583,3965.468548277185,B
U05,T018,2789.114783270722,4749.638086814193,B
U04,T019,2843.447626331804,4962.247811698988,A
U01,T020,2851.7401526332455,4955.025345035809,A
U07,T021,3249.946215044303,5084.455937594977,C
U08,T022,3873.14835493389,5979.239704538559,C
U02,T024,3949.558187714486,6052.843380117049,A
U06,T023,3965.468548277185,5827.112185340464,B
U03,T025,4182.262901417034,5814.453360947959,A
U05,T026,4749.638086814193,6188.079819902954,B
U07,T027,5084.455937594977,6230.696994953832,C
U01,T028,5097.294428140725,6729.48488767165,A
U04,T029,5489.264837237086,7117.878069068415,A
U06,T030,5827.112185340464,6895.532657575621,B
U08,T031,5979.239704538559,7813.749427089233,C
U02,T032,6302.5390402105995,7493.438542287901,A
U03,T033,6325.309107257723,7516.208609335024,A
U05,T034,6393.950391964077,7483.050599257429,B
U01,T035,6891.8563560008115,8082.755858078113,A
U07,T036,6961.475544288985,8125.644621618144,C
U04,T037,7460.921716293465,8651.821218370767,A
U05,T038,7577.674671555809,8666.77487884916,B
U06,T039,7591.150680310952,9291.165256288323,B
U08,T040,7813.749427089233,9595.636695937697,C
U02,T041,7832.0954704848955,9779.153728298405,A
U07,T042,8125.644621618144,9361.370273027074,C
U01,T043,8258.39426540673,9515.271690487392,A
U03,T044,8345.745977467686,9998.294101722187,A
U04,T046,8651.821218370767,9842.72072044807,A
U05,T045,8666.77487884916,9755.875086142512,B
U06,T047,9291.165256288323,10380.265463581674,B
U07,T048,9497.299852695383,11279.187121543848,C
U01,T049,9515.271690487392,11462.329948300901,A
U08,T051,9714.361239844931,11820.4525894496,C
U05,T050,9769.797293915304,11730.320597458775,B
U02,T052,9779.153728298405,11981.783007060425,A
U03,T053,10388.005493057513,12506.805678424698,A
U04,T054,10685.51226770359,12804.312453070776,A
U06,T055,10839.406972490087,11990.077458290294,B
U07,T056,11279.187121543848,12904.49671852232,C
U01,T057,11462.329948300901,13565.615140703463,A
U05,T058,11730.320597458775,13165.700163289905,B
U08,T059,11820.4525894496,13753.86413363454,C
U02,T061,11981.783007060425,13888.134257517824,A
U06,T060,11990.077458290294,13371.119127467904,B
U03,T062,12770.25343957347,13961.152941650771,A
U05,T063,13165.700163289905,14254.800370583256,B
U04,T066,13328.664389291376,15531.293668053397,A
U07,T064,13379.66289884691,15161.550167695374,C
U06,T065,13447.43873637957,15407.96203992304,B
U01,T067,13883.686161322206,16002.486346689391,A
U08,T068,13942.486753742338,15489.677278268118,C
U02,T069,14181.192935968284,15813.383395499208,A
U05,T070,14489.134713545884,15639.80519934609,B
U03,T071,14801.485528141851,16454.033652396352,A
U07,T072,15161.550167695374,17087.620545819897,C
U06,T073,15407.96203992304,17368.485343466513,B
U04,T075,15531.293668053397,17163.48412758432,A
U05,T074,15639.80519934609,17501.44883640937,B
U02,T077,15813.383395499208,17441.996627330536,A
U08,T076,15864.074164284826,17790.14454240935,C
U01,T078,16854.963753698754,18016.986700356632,A
U03,T079,16915.993978312454,18824.583381460106,A
U07,T080,17247.674873305776,18794.865397831556,C
