box_id,trip_id,service_id,material_type,mass_kg,volume_m3,first_batch,priority_weight,delivery_time_s,expected_time_s,hard_deadline_s,expected_lateness_s,hard_deadline_met
S001-FOD-01,T045,S001,应急食品,8.0,0.028,False,10.0,9464.44831582917,7200.0,,2264.4483158291696,True
S001-FOD-02,T046,S001,应急食品,8.0,0.028,False,10.0,9500.394302742752,7200.0,,2300.394302742752,True
S001-FOD-03,T047,S001,应急食品,8.0,0.028,False,10.0,10088.838693268332,7200.0,,2888.8386932683316,True
S001-HYG-01,T062,S001,生活卫生用品,6.0,0.035,False,8.0,13618.826523945454,10800.0,,2818.826523945454,True
S001-HYG-02,T063,S001,生活卫生用品,6.0,0.035,False,8.0,13963.373600269913,10800.0,,3163.3736002699134,True
S001-MED-01,T001,S001,医疗物资,3.0,0.012,True,24.0,797.6734369800093,3600.0,3600.0,0.0,True
S001-MED-02,T002,S001,医疗物资,3.0,0.012,False,24.0,797.6734369800093,3600.0,3600.0,0.0,True
S001-WAT-01,T008,S001,饮用水,14.0,0.027,True,12.0,848.5730843719844,3600.0,3600.0,0.0,True
S001-WAT-02,T032,S001,饮用水,14.0,0.027,False,12.0,7151.112124582583,3600.0,,3551.1121245825834,True
S001-WAT-03,T033,S001,饮用水,14.0,0.027,False,12.0,7173.882191629707,3600.0,,3573.8821916297074,True
S001-WAT-04,T034,S001,饮用水,14.0,0.027,False,12.0,7191.623828944087,3600.0,,3591.623828944087,True
S001-WAT-05,T035,S001,饮用水,14.0,0.027,False,12.0,7740.429440372796,3600.0,,4140.429440372796,True
S001-WAT-06,T036,S001,饮用水,14.0,0.027,False,12.0,7813.745082953565,3600.0,,4213.745082953565,True
S001-WAT-07,T037,S001,饮用水,14.0,0.027,False,12.0,8309.494800665449,3600.0,,4709.494800665449,True
S001-WAT-08,T038,S001,饮用水,14.0,0.027,False,12.0,8375.348108535818,3600.0,,4775.348108535818,True
S002-FOD-01,T048,S002,应急食品,8.0,0.028,False,10.0,10656.653487119616,7200.0,,3456.6534871196163,True
S002-FOD-02,T049,S002,应急食品,8.0,0.028,False,10.0,10740.740819394146,7200.0,,3540.7408193941465,True
S002-HYG-01,T064,S002,生活卫生用品,6.0,0.035,False,8.0,14539.01653327114,10800.0,,3739.0165332711404,True
S002-MED-01,T003,S002,医疗物资,3.0,0.012,True,24.0,1159.353634424232,3600.0,3600.0,0.0,True
S002-WAT-01,T009,S002,饮用水,14.0,0.027,True,12.0,2191.047495282037,3600.0,3600.0,0.0,True
S002-WAT-02,T039,S002,饮用水,14.0,0.027,False,12.0,8693.097968299637,3600.0,,5093.097968299637,True
S002-WAT-03,T040,S002,饮用水,14.0,0.027,False,12.0,8973.103061513466,3600.0,,5373.103061513466,True
S002-WAT-04,T041,S002,饮用水,14.0,0.027,False,12.0,9057.56459939165,3600.0,,5457.56459939165,True
S003-FOD-01,T065,S003,应急食品,8.0,0.028,False,8.0,14675.67372148464,10800.0,,3875.67372148464,True
S003-FOD-02,T066,S003,应急食品,8.0,0.028,False,8.0,14677.95236200572,10800.0,,3877.9523620057207,True
S003-HYG-01,T073,S003,生活卫生用品,6.0,0.035,False,6.0,16636.19702502811,14400.0,,2236.1970250281083,True
S003-MED-01,T018,S003,医疗物资,3.0,0.012,True,20.0,4017.3497683757905,7200.0,7200.0,0.0,True
S003-WAT-01,T022,S003,饮用水,14.0,0.027,True,10.0,5188.654029736224,7200.0,7200.0,0.0,True
S003-WAT-02,T050,S003,饮用水,14.0,0.027,False,10.0,10998.032279020374,7200.0,,3798.0322790203736,True
S003-WAT-03,T051,S003,饮用水,14.0,0.027,False,10.0,11029.866914647266,7200.0,,3829.8669146472657,True
S003-WAT-04,T052,S003,饮用水,14.0,0.027,False,10.0,11128.441701012749,7200.0,,3928.441701012749,True
S004-FOD-01,T067,S004,应急食品,8.0,0.028,False,8.0,15194.732920672464,10800.0,,4394.732920672464,True
S004-HYG-01,T074,S004,生活卫生用品,6.0,0.035,False,6.0,16822.273684544398,14400.0,,2422.273684544398,True
S004-MED-01,T019,S004,医疗物资,3.0,0.012,True,20.0,4154.494385682063,7200.0,7200.0,0.0,True
S004-WAT-01,T023,S004,饮用水,14.0,0.027,True,10.0,5147.937033475491,7200.0,7200.0,0.0,True
S004-WAT-02,T053,S004,饮用水,14.0,0.027,False,10.0,11699.052252407771,7200.0,,4499.052252407771,True
S004-WAT-03,T054,S004,饮用水,14.0,0.027,False,10.0,11996.559027053849,7200.0,,4796.559027053849,True
S005-FOD-01,T075,S005,应急食品,8.0,0.028,False,6.0,16600.145564485527,14400.0,,2200.145564485527,True
S005-HYG-01,T080,S005,生活卫生用品,6.0,0.035,False,4.0,18290.905135568668,18000.0,,290.9051355686679,True
S005-MED-01,T025,S005,医疗物资,3.0,0.012,True,16.0,5251.114797849163,10800.0,10800.0,0.0,True
S005-WAT-01,T028,S005,饮用水,14.0,0.027,True,8.0,6166.146324572854,10800.0,10800.0,0.0,True
S005-WAT-02,T068,S005,饮用水,14.0,0.027,False,8.0,14985.717016005228,10800.0,,4185.717016005228,True
S005-WAT-03,T069,S005,饮用水,14.0,0.027,False,8.0,15250.044832400412,10800.0,,4450.044832400412,True
S006-FOD-01,T055,S006,应急食品,8.0,0.028,False,10.0,11663.505548723524,7200.0,,4463.505548723524,True
S006-HYG-01,T070,S006,生活卫生用品,6.0,0.035,False,8.0,15313.23328977932,10800.0,,4513.23328977932,True
S006-MED-01,T004,S006,医疗物资,3.0,0.012,True,24.0,877.202045873664,3600.0,3600.0,0.0,True
S006-WAT-01,T010,S006,饮用水,14.0,0.027,True,12.0,1913.1987835267885,3600.0,3600.0,0.0,True
S006-WAT-02,T042,S006,饮用水,14.0,0.027,False,12.0,9007.152447322609,3600.0,,5407.152447322609,True
S006-WAT-03,T043,S006,饮用水,14.0,0.027,False,12.0,9135.596311280395,3600.0,,5535.596311280395,True
S007-FOD-01,T056,S007,应急食品,8.0,0.028,False,10.0,12353.801920033084,7200.0,,5153.801920033084,True
S007-HYG-01,T071,S007,生活卫生用品,6.0,0.035,False,8.0,15875.399590269102,10800.0,,5075.399590269102,True
S007-MED-01,T005,S007,医疗物资,3.0,0.012,True,24.0,1073.9140621272509,3600.0,3600.0,0.0,True
S007-WAT-01,T011,S007,饮用水,14.0,0.027,True,12.0,2264.8135642045527,3600.0,3600.0,0.0,True
S007-WAT-02,T044,S007,饮用水,14.0,0.027,False,12.0,9419.660039594937,3600.0,,5819.660039594937,True
S008-FOD-01,T072,S008,应急食品,8.0,0.028,False,8.0,16390.425356757634,10800.0,,5590.425356757634,True
S008-HYG-01,T076,S008,生活卫生用品,6.0,0.035,False,6.0,17092.94935334709,14400.0,,2692.9493533470886,True
S008-MED-01,T020,S008,医疗物资,3.0,0.012,True,20.0,4153.609415501193,7200.0,7200.0,0.0,True
S008-WAT-01,T024,S008,饮用水,14.0,0.027,True,10.0,5251.427450582434,7200.0,7200.0,0.0,True
S008-WAT-02,T057,S008,饮用水,14.0,0.027,False,10.0,12764.199211168849,7200.0,,5564.199211168849,True
S009-FOD-01,T077,S009,应急食品,8.0,0.028,False,6.0,16879.280011414874,14400.0,,2479.280011414874,True
S009-MED-01,T026,S009,医疗物资,3.0,0.012,True,16.0,5720.448953358574,10800.0,10800.0,0.0,True
S009-WAT-01,T029,S009,饮用水,14.0,0.027,True,8.0,6555.16145315275,10800.0,10800.0,0.0,True
S010-FOD-01,T058,S010,应急食品,8.0,0.028,False,10.0,12695.547047041005,7200.0,,5495.5470470410055,True
S010-MED-01,T006,S010,医疗物资,3.0,0.012,True,24.0,1030.1592055229867,3600.0,3600.0,0.0,True
S010-WAT-01,T012,S010,饮用水,14.0,0.027,True,12.0,2301.8454555236203,3600.0,3600.0,0.0,True
S011-FOD-01,T078,S011,应急食品,8.0,0.028,False,6.0,17688.16189369436,14400.0,,3288.1618936943596,True
S011-MED-01,T027,S011,医疗物资,3.0,0.012,True,16.0,5926.356466274404,10800.0,10800.0,0.0,True
S011-WAT-01,T030,S011,饮用水,14.0,0.027,True,8.0,6613.509088124709,10800.0,10800.0,0.0,True
S012-FOD-01,T059,S012,应急食品,8.0,0.028,False,10.0,13052.55336154207,7200.0,,5852.55336154207,True
S012-MED-01,T016,S012,医疗物资,3.0,0.012,True,22.0,3397.53566163307,7200.0,3600.0,0.0,True
S012-WAT-01,T013,S012,饮用水,14.0,0.027,True,12.0,2768.8091831384436,3600.0,3600.0,0.0,True
S013-FOD-01,T060,S013,应急食品,8.0,0.028,False,10.0,12928.131626212433,7200.0,,5728.131626212433,True
S013-MED-01,T007,S013,医疗物资,3.0,0.012,True,24.0,1018.8748742093135,3600.0,3600.0,0.0,True
S013-WAT-01,T014,S013,饮用水,14.0,0.027,True,12.0,2777.7167419463835,3600.0,3600.0,0.0,True
S014-FOD-01,T061,S014,应急食品,8.0,0.028,False,10.0,13182.51529895579,7200.0,,5982.51529895579,True
S014-MED-01,T017,S014,医疗物资,3.0,0.012,True,22.0,3350.1762873520383,7200.0,3600.0,0.0,True
S014-WAT-01,T015,S014,饮用水,14.0,0.027,True,12.0,3243.939229152453,3600.0,3600.0,0.0,True
S015-FOD-01,T079,S015,应急食品,8.0,0.028,False,6.0,18113.72867988628,14400.0,,3713.7286798862806,True
S015-MED-01,T021,S015,医疗物资,3.0,0.012,True,18.0,4422.861076319639,7200.0,7200.0,0.0,True
S015-WAT-01,T031,S015,饮用水,14.0,0.027,True,8.0,7152.154565813896,10800.0,10800.0,0.0,True
