battery_id,trip_id,flight_start_time_s,return_time_s,ready_time_s,charge_duration_s,aircraft_model
BC01,T001,0.0,1560.1690773291593,3183.680952299218,1623.5118749700587,C
BC02,T002,0.0,2111.887268848464,4646.7571580549675,2534.8698892065036,C
BB01,T003,0.0,1555.3795658311296,3012.0977016699944,1456.7181358388648,B
BB02,T004,0.0,1942.9647566686642,3805.8496423640822,1862.884885695418,B
BA01,T009,0.0,2163.2851924025626,3586.784416371429,1423.4992239688663,A
BA02,T016,0.0,1190.899502077302,2043.2069372570872,852.3074351797852,A
BA03,T017,0.0,1190.899502077302,2043.2069372570872,852.3074351797852,A
BA04,T018,0.0,1250.899502077302,2121.355027214739,870.455525137437,A
BA05,T019,1190.899502077302,2441.799004154604,3298.0135870471504,856.2145828925463,A
BB03,T005,1555.3795658311296,3056.4212350087396,4512.182369404836,1455.7611343960966,B
BC03,T006,1560.1690773291593,3125.8947287380897,4663.32205787984,1537.4273291417503,C
BB04,T007,1942.9647566686642,3788.662611852291,5378.661050304084,1589.998438451793,B
BC04,T008,2111.887268848464,4865.797805526913,7350.373565537422,2484.575760010509,C
BB01,T010,3056.4212350087396,4884.697872435716,6551.260762958821,1666.5628905231051,B
BC01,T011,3183.680952299218,5484.737644782419,7984.490066569788,2499.752421787369,C
BB02,T013,3805.8496423640822,5364.291375452844,6939.325993704184,1575.0346182513404,B
BC02,T012,4865.797805526913,7235.889155131582,9598.089449973346,2362.200294841764,C
BB03,T014,4884.697872435716,6073.118344670873,7205.164109692903,1132.0457650220305,B
BB04,T020,5378.661050304084,7138.675626281454,8829.090627706115,1690.4150014246607,B
BC03,T015,5484.737644782419,7361.928169308199,9338.77206875802,1976.843899449821,C
BB01,T022,6551.260762958821,7700.3609702521735,8795.979392687324,1095.618422435151,B
BB02,T023,7138.675626281454,8972.659714936577,10709.975821943139,1737.3161070065617,B
BC04,T021,7350.373565537422,9276.443943661947,11511.464630085713,2235.020686423766,C
BB03,T024,7700.3609702521735,9534.345058907296,11259.442532137022,1725.0974732297254,B
