trip_id,aircraft_model,aircraft_id,battery_id,start_time_s,return_time_s,battery_ready_time_s,duration_s,energy_kwh,return_soc_percent,total_mass_kg,total_volume_m3,stop_count,stop_sequence,box_count,box_ids
T001,C,U07,BC01,0.0,1560.1690773291593,3183.680952299218,1560.1690773291593,2.917582307581756,63.53022115522805,76.0,0.159,1,S001,7,S001-WAT-01|S001-MED-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-WAT-05
T002,C,U08,BC02,0.0,2111.887268848464,4646.7571580549675,2111.887268848464,6.282596513993244,21.46754357508445,67.0,0.148,1,S002,6,S002-WAT-01|S002-MED-01|S002-WAT-02|S002-WAT-03|S002-WAT-04|S002-FOD-01
T003,B,U05,BB01,0.0,1555.3795658311296,3012.0977016699944,1555.3795658311296,1.823195698089688,54.4201075477578,25.0,0.067,1,S010,3,S010-WAT-01|S010-MED-01|S010-FOD-01
T004,B,U06,BB02,0.0,1942.9647566686642,3805.8496423640822,1942.9647566686642,2.760503582374042,30.987410440648954,25.0,0.067,1,S012,3,S012-WAT-01|S012-MED-01|S012-FOD-01
T009,A,U01,BA01,0.0,2163.2851924025626,3586.784416371429,2163.2851924025626,3.1967280829691536,28.96159815624103,17.0,0.039,1,S008,2,S008-MED-01|S008-WAT-01
T016,A,U02,BA02,0.0,1190.899502077302,2043.2069372570872,1190.899502077302,1.2195257371607946,72.89942806309345,14.0,0.027,1,S001,1,S001-WAT-07
T017,A,U03,BA03,0.0,1190.899502077302,2043.2069372570872,1190.899502077302,1.2195257371607946,72.89942806309345,14.0,0.027,1,S001,1,S001-WAT-08
T018,A,U04,BA04,0.0,1250.899502077302,2121.355027214739,1250.899502077302,1.2823460485526663,71.50342114327408,22.0,0.055,1,S001,2,S001-FOD-01|S001-WAT-06
T019,A,U02,BA05,1190.899502077302,2441.799004154604,3298.0135870471504,1250.899502077302,1.2330504792434298,72.59887823903489,16.0,0.056,1,S001,2,S001-FOD-02|S001-FOD-03
T005,B,U05,BB03,1555.3795658311296,3056.4212350087396,4512.182369404836,1501.04166917761,1.8209872332217598,54.47531916945601,25.0,0.067,1,S013,3,S013-WAT-01|S013-MED-01|S013-FOD-01
T006,C,U07,BC03,1560.1690773291593,3125.8947287380897,4663.32205787984,1565.7256514089304,2.5997316768310785,67.50335403961152,59.0,0.156,1,S006,6,S006-WAT-01|S006-MED-01|S006-WAT-02|S006-WAT-03|S006-FOD-01|S006-HYG-01
T007,B,U06,BB04,1942.9647566686642,3788.662611852291,5378.661050304084,1845.6978551836269,2.130765627196446,46.73085932008885,25.0,0.067,1,S014,3,S014-WAT-01|S014-MED-01|S014-FOD-01
T008,C,U08,BC04,2111.887268848464,4865.797805526913,7350.373565537422,2753.9105366784493,6.096895113884957,23.788811076438034,73.0,0.219,2,S007>S003,8,S007-FOD-01|S007-HYG-01|S007-MED-01|S007-WAT-01|S007-WAT-02|S003-FOD-02|S003-HYG-01|S003-WAT-02
T010,B,U05,BB01,3056.4212350087396,4884.697872435716,6551.260762958821,1828.276637426976,2.3074528242840895,42.31367939289776,25.0,0.067,1,S015,3,S015-MED-01|S015-WAT-01|S015-FOD-01
T011,C,U07,BC01,3183.680952299218,5484.737644782419,7984.490066569788,2301.0566924832005,6.152932018907209,23.08834976365989,59.0,0.156,1,S004,6,S004-WAT-01|S004-MED-01|S004-WAT-02|S004-WAT-03|S004-FOD-01|S004-HYG-01
T013,B,U06,BB02,3805.8496423640822,5364.291375452844,6939.325993704184,1558.4417330887613,2.0962337344261712,47.59415663934572,25.0,0.067,1,S009,3,S009-WAT-01|S009-MED-01|S009-FOD-01
T012,C,U08,BC02,4865.797805526913,7235.889155131582,9598.089449973346,2370.0913496046687,5.645047242492665,29.436909468841687,53.0,0.121,1,S003,5,S003-FOD-01|S003-MED-01|S003-WAT-01|S003-WAT-03|S003-WAT-04
T014,B,U05,BB03,4884.697872435716,6073.118344670873,7205.164109692903,1188.420472235157,1.0739517654354556,73.1512058641136,25.0,0.067,1,S011,3,S011-WAT-01|S011-MED-01|S011-FOD-01
T020,B,U06,BB04,5378.661050304084,7138.675626281454,8829.090627706115,1760.01457597737,2.3624961571338323,40.93759607165419,14.0,0.063,1,S002,2,S002-FOD-02|S002-HYG-01
T015,C,U07,BC03,5484.737644782419,7361.928169308199,9338.77206875802,1877.1905245257808,4.222192859507031,47.22258925616212,59.0,0.156,1,S005,6,S005-WAT-01|S005-MED-01|S005-WAT-02|S005-WAT-03|S005-FOD-01|S005-HYG-01
T022,B,U05,BB01,6551.260762958821,7700.3609702521735,8795.979392687324,1149.100207293352,0.9898886671580388,75.25278332104904,12.0,0.07,1,S001,2,S001-HYG-01|S001-HYG-02
T023,B,U06,BB02,7138.675626281454,8972.659714936577,10709.975821943139,1833.9840886551233,2.4707294777074478,38.231763057313806,8.0,0.028,1,S008,1,S008-FOD-01
T021,C,U08,BC04,7350.373565537422,9276.443943661947,11511.464630085713,1926.070378124524,5.1754609960262155,35.306737549672306,14.0,0.027,1,S008,1,S008-WAT-02
T024,B,U05,BB03,7700.3609702521735,9534.345058907296,11259.442532137022,1833.9840886551233,2.442532630530137,38.93668423674658,6.0,0.035,1,S008,1,S008-HYG-01
