factor,level,feasible,status,objective_primary,makespan_s,energy_kwh,trip_count,minimum_return_soc_percent,reference_candidate_count,issue_count,incumbent_source,error
reserve_ratio,0.15,True,FEASIBLE,0.5153373137679124,8532.582960530144,67.17954349888393,21.0,15.747178021537112,4244,0,native_search,
reserve_ratio,0.2,True,FEASIBLE,0.516328617103963,9408.443943661947,64.83172808040707,22.0,21.46754357508445,4244,0,native_search,
reserve_ratio,0.25,True,FEASIBLE,0.5043990487272143,9663.424408257188,72.09600873412636,24.0,26.28638853103753,3835,0,native_search,
reserve_ratio,0.3,True,FEASIBLE,0.5009308401184863,8430.490693815902,71.86283018800788,25.0,30.360779381775604,3337,0,native_search,
reserve_ratio,0.35,True,FEASIBLE,0.5439263310480268,10570.852462769339,87.17915557760064,29.0,35.117768018311146,2785,0,native_search,
charge_time_multiplier,0.75,True,FEASIBLE,0.5096320917795335,8481.391404281008,63.98636048161919,22.0,20.949278300924455,4244,0,native_search,
charge_time_multiplier,1.0,True,FEASIBLE,0.516328617103963,9408.443943661947,64.83172808040707,22.0,21.46754357508445,4244,0,native_search,
charge_time_multiplier,1.25,True,FEASIBLE,0.5223196381779129,9181.741574865691,65.01600807546015,22.0,20.949278300924455,4244,0,native_search,
resource_fraction,0.5,False,NO_FEASIBLE_SOLUTION_FOUND,,,,,,4244,1,,boxwise construction misses hard deadline for S002-WAT-01
resource_fraction,0.75,True,FEASIBLE,0.5526124904162184,10223.941650175047,72.38347769295085,25.0,20.949278300924455,4244,0,native_search,
resource_fraction,1.0,True,FEASIBLE,0.516328617103963,9408.443943661947,64.83172808040707,22.0,21.46754357508445,4244,0,native_search,
deadline_multiplier,0.8,True,FEASIBLE,0.5932039895209068,8211.556499942793,74.23098680504928,26.0,20.949278300924455,4244,0,native_search,
deadline_multiplier,1.0,True,FEASIBLE,0.516328617103963,9408.443943661947,64.83172808040707,22.0,21.46754357508445,4244,0,native_search,
deadline_multiplier,1.2,True,FEASIBLE,0.43027384758663606,9408.443943661947,64.83172808040707,22.0,21.46754357508445,4244,0,native_search,
range_energy_fraction,0.8,True,FEASIBLE,0.5148673648083755,9293.959533256106,52.415874577816865,22.0,36.87565948388373,4244,0,recalibrated_range_seed,
range_energy_fraction,1.0,True,FEASIBLE,0.516328617103963,9408.443943661947,64.83172808040707,22.0,21.46754357508445,4244,0,native_search,
