aircraft_id,trip_id,start_time_s,end_time_s,aircraft_model
U07,T001,0.0,1560.1690773291593,C
U08,T002,0.0,2111.887268848464,C
U05,T004,0.0,1555.3795658311296,B
U06,T005,0.0,1942.9647566686642,B
U01,T011,0.0,2163.2851924025626,A
U02,T016,0.0,1190.899502077302,A
U03,T017,0.0,1190.899502077302,A
U04,T018,0.0,1250.899502077302,A
U02,T020,1190.899502077302,2441.799004154604,A
U05,T006,1555.3795658311296,3056.4212350087396,B
U07,T003,1560.1690773291593,3125.8947287380897,C
U06,T007,1942.9647566686642,3788.662611852291,B
U08,T008,2111.887268848464,4865.797805526913,C
U05,T010,3056.4212350087396,4884.697872435716,B
U07,T009,3183.680952299218,5484.737644782419,C
U06,T014,3805.8496423640822,5364.291375452844,B
U08,T012,4865.797805526913,7235.889155131582,C
U05,T015,4884.697872435716,6073.118344670873,B
U06,T019,5378.661050304084,7138.675626281454,B
U07,T013,5484.737644782419,7361.928169308199,C
U05,T022,6551.260762958821,7700.3609702521735,B
U08,T021,7350.373565537422,9408.443943661947,C
