aircraft_id,trip_id,start_time_s,end_time_s,aircraft_model
U07,T001,0.0,1560.1690773291593,C
U08,T002,0.0,2111.887268848464,C
U05,T003,0.0,1555.3795658311296,B
U06,T004,0.0,1942.9647566686642,B
U01,T016,0.0,1190.899502077302,A
U02,T017,0.0,1190.899502077302,A
U03,T018,0.0,1250.899502077302,A
U04,T020,0.0,1250.899502077302,A
U05,T005,1555.3795658311296,3056.4212350087396,B
U07,T007,1560.1690773291593,3059.8947287380897,C
U06,T006,1942.9647566686642,3788.662611852291,B
U08,T008,2111.887268848464,4450.269822423003,C
U05,T012,3056.4212350087396,4884.697872435716,B
U07,T009,3183.680952299218,5619.772301903887,C
U06,T014,3805.8496423640822,5364.291375452844,B
U08,T010,4558.183768088292,6859.240460571493,C
U05,T015,4884.697872435716,6073.118344670873,B
U06,T019,5378.661050304084,7138.675626281454,B
U07,T011,5619.772301903887,7809.8426800284105,C
U05,T021,6551.260762958821,8571.784066502292,B
U08,T013,6859.240460571493,8736.430985097273,C
U06,T022,7138.675626281454,8287.775833574806,B
