battery_id,trip_id,flight_start_time_s,return_time_s,ready_time_s,charge_duration_s,aircraft_model
BC01,T001,0.0,1560.1690773291593,3183.680952299218,1623.5118749700587,C
BC02,T002,0.0,2111.887268848464,4646.7571580549675,2534.8698892065036,C
BB01,T003,0.0,1555.3795658311296,3012.0977016699944,1456.7181358388648,B
BB02,T004,0.0,1942.9647566686642,3805.8496423640822,1862.884885695418,B
BA01,T016,0.0,1190.899502077302,2043.2069372570872,852.3074351797852,A
BA02,T017,0.0,1190.899502077302,2043.2069372570872,852.3074351797852,A
BA03,T018,0.0,1250.899502077302,2121.355027214739,870.455525137437,A
BA04,T020,0.0,1250.899502077302,2107.1140849698486,856.2145828925466,A
BB03,T005,1555.3795658311296,3056.4212350087396,4512.182369404836,1455.7611343960966,B
BC03,T007,1560.1690773291593,3059.8947287380897,4558.183768088292,1498.289039350202,C
BB04,T006,1942.9647566686642,3788.662611852291,5378.661050304084,1589.998438451793,B
BC04,T008,2111.887268848464,4450.269822423003,6364.2715151605025,1914.0016927375,C
BB01,T012,3056.4212350087396,4884.697872435716,6551.260762958821,1666.5628905231051,B
BC01,T009,3183.680952299218,5619.772301903887,8165.871272050524,2546.098970146637,C
BB02,T014,3805.8496423640822,5364.291375452844,6939.325993704184,1575.0346182513404,B
BC03,T010,4558.183768088292,6859.240460571493,9358.992882358862,2499.752421787369,C
BB03,T015,4884.697872435716,6073.118344670873,7205.164109692903,1132.0457650220305,B
BB04,T019,5378.661050304084,7138.675626281454,8829.090627706115,1690.4150014246607,B
BC02,T011,5619.772301903887,7809.8426800284105,10222.749005079433,2412.9063250510226,C
BB01,T021,6551.260762958821,8571.784066502292,10288.902205423088,1717.118138920796,B
BC04,T013,6859.240460571493,8736.430985097273,10713.274884547094,1976.843899449821,C
BB02,T022,7138.675626281454,8287.775833574806,9383.394256009957,1095.618422435151,B
