box_id,trip_id,service_id,material_type,mass_kg,volume_m3,first_batch,priority_weight,delivery_time_s,expected_time_s,hard_deadline_s,expected_lateness_s,hard_deadline_met
S001-FOD-01,T020,S001,应急食品,8.0,0.028,False,10.0,908.5730843719844,7200.0,,0.0,True
S001-FOD-02,T020,S001,应急食品,8.0,0.028,False,10.0,908.5730843719844,7200.0,,0.0,True
S001-FOD-03,T018,S001,应急食品,8.0,0.028,False,10.0,908.5730843719844,7200.0,,0.0,True
S001-HYG-01,T022,S001,生活卫生用品,6.0,0.035,False,8.0,7996.349063261464,10800.0,,0.0,True
S001-HYG-02,T022,S001,生活卫生用品,6.0,0.035,False,8.0,7996.349063261464,10800.0,,0.0,True
S001-MED-01,T001,S001,医疗物资,3.0,0.012,True,24.0,1248.2695386645796,3600.0,3600.0,0.0,True
S001-MED-02,T001,S001,医疗物资,3.0,0.012,False,24.0,1248.2695386645796,3600.0,3600.0,0.0,True
S001-WAT-01,T001,S001,饮用水,14.0,0.027,True,12.0,1248.2695386645796,3600.0,3600.0,0.0,True
S001-WAT-02,T001,S001,饮用水,14.0,0.027,False,12.0,1248.2695386645796,3600.0,,0.0,True
S001-WAT-03,T001,S001,饮用水,14.0,0.027,False,12.0,1248.2695386645796,3600.0,,0.0,True
S001-WAT-04,T001,S001,饮用水,14.0,0.027,False,12.0,1248.2695386645796,3600.0,,0.0,True
S001-WAT-05,T001,S001,饮用水,14.0,0.027,False,12.0,1248.2695386645796,3600.0,,0.0,True
S001-WAT-06,T018,S001,饮用水,14.0,0.027,False,12.0,908.5730843719844,3600.0,,0.0,True
S001-WAT-07,T016,S001,饮用水,14.0,0.027,False,12.0,848.5730843719844,3600.0,,0.0,True
S001-WAT-08,T017,S001,饮用水,14.0,0.027,False,12.0,848.5730843719844,3600.0,,0.0,True
S002-FOD-01,T002,S002,应急食品,8.0,0.028,False,10.0,1489.353634424232,7200.0,,0.0,True
S002-FOD-02,T019,S002,应急食品,8.0,0.028,False,10.0,6540.608338292769,7200.0,,0.0,True
S002-HYG-01,T019,S002,生活卫生用品,6.0,0.035,False,8.0,6540.608338292769,10800.0,,0.0,True
S002-MED-01,T002,S002,医疗物资,3.0,0.012,True,24.0,1489.353634424232,3600.0,3600.0,0.0,True
S002-WAT-01,T002,S002,饮用水,14.0,0.027,True,12.0,1489.353634424232,3600.0,3600.0,0.0,True
S002-WAT-02,T002,S002,饮用水,14.0,0.027,False,12.0,1489.353634424232,3600.0,,0.0,True
S002-WAT-03,T002,S002,饮用水,14.0,0.027,False,12.0,1489.353634424232,3600.0,,0.0,True
S002-WAT-04,T002,S002,饮用水,14.0,0.027,False,12.0,1489.353634424232,3600.0,,0.0,True
S003-FOD-01,T009,S003,应急食品,8.0,0.028,False,8.0,4829.186627101552,10800.0,,0.0,True
S003-FOD-02,T021,S003,应急食品,8.0,0.028,False,8.0,7839.49574806389,10800.0,,0.0,True
S003-HYG-01,T021,S003,生活卫生用品,6.0,0.035,False,6.0,7839.49574806389,14400.0,,0.0,True
S003-MED-01,T009,S003,医疗物资,3.0,0.012,True,20.0,4829.186627101552,7200.0,7200.0,0.0,True
S003-WAT-01,T009,S003,饮用水,14.0,0.027,True,10.0,4829.186627101552,7200.0,7200.0,0.0,True
S003-WAT-02,T009,S003,饮用水,14.0,0.027,False,10.0,4829.186627101552,7200.0,,0.0,True
S003-WAT-03,T009,S003,饮用水,14.0,0.027,False,10.0,4829.186627101552,7200.0,,0.0,True
S003-WAT-04,T009,S003,饮用水,14.0,0.027,False,10.0,4829.186627101552,7200.0,,0.0,True
S004-FOD-01,T010,S004,应急食品,8.0,0.028,False,8.0,6141.682114329892,10800.0,,0.0,True
S004-HYG-01,T010,S004,生活卫生用品,6.0,0.035,False,6.0,6141.682114329892,14400.0,,0.0,True
S004-MED-01,T010,S004,医疗物资,3.0,0.012,True,20.0,6141.682114329892,7200.0,7200.0,0.0,True
S004-WAT-01,T010,S004,饮用水,14.0,0.027,True,10.0,6141.682114329892,7200.0,7200.0,0.0,True
S004-WAT-02,T010,S004,饮用水,14.0,0.027,False,10.0,6141.682114329892,7200.0,,0.0,True
S004-WAT-03,T010,S004,饮用水,14.0,0.027,False,10.0,6141.682114329892,7200.0,,0.0,True
S005-FOD-01,T013,S005,应急食品,8.0,0.028,False,6.0,8232.470722834383,14400.0,,0.0,True
S005-HYG-01,T013,S005,生活卫生用品,6.0,0.035,False,4.0,8232.470722834383,18000.0,,0.0,True
S005-MED-01,T013,S005,医疗物资,3.0,0.012,True,16.0,8232.470722834383,10800.0,10800.0,0.0,True
S005-WAT-01,T013,S005,饮用水,14.0,0.027,True,8.0,8232.470722834383,10800.0,10800.0,0.0,True
S005-WAT-02,T013,S005,饮用水,14.0,0.027,False,8.0,8232.470722834383,10800.0,,0.0,True
S005-WAT-03,T013,S005,饮用水,14.0,0.027,False,8.0,8232.470722834383,10800.0,,0.0,True
S006-FOD-01,T008,S006,应急食品,8.0,0.028,False,10.0,4096.051996718537,7200.0,,0.0,True
S006-HYG-01,T007,S006,生活卫生用品,6.0,0.035,False,8.0,2705.6769030336245,10800.0,,0.0,True
S006-MED-01,T007,S006,医疗物资,3.0,0.012,True,24.0,2705.6769030336245,3600.0,3600.0,0.0,True
S006-WAT-01,T007,S006,饮用水,14.0,0.027,True,12.0,2705.6769030336245,3600.0,3600.0,0.0,True
S006-WAT-02,T007,S006,饮用水,14.0,0.027,False,12.0,2705.6769030336245,3600.0,,0.0,True
S006-WAT-03,T007,S006,饮用水,14.0,0.027,False,12.0,2705.6769030336245,3600.0,,0.0,True
S007-FOD-01,T008,S007,应急食品,8.0,0.028,False,10.0,3480.5020673376994,7200.0,,0.0,True
S007-HYG-01,T008,S007,生活卫生用品,6.0,0.035,False,8.0,3480.5020673376994,10800.0,,0.0,True
S007-MED-01,T008,S007,医疗物资,3.0,0.012,True,24.0,3480.5020673376994,3600.0,3600.0,0.0,True
S007-WAT-01,T008,S007,饮用水,14.0,0.027,True,12.0,3480.5020673376994,3600.0,3600.0,0.0,True
S007-WAT-02,T008,S007,饮用水,14.0,0.027,False,12.0,3480.5020673376994,3600.0,,0.0,True
S008-FOD-01,T011,S008,应急食品,8.0,0.028,False,8.0,7112.647490966148,10800.0,,0.0,True
S008-HYG-01,T011,S008,生活卫生用品,6.0,0.035,False,6.0,7112.647490966148,14400.0,,0.0,True
S008-MED-01,T011,S008,医疗物资,3.0,0.012,True,20.0,7112.647490966148,7200.0,7200.0,0.0,True
S008-WAT-01,T011,S008,饮用水,14.0,0.027,True,10.0,7112.647490966148,7200.0,7200.0,0.0,True
S008-WAT-02,T011,S008,饮用水,14.0,0.027,False,10.0,7112.647490966148,7200.0,,0.0,True
S009-FOD-01,T014,S009,应急食品,8.0,0.028,False,6.0,4896.660508908462,14400.0,,0.0,True
S009-MED-01,T014,S009,医疗物资,3.0,0.012,True,16.0,4896.660508908462,10800.0,10800.0,0.0,True
S009-WAT-01,T014,S009,饮用水,14.0,0.027,True,8.0,4896.660508908462,10800.0,10800.0,0.0,True
S010-FOD-01,T003,S010,应急食品,8.0,0.028,False,10.0,1085.2264495822315,7200.0,,0.0,True
S010-MED-01,T003,S010,医疗物资,3.0,0.012,True,24.0,1085.2264495822315,3600.0,3600.0,0.0,True
S010-WAT-01,T003,S010,饮用水,14.0,0.027,True,12.0,1085.2264495822315,3600.0,3600.0,0.0,True
S011-FOD-01,T015,S011,应急食品,8.0,0.028,False,6.0,5791.094775219961,14400.0,,0.0,True
S011-MED-01,T015,S011,医疗物资,3.0,0.012,True,16.0,5791.094775219961,10800.0,10800.0,0.0,True
S011-WAT-01,T015,S011,饮用水,14.0,0.027,True,8.0,5791.094775219961,10800.0,10800.0,0.0,True
S012-FOD-01,T004,S012,应急食品,8.0,0.028,False,10.0,1281.412378334332,7200.0,,0.0,True
S012-MED-01,T004,S012,医疗物资,3.0,0.012,True,22.0,1281.412378334332,7200.0,3600.0,0.0,True
S012-WAT-01,T004,S012,饮用水,14.0,0.027,True,12.0,1281.412378334332,3600.0,3600.0,0.0,True
S013-FOD-01,T005,S013,应急食品,8.0,0.028,False,10.0,2613.433733753268,7200.0,,0.0,True
S013-MED-01,T005,S013,医疗物资,3.0,0.012,True,24.0,2613.433733753268,3600.0,3600.0,0.0,True
S013-WAT-01,T005,S013,饮用水,14.0,0.027,True,12.0,2613.433733753268,3600.0,3600.0,0.0,True
S014-FOD-01,T006,S014,应急食品,8.0,0.028,False,10.0,3173.3703509271445,7200.0,,0.0,True
S014-MED-01,T006,S014,医疗物资,3.0,0.012,True,22.0,3173.3703509271445,7200.0,3600.0,0.0,True
