aircraft_id,trip_id,start_time_s,end_time_s,aircraft_model
U07,T001,0.0,1560.1690773291593,C
U08,T002,0.0,2111.887268848464,C
U05,T004,0.0,1555.3795658311296,B
U06,T005,0.0,1942.9647566686642,B
U05,T006,1555.3795658311296,3056.4212350087396,B
U07,T003,1560.1690773291593,3125.8947287380897,C
U06,T007,1942.9647566686642,3788.662611852291,B
U08,T008,2111.887268848464,4714.030615675441,C
U07,T009,3183.680952299218,5619.772301903887,C
U08,T010,4714.030615675441,6904.100993799965,C
U07,T011,5619.772301903887,7854.828994387088,C
U08,T012,7003.583846966111,9302.964299501491,C
U07,T013,8165.871272050524,10813.611905750153,C
U08,T014,9317.007318850989,11978.391467569632,C
U07,T015,10813.611905750153,12439.780983079312,C
