battery_id,trip_id,flight_start_time_s,return_time_s,ready_time_s,charge_duration_s,aircraft_model
BC01,T001,0.0,1560.1690773291593,3183.680952299218,1623.5118749700587,C
BC02,T002,0.0,2111.887268848464,4646.7571580549675,2534.8698892065036,C
BB01,T004,0.0,1555.3795658311296,3012.0977016699944,1456.7181358388648,B
BB02,T005,0.0,1942.9647566686642,3805.8496423640822,1862.884885695418,B
BB03,T006,1555.3795658311296,3056.4212350087396,4512.182369404836,1455.7611343960966,B
BC03,T003,1560.1690773291593,3125.8947287380897,4663.32205787984,1537.4273291417503,C
BB04,T007,1942.9647566686642,3788.662611852291,5378.661050304084,1589.998438451793,B
BC04,T008,2111.887268848464,4714.030615675441,7003.583846966111,2289.55323129067,C
BC01,T009,3183.680952299218,5619.772301903887,8165.871272050524,2546.098970146637,C
BC02,T010,4714.030615675441,6904.100993799965,9317.007318850989,2412.9063250510235,C
BC03,T011,5619.772301903887,7854.828994387088,10262.377660223872,2407.5486658367845,C
BC04,T012,7003.583846966111,9302.964299501491,11562.16591521733,2259.2016157158396,C
BC01,T013,8165.871272050524,10813.611905750153,13313.920276982924,2500.3083712327716,C
BC02,T014,9317.007318850989,11978.391467569632,14230.733363014631,2252.341895444999,C
BC03,T015,10813.611905750153,12439.780983079312,14084.468491733396,1644.687508654084,C
