box_id,trip_id,service_id,material_type,mass_kg,volume_m3,first_batch,priority_weight,delivery_time_s,expected_time_s,hard_deadline_s,expected_lateness_s,hard_deadline_met
S001-FOD-01,T015,S001,应急食品,8.0,0.028,False,10.0,12127.881444414732,7200.0,,4927.881444414732,True
S001-FOD-02,T015,S001,应急食品,8.0,0.028,False,10.0,12127.881444414732,7200.0,,4927.881444414732,True
S001-FOD-03,T015,S001,应急食品,8.0,0.028,False,10.0,12127.881444414732,7200.0,,4927.881444414732,True
S001-HYG-01,T015,S001,生活卫生用品,6.0,0.035,False,8.0,12127.881444414732,10800.0,,1327.881444414732,True
S001-HYG-02,T015,S001,生活卫生用品,6.0,0.035,False,8.0,12127.881444414732,10800.0,,1327.881444414732,True
S001-MED-01,T001,S001,医疗物资,3.0,0.012,True,24.0,1248.2695386645796,3600.0,3600.0,0.0,True
S001-MED-02,T001,S001,医疗物资,3.0,0.012,False,24.0,1248.2695386645796,3600.0,3600.0,0.0,True
S001-WAT-01,T001,S001,饮用水,14.0,0.027,True,12.0,1248.2695386645796,3600.0,3600.0,0.0,True
S001-WAT-02,T001,S001,饮用水,14.0,0.027,False,12.0,1248.2695386645796,3600.0,,0.0,True
S001-WAT-03,T001,S001,饮用水,14.0,0.027,False,12.0,1248.2695386645796,3600.0,,0.0,True
S001-WAT-04,T001,S001,饮用水,14.0,0.027,False,12.0,1248.2695386645796,3600.0,,0.0,True
S001-WAT-05,T001,S001,饮用水,14.0,0.027,False,12.0,1248.2695386645796,3600.0,,0.0,True
S001-WAT-06,T015,S001,饮用水,14.0,0.027,False,12.0,12127.881444414732,3600.0,,8527.881444414732,True
S001-WAT-07,T015,S001,饮用水,14.0,0.027,False,12.0,12127.881444414732,3600.0,,8527.881444414732,True
S001-WAT-08,T015,S001,饮用水,14.0,0.027,False,12.0,12127.881444414732,3600.0,,8527.881444414732,True
S002-FOD-01,T002,S002,应急食品,8.0,0.028,False,10.0,1489.353634424232,7200.0,,0.0,True
S002-FOD-02,T012,S002,应急食品,8.0,0.028,False,10.0,8318.937481390343,7200.0,,1118.9374813903432,True
S002-HYG-01,T012,S002,生活卫生用品,6.0,0.035,False,8.0,8318.937481390343,10800.0,,0.0,True
S002-MED-01,T002,S002,医疗物资,3.0,0.012,True,24.0,1489.353634424232,3600.0,3600.0,0.0,True
S002-WAT-01,T002,S002,饮用水,14.0,0.027,True,12.0,1489.353634424232,3600.0,3600.0,0.0,True
S002-WAT-02,T002,S002,饮用水,14.0,0.027,False,12.0,1489.353634424232,3600.0,,0.0,True
S002-WAT-03,T002,S002,饮用水,14.0,0.027,False,12.0,1489.353634424232,3600.0,,0.0,True
S002-WAT-04,T002,S002,饮用水,14.0,0.027,False,12.0,1489.353634424232,3600.0,,0.0,True
S003-FOD-01,T009,S003,应急食品,8.0,0.028,False,8.0,4829.186627101552,10800.0,,0.0,True
