trip_id,aircraft_model,aircraft_id,battery_id,start_time_s,return_time_s,battery_ready_time_s,duration_s,energy_kwh,return_soc_percent,total_mass_kg,total_volume_m3,stop_count,stop_sequence,box_count,box_ids
T001,C,U07,BC01,0.0,1560.1690773291593,3183.680952299218,1560.1690773291593,2.917582307581756,63.53022115522805,76.0,0.159,1,S001,7,S001-WAT-01|S001-MED-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-WAT-05
T002,C,U08,BC02,0.0,2111.887268848464,4646.7571580549675,2111.887268848464,6.282596513993244,21.46754357508445,67.0,0.148,1,S002,6,S002-WAT-01|S002-MED-01|S002-WAT-02|S002-WAT-03|S002-WAT-04|S002-FOD-01
T004,B,U05,BB01,0.0,1555.3795658311296,3012.0977016699944,1555.3795658311296,1.823195698089688,54.4201075477578,25.0,0.067,1,S010,3,S010-WAT-01|S010-MED-01|S010-FOD-01
T005,B,U06,BB02,0.0,1942.9647566686642,3805.8496423640822,1942.9647566686642,2.760503582374042,30.987410440648954,25.0,0.067,1,S012,3,S012-WAT-01|S012-MED-01|S012-FOD-01
T006,B,U05,BB03,1555.3795658311296,3056.4212350087396,4512.182369404836,1501.04166917761,1.8209872332217598,54.47531916945601,25.0,0.067,1,S013,3,S013-WAT-01|S013-MED-01|S013-FOD-01
T003,C,U07,BC03,1560.1690773291593,3125.8947287380897,4663.32205787984,1565.7256514089304,2.5997316768310785,67.50335403961152,59.0,0.156,1,S006,6,S006-WAT-01|S006-MED-01|S006-WAT-02|S006-WAT-03|S006-FOD-01|S006-HYG-01
T007,B,U06,BB04,1942.9647566686642,3788.662611852291,5378.661050304084,1845.6978551836269,2.130765627196446,46.73085932008885,25.0,0.067,1,S014,3,S014-WAT-01|S014-MED-01|S014-FOD-01
T008,C,U08,BC04,2111.887268848464,4714.030615675441,7003.583846966111,2602.143346826977,5.376811930919397,32.78985086350754,70.0,0.196,2,S007>S015,8,S007-FOD-01|S007-HYG-01|S007-MED-01|S007-WAT-01|S007-WAT-02|S015-FOD-01|S015-MED-01|S015-WAT-01
T009,C,U07,BC01,3183.680952299218,5619.772301903887,8165.871272050524,2436.0913496046687,6.3240577359260435,20.949278300924455,67.0,0.148,1,S003,6,S003-WAT-01|S003-MED-01|S003-WAT-02|S003-WAT-03|S003-WAT-04|S003-FOD-01
T010,C,U08,BC02,4714.030615675441,6904.100993799965,9317.007318850989,2190.070378124524,5.832269507880703,27.096631151491213,45.0,0.129,1,S008,5,S008-WAT-01|S008-MED-01|S008-WAT-02|S008-FOD-01|S008-HYG-01
T011,C,U07,BC03,5619.772301903887,7854.828994387088,10262.377660223872,2235.0566924832005,5.812487381551204,27.34390773060995,51.0,0.128,1,S004,5,S004-HYG-01|S004-MED-01|S004-WAT-01|S004-WAT-02|S004-WAT-03
T012,C,U08,BC04,7003.583846966111,9302.964299501491,11562.16591521733,2299.38045253538,5.264744427258487,34.190694659268914,39.0,0.13,2,S002>S009,5,S002-FOD-02|S002-HYG-01|S009-FOD-01|S009-MED-01|S009-WAT-01
T013,C,U07,BC01,8165.871272050524,10813.611905750153,13313.920276982924,2647.740633699629,6.154984755320999,23.06269055848751,67.0,0.184,2,S005>S004,7,S005-FOD-01|S005-HYG-01|S005-MED-01|S005-WAT-01|S005-WAT-02|S005-WAT-03|S004-FOD-01
T014,C,U08,BC02,9317.007318850989,11978.391467569632,14230.733363014631,2661.384148718643,5.239416229335378,34.50729713330778,39.0,0.13,2,S011>S003,5,S011-FOD-01|S011-MED-01|S011-WAT-01|S003-FOD-02|S003-HYG-01
T015,C,U07,BC03,10813.611905750153,12439.780983079312,14084.468491733396,1626.1690773291593,2.9957692627227734,62.552884215965335,78.0,0.23500000000000001,1,S001,8,S001-WAT-06|S001-WAT-07|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-HYG-02
