aircraft_id,trip_id,start_time_s,end_time_s
U07,T001,0.0,1560.1690773291593
U08,T002,0.0,1626.1690773291593
U05,T003,0.0,1555.3795658311296
U06,T004,0.0,1942.9647566686642
U01,T005,0.0,1652.5481242545018
U02,T006,0.0,1652.5481242545018
U03,T007,0.0,1652.5481242545018
U05,T008,1555.3795658311296,3056.4212350087396
U07,T009,1560.1690773291593,3672.0563461776233
U08,T010,1626.1690773291593,3191.8947287380897
U06,T011,1942.9647566686642,3788.662611852291
U05,T012,3056.4212350087396,4884.697872435716
U08,T013,3191.8947287380897,5627.986078342758
U07,T014,3672.0563461776233,5973.113038660824
U06,T015,3805.8496423640822,5505.864218341452
U05,T016,4884.697872435716,6386.097311129682
U06,T018,5505.864218341452,7064.305951430213
U08,T017,5627.986078342758,7752.056456467282
U07,T019,6206.926235384127,8802.31038410277
U05,T020,6551.260762958821,8127.430991260644
U06,T021,7150.645412814444,8850.659988791815
U05,T023,8127.430991260644,9628.83042995461
U08,T022,8174.085048489395,9853.275573015177
U06,T024,8850.659988791815,10811.183292335285
U05,T025,9649.35694949049,11483.341038145612
