battery_id,trip_id,start_time_s,flight_end_time_s,charge_end_time_s
BC01,T001,0.0,1560.1690773291593,3183.680952299218
BC02,T002,0.0,1626.1690773291593,3270.856585983244
BB01,T003,0.0,1555.3795658311296,3012.0977016699944
BB02,T004,0.0,1942.9647566686642,3805.8496423640822
BA01,T005,0.0,1652.5481242545018,2667.705462092231
BA02,T006,0.0,1652.5481242545018,2691.7986972548306
BA03,T007,0.0,1652.5481242545018,2691.7986972548306
BB03,T008,1555.3795658311296,3056.4212350087396,4512.182369404836
BC03,T009,1560.1690773291593,3672.0563461776233,6206.926235384127
BC04,T010,1626.1690773291593,3191.8947287380897,4729.32205787984
BB04,T011,1942.9647566686642,3788.662611852291,5378.661050304084
BB01,T012,3056.4212350087396,4884.697872435716,6551.260762958821
BC01,T013,3191.8947287380897,5627.986078342758,8174.085048489395
BC02,T014,3672.0563461776233,5973.113038660824,8472.865460448193
BB02,T015,3805.8496423640822,5505.864218341452,7150.645412814444
BB03,T016,4884.697872435716,6386.097311129682,7692.916366269989
BB04,T018,5505.864218341452,7064.305951430213,8639.340569681553
BC04,T017,5627.986078342758,7752.056456467282,10116.680469577752
BC03,T019,6206.926235384127,8802.31038410277,11019.717506123396
BB01,T020,6551.260762958821,8127.430991260644,9649.35694949049
BB02,T021,7150.645412814444,8850.659988791815,10484.3521835783
BB03,T023,8127.430991260644,9628.83042995461,10928.006016869693
BC01,T022,8174.085048489395,9853.275573015177,11674.451169700858
BB04,T024,8850.659988791815,10811.183292335285,12481.0777847728
BB01,T025,9649.35694949049,11483.341038145612,13208.438511375338
