trip_id,aircraft_model,aircraft_id,battery_id,start_time_s,return_time_s,battery_ready_time_s,duration_s,energy_kwh,return_soc_percent,total_mass_kg,total_volume_m3,stop_sequence,box_ids
T001,C,U07,BC01,0.0,1560.1690773291593,3183.680952299218,1560.1690773291593,2.917582307581756,63.53022115522805,76.0,0.159,S001,S001-WAT-01|S001-MED-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-WAT-05
T002,C,U08,BC02,0.0,1626.1690773291593,3270.856585983244,1626.1690773291593,2.9957692627227734,62.552884215965335,78.0,0.23500000000000001,S001,S001-WAT-06|S001-WAT-07|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-HYG-02
T003,B,U05,BB01,0.0,1555.3795658311296,3012.0977016699944,1555.3795658311296,1.823195698089688,54.4201075477578,25.0,0.067,S010,S010-WAT-01|S010-MED-01|S010-FOD-01
T004,B,U06,BB02,0.0,1942.9647566686642,3805.8496423640822,1942.9647566686642,2.760503582374042,30.987410440648954,25.0,0.067,S012,S012-WAT-01|S012-MED-01|S012-FOD-01
T005,A,U01,BA01,0.0,1652.5481242545018,2667.705462092231,1652.5481242545018,1.7832369386690619,60.372512474020844,3.0,0.012,S007,S007-MED-01
T006,A,U02,BA02,0.0,1652.5481242545018,2691.7986972548306,1652.5481242545018,1.866636598847291,58.51918669228242,14.0,0.027,S007,S007-WAT-01
T007,A,U03,BA03,0.0,1652.5481242545018,2691.7986972548306,1652.5481242545018,1.866636598847291,58.51918669228242,14.0,0.027,S007,S007-WAT-02
T008,B,U05,BB03,1555.3795658311296,3056.4212350087396,4512.182369404836,1501.04166917761,1.8209872332217598,54.47531916945601,25.0,0.067,S013,S013-WAT-01|S013-MED-01|S013-FOD-01
T009,C,U07,BC03,1560.1690773291593,3672.0563461776233,6206.926235384127,2111.887268848464,6.282596513993244,21.46754357508445,67.0,0.148,S002,S002-WAT-01|S002-MED-01|S002-WAT-02|S002-WAT-03|S002-WAT-04|S002-FOD-01
T010,C,U08,BC04,1626.1690773291593,3191.8947287380897,4729.32205787984,1565.7256514089304,2.5997316768310785,67.50335403961152,59.0,0.156,S006,S006-WAT-01|S006-MED-01|S006-WAT-02|S006-WAT-03|S006-FOD-01|S006-HYG-01
T011,B,U06,BB04,1942.9647566686642,3788.662611852291,5378.661050304084,1845.6978551836269,2.130765627196446,46.73085932008885,25.0,0.067,S014,S014-WAT-01|S014-MED-01|S014-FOD-01
T012,B,U05,BB01,3056.4212350087396,4884.697872435716,6551.260762958821,1828.276637426976,2.3074528242840895,42.31367939289776,25.0,0.067,S015,S015-MED-01|S015-WAT-01|S015-FOD-01
T013,C,U08,BC01,3191.8947287380897,5627.986078342758,8174.085048489395,2436.0913496046687,6.3240577359260435,20.949278300924455,67.0,0.148,S003,S003-WAT-01|S003-MED-01|S003-WAT-02|S003-WAT-03|S003-WAT-04|S003-FOD-01
T014,C,U07,BC02,3672.0563461776233,5973.113038660824,8472.865460448193,2301.0566924832005,6.152932018907209,23.08834976365989,59.0,0.156,S004,S004-WAT-01|S004-MED-01|S004-WAT-02|S004-WAT-03|S004-FOD-01|S004-HYG-01
T015,B,U06,BB02,3805.8496423640822,5505.864218341452,7150.645412814444,1700.01457597737,2.257187371860751,43.57031570348122,8.0,0.028,S002,S002-FOD-02
T016,B,U05,BB03,4884.697872435716,6386.097311129682,7692.916366269989,1501.399438693966,1.4772747426314796,63.068131434213015,8.0,0.028,S007,S007-FOD-01
T018,B,U06,BB04,5505.864218341452,7064.305951430213,8639.340569681553,1558.4417330887613,2.0962337344261712,47.59415663934572,25.0,0.067,S009,S009-WAT-01|S009-MED-01|S009-FOD-01
T017,C,U08,BC04,5627.986078342758,7752.056456467282,10116.680469577752,2124.070378124524,5.653996356100198,29.325045548747532,39.0,0.094,S008,S008-WAT-01|S008-MED-01|S008-WAT-02|S008-FOD-01
T019,C,U07,BC03,6206.926235384127,8802.31038410277,11019.717506123396,2595.384148718643,5.110426296691539,36.11967129135576,31.0,0.10200000000000001,S011>S003,S011-FOD-01|S011-MED-01|S011-WAT-01|S003-HYG-01
T020,B,U05,BB01,6551.260762958821,8127.430991260644,9649.35694949049,1576.1702283018226,1.9736752882227202,50.65811779443199,25.0,0.067,S005,S005-FOD-01|S005-MED-01|S005-WAT-01
T021,B,U06,BB02,7150.645412814444,8850.659988791815,10484.3521835783,1700.01457597737,2.231597372584194,44.21006568539515,6.0,0.035,S002,S002-HYG-01
T023,B,U05,BB03,8127.430991260644,9628.83042995461,10928.006016869693,1501.399438693966,1.4596359698040358,63.50910075489911,6.0,0.035,S007,S007-HYG-01
T022,C,U08,BC01,8174.085048489395,9853.275573015177,11674.451169700858,1679.1905245257808,3.647417587762514,54.407280152968575,34.0,0.089,S005,S005-HYG-01|S005-WAT-02|S005-WAT-03
T024,B,U06,BB04,8850.659988791815,10811.183292335285,12481.0777847728,1960.5233035434708,2.315141136394266,42.121471590143344,8.0,0.028,S003,S003-FOD-02
T025,B,U05,BB01,9649.35694949049,11483.341038145612,13208.438511375338,1833.9840886551233,2.442532630530137,38.93668423674658,6.0,0.035,S008,S008-HYG-01
