aircraft_id,trip_id,start_time_s,end_time_s
U07,T001,0.0,1560.1690773291593
U08,T002,0.0,1626.1690773291593
U05,T005,0.0,1555.3795658311296
U06,T006,0.0,1942.9647566686642
U01,T009,0.0,1652.5481242545018
U02,T010,0.0,1652.5481242545018
U03,T011,0.0,1652.5481242545018
U05,T007,1555.3795658311296,3056.4212350087396
U07,T003,1560.1690773291593,3672.0563461776233
U08,T004,1626.1690773291593,3191.8947287380897
U06,T008,1942.9647566686642,3788.662611852291
U05,T012,3056.4212350087396,4816.43581098611
U08,T013,3191.8947287380897,5627.986078342758
U07,T014,3672.0563461776233,5973.113038660824
U06,T016,3805.8496423640822,5634.126279791059
U05,T017,4816.43581098611,6377.835249680075
U08,T015,5627.986078342758,7818.056456467282
U06,T018,5634.126279791059,7192.568012879819
U07,T019,6206.926235384127,8868.31038410277
U05,T020,6506.85081241077,8083.021040712592
U08,T021,8174.085048489395,9853.275573015177
