battery_id,trip_id,start_time_s,flight_end_time_s,charge_end_time_s
BC01,T001,0.0,1560.1690773291593,3183.680952299218
BC02,T002,0.0,1626.1690773291593,3270.856585983244
BB01,T005,0.0,1555.3795658311296,3012.0977016699944
BB02,T006,0.0,1942.9647566686642,3805.8496423640822
BA01,T009,0.0,1652.5481242545018,2667.705462092231
BA02,T010,0.0,1652.5481242545018,2691.7986972548306
BA03,T011,0.0,1652.5481242545018,2691.7986972548306
BB03,T007,1555.3795658311296,3056.4212350087396,4512.182369404836
BC03,T003,1560.1690773291593,3672.0563461776233,6206.926235384127
BC04,T004,1626.1690773291593,3191.8947287380897,4729.32205787984
BB04,T008,1942.9647566686642,3788.662611852291,5378.661050304084
BB01,T012,3056.4212350087396,4816.43581098611,6506.85081241077
BC01,T013,3191.8947287380897,5627.986078342758,8174.085048489395
BC02,T014,3672.0563461776233,5973.113038660824,8472.865460448193
BB02,T016,3805.8496423640822,5634.126279791059,7300.689170314164
BB03,T017,4816.43581098611,6377.835249680075,7715.1510910508705
BC04,T015,5627.986078342758,7818.056456467282,10230.962781518305
BB04,T018,5634.126279791059,7192.568012879819,8767.60263113116
BC03,T019,6206.926235384127,8868.31038410277,11120.652279547769
BB01,T020,6506.85081241077,8083.021040712592,9604.946998942438
BC01,T021,8174.085048489395,9853.275573015177,11674.451169700858
