trip_id,aircraft_model,aircraft_id,battery_id,start_time_s,return_time_s,battery_ready_time_s,duration_s,energy_kwh,return_soc_percent,total_mass_kg,total_volume_m3,stop_sequence,box_ids
T001,C,U07,BC01,0.0,1560.1690773291593,3183.680952299218,1560.1690773291593,2.917582307581756,63.53022115522805,76.0,0.159,S001,S001-WAT-01|S001-MED-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-WAT-05
T002,C,U08,BC02,0.0,1626.1690773291593,3270.856585983244,1626.1690773291593,2.9957692627227734,62.552884215965335,78.0,0.23500000000000001,S001,S001-WAT-06|S001-WAT-07|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-01|S001-HYG-02
T005,B,U05,BB01,0.0,1555.3795658311296,3012.0977016699944,1555.3795658311296,1.823195698089688,54.4201075477578,25.0,0.067,S010,S010-WAT-01|S010-MED-01|S010-FOD-01
T006,B,U06,BB02,0.0,1942.9647566686642,3805.8496423640822,1942.9647566686642,2.760503582374042,30.987410440648954,25.0,0.067,S012,S012-WAT-01|S012-MED-01|S012-FOD-01
T009,A,U01,BA01,0.0,1652.5481242545018,2667.705462092231,1652.5481242545018,1.7832369386690619,60.372512474020844,3.0,0.012,S007,S007-MED-01
T010,A,U02,BA02,0.0,1652.5481242545018,2691.7986972548306,1652.5481242545018,1.866636598847291,58.51918669228242,14.0,0.027,S007,S007-WAT-01
T011,A,U03,BA03,0.0,1652.5481242545018,2691.7986972548306,1652.5481242545018,1.866636598847291,58.51918669228242,14.0,0.027,S007,S007-WAT-02
T007,B,U05,BB03,1555.3795658311296,3056.4212350087396,4512.182369404836,1501.04166917761,1.8209872332217598,54.47531916945601,25.0,0.067,S013,S013-WAT-01|S013-MED-01|S013-FOD-01
T003,C,U07,BC03,1560.1690773291593,3672.0563461776233,6206.926235384127,2111.887268848464,6.282596513993244,21.46754357508445,67.0,0.148,S002,S002-WAT-01|S002-MED-01|S002-WAT-02|S002-WAT-03|S002-WAT-04|S002-FOD-01
T004,C,U08,BC04,1626.1690773291593,3191.8947287380897,4729.32205787984,1565.7256514089304,2.5997316768310785,67.50335403961152,59.0,0.156,S006,S006-WAT-01|S006-MED-01|S006-WAT-02|S006-WAT-03|S006-FOD-01|S006-HYG-01
T008,B,U06,BB04,1942.9647566686642,3788.662611852291,5378.661050304084,1845.6978551836269,2.130765627196446,46.73085932008885,25.0,0.067,S014,S014-WAT-01|S014-MED-01|S014-FOD-01
T012,B,U05,BB01,3056.4212350087396,4816.43581098611,6506.85081241077,1760.01457597737,2.3624961571338323,40.93759607165419,14.0,0.063,S002,S002-FOD-02|S002-HYG-01
T013,C,U08,BC01,3191.8947287380897,5627.986078342758,8174.085048489395,2436.0913496046687,6.3240577359260435,20.949278300924455,67.0,0.148,S003,S003-WAT-01|S003-MED-01|S003-WAT-02|S003-WAT-03|S003-WAT-04|S003-FOD-01
T014,C,U07,BC02,3672.0563461776233,5973.113038660824,8472.865460448193,2301.0566924832005,6.152932018907209,23.08834976365989,59.0,0.156,S004,S004-WAT-01|S004-MED-01|S004-WAT-02|S004-WAT-03|S004-FOD-01|S004-HYG-01
T016,B,U06,BB02,3805.8496423640822,5634.126279791059,7300.689170314164,1828.276637426976,2.3074528242840895,42.31367939289776,25.0,0.067,S015,S015-MED-01|S015-WAT-01|S015-FOD-01
T017,B,U05,BB03,4816.43581098611,6377.835249680075,7715.1510910508705,1561.399438693966,1.5476519416249115,61.30870145937721,14.0,0.063,S007,S007-FOD-01|S007-HYG-01
T015,C,U08,BC04,5627.986078342758,7818.056456467282,10230.962781518305,2190.070378124524,5.832269507880703,27.096631151491213,45.0,0.129,S008,S008-WAT-01|S008-MED-01|S008-WAT-02|S008-FOD-01|S008-HYG-01
T018,B,U06,BB04,5634.126279791059,7192.568012879819,8767.60263113116,1558.4417330887613,2.0962337344261712,47.59415663934572,25.0,0.067,S009,S009-WAT-01|S009-MED-01|S009-FOD-01
T019,C,U07,BC03,6206.926235384127,8868.31038410277,11120.652279547769,2661.384148718643,5.239416229335378,34.50729713330778,39.0,0.13,S011>S003,S011-FOD-01|S011-MED-01|S011-WAT-01|S003-FOD-02|S003-HYG-01
T020,B,U05,BB01,6506.85081241077,8083.021040712592,9604.946998942438,1576.1702283018226,1.9736752882227202,50.65811779443199,25.0,0.067,S005,S005-FOD-01|S005-MED-01|S005-WAT-01
T021,C,U08,BC01,8174.085048489395,9853.275573015177,11674.451169700858,1679.1905245257808,3.647417587762514,54.407280152968575,34.0,0.089,S005,S005-HYG-01|S005-WAT-02|S005-WAT-03
