segment_id,transport_trip_id,mode,relay_sortie_id,start_time_s,end_time_s
T016-C0001,T016,direct,,330.0,378.45220336914065
T017-C0001,T017,direct,,330.0,378.45220336914065
T018-C0001,T018,direct,,360.0,408.45220336914065
T016-C0002,T016,direct,,378.45220336914065,632.9504403290156
T017-C0002,T017,direct,,378.45220336914065,632.9504403290156
T004-C0001,T004,direct,,390.0,489.796787516276
T005-C0001,T005,direct,,390.0,478.3506103515625
T018-C0002,T018,direct,,408.45220336914065,662.9504403290156
T005-C0002,T005,direct,,478.3506103515625,741.8789218319753
T002-C0001,T002,direct,,480.0,553.4072314453125
T006-C0001,T006,direct,,480.0,576.2861987304688
T004-C0002,T004,direct,,489.796787516276,753.184944834812
T002-C0002,T002,direct,,553.4072314453125,817.2251338656845
T006-C0002,T006,direct,,576.2861987304688,788.7000772913791
T016-C0003,T016,direct,,632.9504403290156,668.5730843719844
T017-C0003,T017,direct,,632.9504403290156,668.5730843719844
T018-C0003,T018,direct,,662.9504403290156,698.5730843719844
T016-C0004,T016,direct,,668.5730843719844,848.5730843719844
T017-C0004,T017,direct,,668.5730843719844,848.5730843719844
T018-C0004,T018,direct,,698.5730843719844,908.5730843719844
T005-C0003,T005,relay,RLY001,741.8789218319753,801.6334355002632
T004-C0003,T004,relay,RLY001,753.184944834812,982.496233314801
T006-C0003,T006,direct,,788.7000772913791,815.5078257044651
T005-C0004,T005,relay,RLY001,801.6334355002632,818.0541679221382
T006-C0004,T006,direct,,815.5078257044651,1211.5078257044652
T002-C0003,T002,relay,RLY002,817.2251338656845,1047.4945951175914
T005-C0005,T005,relay,RLY002,818.0541679221382,1058.0541679221383
T016-C0005,T016,direct,,848.5730843719844,878.2586210744583
T017-C0005,T017,direct,,848.5730843719844,878.2586210744583
T016-C0006,T016,direct,,878.2586210744583,1132.7568580343334
T017-C0006,T017,direct,,878.2586210744583,1132.7568580343334
T018-C0005,T018,direct,,908.5730843719844,938.2586210744583
T018-C0006,T018,direct,,938.2586210744583,1192.7568580343334
T004-C0004,T004,relay,RLY002,982.496233314801,1041.4123783343323
T004-C0005,T004,relay,RLY001,1041.4123783343323,1281.4123783343323
T002-C0004,T002,relay,RLY001,1047.4945951175914,1093.353634424232
T005-C0006,T005,relay,RLY001,1058.0541679221383,1071.7381116070342
T005-C0007,T005,relay,RLY002,1071.7381116070342,1131.492625275322
T002-C0005,T002,relay,RLY001,1093.353634424232,1489.353634424232
T005-C0008,T005,direct,,1131.492625275322,1395.020936755735
T016-C0007,T016,direct,,1132.7568580343334,1190.8995020773023
T017-C0007,T017,direct,,1132.7568580343334,1190.8995020773023
T018-C0007,T018,direct,,1192.7568580343334,1250.8995020773023
T006-C0005,T006,direct,,1211.5078257044652,1232.954024434934
T006-C0006,T006,direct,,1232.954024434934,1445.3679029958444
T004-C0006,T004,relay,RLY002,1281.4123783343323,1330.5091658506083
T004-C0007,T004,relay,RLY002,1330.5091658506083,1559.8204543305974
T005-C0009,T005,direct,,1395.020936755735,1501.04166917761
T006-C0007,T006,direct,,1445.3679029958444,1565.7256514089304
T002-C0006,T002,relay,RLY001,1489.353634424232,1526.0408658695446
T002-C0007,T002,relay,RLY002,1526.0408658695446,1756.3103271214518
T019-C0001,T019,direct,,1550.9,1599.3522033691406
T004-C0008,T004,direct,,1559.8204543305974,1823.2086116491332
T019-C0002,T019,direct,,1599.3522033691406,1853.8504403290158
T002-C0008,T002,direct,,1756.3103271214518,2020.1282295418234
T004-C0009,T004,direct,,1823.2086116491332,1942.9647566686644
T019-C0003,T019,direct,,1853.8504403290158,1889.4730843719844
T019-C0004,T019,direct,,1889.4730843719844,2099.4730843719844
T003-C0001,T003,direct,,1950.0,2052.64551188151
T002-C0009,T002,direct,,2020.1282295418234,2111.887268848464
T003-C0002,T003,direct,,2052.64551188151,2315.9966134457018
T001-C0001,T001,direct,,2075.8,2133.942644042969
T019-C0005,T019,direct,,2099.4730843719844,2129.1586210744586
T019-C0006,T019,direct,,2129.1586210744586,2383.6568580343337
T001-C0002,T001,direct,,2133.942644042969,2337.5412336108684
T003-C0003,T003,relay,RLY002,2315.9966134457018,2371.611835324419
T007-C0001,T007,direct,,2333.0,2482.2812744140624
T001-C0003,T001,direct,,2337.5412336108684,2382.0695386645793
T003-C0004,T003,relay,RLY002,2371.611835324419,2405.2264495822315
T001-C0004,T001,direct,,2382.0695386645793,2814.0695386645793
T019-C0007,T019,direct,,2383.6568580343337,2441.7995020773023
T003-C0005,T003,relay,RLY002,2405.2264495822315,2645.2264495822315
T007-C0002,T007,direct,,2482.2812744140624,2744.7932394212617
T003-C0006,T003,relay,RLY002,2645.2264495822315,2673.2386281304084
T008-C0001,T008,direct,,2651.9,2801.552189941406
T003-C0007,T003,relay,RLY002,2673.2386281304084,2728.853850009126
T003-C0008,T003,direct,,2728.853850009126,2992.204951573317
T007-C0003,T007,relay,RLY002,2744.7932394212617,2843.588064961605
T008-C0002,T008,direct,,2801.552189941406,3064.532653330556
T001-C0005,T001,direct,,2814.0695386645793,2849.6921827075485
T007-C0004,T007,relay,RLY002,2843.588064961605,2933.40559425848
T001-C0006,T001,direct,,2849.6921827075485,3053.290772275448
T007-C0005,T007,relay,RLY002,2933.40559425848,3173.40559425848
T003-C0009,T003,direct,,2992.204951573317,3115.379565831129
T009-C0001,T009,direct,,3000.0,3079.9529561360678
T001-C0007,T001,direct,,3053.290772275448,3125.9690773291595
T008-C0003,T008,relay,RLY003,3064.532653330556,3103.8495610624777
T009-C0002,T009,direct,,3079.9529561360678,3432.7874843666477
T008-C0004,T008,relay,RLY003,3103.8495610624777,3180.5147984892355
T007-C0006,T007,relay,RLY002,3173.40559425848,3248.2535353392095
T008-C0005,T008,relay,RLY003,3180.5147984892355,3540.5147984892355
T007-C0007,T007,relay,RLY002,3248.2535353392095,3347.048360879553
T007-C0008,T007,direct,,3347.048360879553,3609.5603258867523
T009-C0003,T009,relay,RLY003,3432.7874843666477,3753.205715504667
T014-C0001,T014,direct,,3505.4,3561.2872517903647
T008-C0006,T008,relay,RLY003,3540.5147984892355,3566.9263341337673
T014-C0002,T014,direct,,3561.2872517903647,3748.492200635808
T008-C0007,T008,relay,RLY003,3566.9263341337673,3749.210442320451
T007-C0009,T007,direct,,3609.5603258867523,3788.6978551836273
T015-C0001,T015,direct,,3660.0,3739.48435546875
T015-C0002,T015,direct,,3739.48435546875,4049.8116902138063
T014-C0003,T014,direct,,3748.492200635808,3781.7969027842455
T008-C0008,T008,relay,RLY003,3749.210442320451,3787.224861876115
T009-C0004,T009,relay,RLY003,3753.205715504667,3791.869262867948
T014-C0004,T014,direct,,3781.7969027842455,4021.7969027842455
T008-C0009,T008,relay,RLY003,3787.224861876115,4075.224861876115
T009-C0005,T009,relay,RLY003,3791.869262867948,4001.869262867948
T009-C0006,T009,relay,RLY003,4001.869262867948,4034.0888856706824
T014-C0005,T014,direct,,4021.7969027842455,4049.5508212412765
T009-C0007,T009,relay,RLY003,4034.0888856706824,4354.5071168087015
T014-C0006,T014,direct,,4049.5508212412765,4236.75577008672
T015-C0003,T015,relay,RLY002,4049.8116902138063,4091.524817926953
T008-C0010,T008,relay,RLY003,4075.224861876115,4164.5465171495525
T015-C0004,T015,relay,RLY003,4091.524817926953,4157.23026226289
T015-C0005,T015,relay,RLY003,4157.23026226289,4553.23026226289
T008-C0011,T008,relay,RLY003,4164.5465171495525,4386.18029593418
T023-C0001,T023,direct,,4230.0,4309.952956136068
T014-C0007,T014,direct,,4236.75577008672,4303.820472235157
T023-C0002,T023,direct,,4309.952956136068,4592.2282016005065
T009-C0008,T009,direct,,4354.5071168087015,4707.3416450392815
T008-C0012,T008,direct,,4386.18029593418,4648.758467586653
T015-C0006,T015,relay,RLY003,4553.23026226289,4605.794617731641
T023-C0003,T023,relay,RLY003,4592.2282016005065,4848.5551636309465
T015-C0007,T015,relay,RLY003,4605.794617731641,4647.507745444786
T015-C0008,T015,direct,,4647.507745444786,4957.835080189843
T008-C0013,T008,direct,,4648.758467586653,4865.810536678449
T009-C0009,T009,direct,,4707.3416450392815,4803.285192402562
T023-C0004,T023,relay,RLY003,4848.5551636309465,4887.218710994228
T023-C0005,T023,relay,RLY003,4887.218710994228,5067.218710994228
T015-C0009,T015,direct,,4957.835080189843,5057.19052452578
T010-C0001,T010,direct,,5010.0,5158.033085123698
T023-C0006,T023,relay,RLY003,5067.218710994228,5099.438333796963
T023-C0007,T023,relay,RLY003,5099.438333796963,5355.765295827403
T010-C0002,T010,direct,,5158.033085123698,5420.552354261537
T012-C0001,T012,direct,,5315.9,5489.541655273437
T023-C0008,T023,direct,,5355.765295827403,5638.040541291842
T010-C0003,T010,relay,RLY003,5420.552354261537,5558.658616565051
T012-C0002,T012,direct,,5489.541655273437,5752.1198269259085
T010-C0004,T010,relay,RLY003,5558.658616565051,5597.578318713488
T011-C0001,T011,direct,,5580.0,5688.2156665039065
T010-C0005,T010,relay,RLY003,5597.578318713488,5837.5783187134875
T023-C0009,T023,direct,,5638.040541291842,5733.984088655123
T011-C0002,T011,direct,,5688.2156665039065,6032.876873605669
T012-C0003,T012,relay,RLY003,5752.1198269259085,5973.753605710537
T010-C0006,T010,relay,RLY003,5837.5783187134875,5870.011403837186
T010-C0007,T010,relay,RLY003,5870.011403837186,6008.117666140699
T012-C0004,T012,relay,RLY003,5973.753605710537,6085.405674802334
T010-C0008,T010,direct,,6008.117666140699,6270.636935278539
T011-C0003,T011,relay,RLY003,6032.876873605669,6202.528763111717
T012-C0005,T012,relay,RLY003,6085.405674802334,6445.405674802334
T011-C0004,T011,relay,RLY004,6202.528763111717,6287.4983462416
T010-C0009,T010,direct,,6270.636935278539,6448.276637426976
T011-C0005,T011,relay,RLY004,6287.4983462416,6683.4983462416
T020-C0001,T020,direct,,6360.0,6421.172692871094
T020-C0002,T020,direct,,6421.172692871094,6684.990595291466
T012-C0006,T012,relay,RLY003,6445.405674802334,6534.7273300757715
T012-C0007,T012,relay,RLY003,6534.7273300757715,6756.3611088604
T011-C0006,T011,relay,RLY004,6683.4983462416,6751.474012745506
T020-C0003,T020,relay,RLY004,6684.990595291466,6915.260056543373
T011-C0007,T011,relay,RLY003,6751.474012745506,6921.125902251555
T012-C0008,T012,direct,,6756.3611088604,7018.939280512872
T020-C0004,T020,relay,RLY004,6915.260056543373,6951.947287988685
T011-C0008,T011,direct,,6921.125902251555,7265.787109353318
T020-C0005,T020,relay,RLY004,6951.947287988685,7161.947287988685
T012-C0009,T012,direct,,7018.939280512872,7235.991349604668
T020-C0006,T020,relay,RLY004,7161.947287988685,7192.519980859779
T020-C0007,T020,relay,RLY004,7192.519980859779,7422.789442111686
T011-C0009,T011,direct,,7265.787109353318,7401.0566924832
T020-C0008,T020,direct,,7422.789442111686,7686.607344532058
T021-C0001,T021,direct,,7680.4,7776.343547363281
T020-C0009,T020,direct,,7686.607344532058,7760.01457597737
T021-C0002,T021,direct,,7776.343547363281,8058.6187928277195
T021-C0003,T021,relay,RLY004,8058.6187928277195,8314.94575485816
T013-C0001,T013,direct,,8190.0,8245.176304117838
T013-C0002,T013,direct,,8245.176304117838,8509.033544335329
T021-C0004,T021,relay,RLY004,8314.94575485816,8363.275189062262
T021-C0005,T021,relay,RLY004,8363.275189062262,8579.275189062262
T022-C0001,T022,direct,,8474.9,8523.35220336914
T013-C0003,T013,relay,RLY005,8509.033544335329,8625.519301602973
T022-C0002,T022,direct,,8523.35220336914,8726.950792937041
T021-C0006,T021,relay,RLY004,8579.275189062262,8617.938736425544
T021-C0007,T021,relay,RLY004,8617.938736425544,8874.265698455984
T013-C0004,T013,relay,RLY004,8625.519301602973,8650.81086654438
T013-C0005,T013,relay,RLY004,8650.81086654438,8890.81086654438
T022-C0003,T022,direct,,8726.950792937041,8762.573436980008
T022-C0004,T022,direct,,8762.573436980008,8972.573436980008
T021-C0008,T021,direct,,8874.265698455984,9156.540943920421
T013-C0006,T013,relay,RLY004,8890.81086654438,8911.88717066222
T013-C0007,T013,relay,RLY004,8911.88717066222,9028.372927929864
T022-C0005,T022,direct,,8972.573436980008,9002.258973682483
T022-C0006,T022,direct,,9002.258973682483,9205.857563250383
T013-C0008,T013,direct,,9028.372927929864,9292.230168147355
T021-C0009,T021,direct,,9156.540943920421,9276.470378124524
T022-C0007,T022,direct,,9205.857563250383,9264.000207293351
T013-C0009,T013,direct,,9292.230168147355,9358.44173308876
T024-C0001,T024,direct,,9630.0,9709.952956136067
T024-C0002,T024,direct,,9709.952956136067,9992.228201600507
T024-C0003,T024,relay,RLY006,9992.228201600507,10248.555163630946
T024-C0004,T024,relay,RLY006,10248.555163630946,10287.218710994228
T024-C0005,T024,relay,RLY006,10287.218710994228,10467.218710994228
T024-C0006,T024,relay,RLY006,10467.218710994228,10499.438333796963
