box_id,trip_id,service_id,delivery_time_s
S002-WAT-01,T002,S002,1489.353634424232
S002-MED-01,T002,S002,1489.353634424232
S002-WAT-02,T002,S002,1489.353634424232
S002-WAT-03,T002,S002,1489.353634424232
S002-WAT-04,T002,S002,1489.353634424232
S002-FOD-01,T002,S002,1489.353634424232
S012-WAT-01,T004,S012,1281.412378334332
S012-MED-01,T004,S012,1281.412378334332
S012-FOD-01,T004,S012,1281.412378334332
S013-WAT-01,T005,S013,1058.0541679221383
S013-MED-01,T005,S013,1058.0541679221383
S013-FOD-01,T005,S013,1058.0541679221383
S006-WAT-01,T006,S006,1211.5078257044652
S006-MED-01,T006,S006,1211.5078257044652
S006-WAT-02,T006,S006,1211.5078257044652
S006-WAT-03,T006,S006,1211.5078257044652
S006-FOD-01,T006,S006,1211.5078257044652
S006-HYG-01,T006,S006,1211.5078257044652
S001-WAT-07,T016,S001,848.5730843719844
S001-WAT-08,T017,S001,848.5730843719844
S001-FOD-01,T018,S001,908.5730843719844
S001-WAT-06,T018,S001,908.5730843719844
S001-FOD-02,T019,S001,2099.4730843719844
S001-FOD-03,T019,S001,2099.4730843719844
S010-WAT-01,T003,S010,2645.2264495822315
S010-MED-01,T003,S010,2645.2264495822315
S010-FOD-01,T003,S010,2645.2264495822315
S001-WAT-01,T001,S001,2814.0695386645793
S001-MED-01,T001,S001,2814.0695386645793
S001-MED-02,T001,S001,2814.0695386645793
S001-WAT-02,T001,S001,2814.0695386645793
S001-WAT-03,T001,S001,2814.0695386645793
S001-WAT-04,T001,S001,2814.0695386645793
S001-WAT-05,T001,S001,2814.0695386645793
S014-WAT-01,T007,S014,3173.40559425848
S014-MED-01,T007,S014,3173.40559425848
S014-FOD-01,T007,S014,3173.40559425848
S007-FOD-01,T008,S007,3540.5147984892355
S007-HYG-01,T008,S007,3540.5147984892355
S007-MED-01,T008,S007,3540.5147984892355
S007-WAT-01,T008,S007,3540.5147984892355
S007-WAT-02,T008,S007,3540.5147984892355
S003-FOD-02,T008,S003,4075.224861876115
S003-HYG-01,T008,S003,4075.224861876115
S003-WAT-02,T008,S003,4075.224861876115
S008-MED-01,T009,S008,4001.869262867948
S008-WAT-01,T009,S008,4001.869262867948
S011-WAT-01,T014,S011,4021.7969027842455
S011-MED-01,T014,S011,4021.7969027842455
S011-FOD-01,T014,S011,4021.7969027842455
S005-WAT-01,T015,S005,4553.23026226289
S005-MED-01,T015,S005,4553.23026226289
S005-WAT-02,T015,S005,4553.23026226289
S005-WAT-03,T015,S005,4553.23026226289
S005-FOD-01,T015,S005,4553.23026226289
S005-HYG-01,T015,S005,4553.23026226289
S008-FOD-01,T023,S008,5067.218710994228
S015-MED-01,T010,S015,5837.5783187134875
S015-WAT-01,T010,S015,5837.5783187134875
S015-FOD-01,T010,S015,5837.5783187134875
S003-FOD-01,T012,S003,6445.405674802334
S003-MED-01,T012,S003,6445.405674802334
S003-WAT-01,T012,S003,6445.405674802334
S003-WAT-03,T012,S003,6445.405674802334
S003-WAT-04,T012,S003,6445.405674802334
S004-WAT-01,T011,S004,6683.4983462416
S004-MED-01,T011,S004,6683.4983462416
S004-WAT-02,T011,S004,6683.4983462416
S004-WAT-03,T011,S004,6683.4983462416
S004-FOD-01,T011,S004,6683.4983462416
S004-HYG-01,T011,S004,6683.4983462416
S002-FOD-02,T020,S002,7161.947287988685
S002-HYG-01,T020,S002,7161.947287988685
S008-WAT-02,T021,S008,8579.275189062262
S009-WAT-01,T013,S009,8890.81086654438
S009-MED-01,T013,S009,8890.81086654438
S009-FOD-01,T013,S009,8890.81086654438
S001-HYG-01,T022,S001,8972.573436980008
S001-HYG-02,T022,S001,8972.573436980008
S008-HYG-01,T024,S008,10467.218710994228
