trip_id,model_id,aircraft_id,battery_id,stop_sequence,box_ids,start_time_s,return_time_s,battery_ready_time_s,energy_kwh,return_soc_percent
T002,C,U08,BC02,S002,S002-WAT-01|S002-MED-01|S002-WAT-02|S002-WAT-03|S002-WAT-04|S002-FOD-01,0.0,2111.887268848464,4646.7571580549675,6.282596513993244,21.46754357508445
T004,B,U06,BB02,S012,S012-WAT-01|S012-MED-01|S012-FOD-01,0.0,1942.9647566686642,3805.8496423640822,2.760503582374042,30.987410440648954
T005,B,U05,BB03,S013,S013-WAT-01|S013-MED-01|S013-FOD-01,0.0,1501.04166917761,2956.802803573706,1.8209872332217598,54.47531916945601
T006,C,U07,BC03,S006,S006-WAT-01|S006-MED-01|S006-WAT-02|S006-WAT-03|S006-FOD-01|S006-HYG-01,0.0,1565.7256514089304,3103.1529805506807,2.5997316768310785,67.50335403961152
T016,A,U02,BA02,S001,S001-WAT-07,0.0,1190.899502077302,2043.2069372570872,1.2195257371607946,72.89942806309345
T017,A,U03,BA03,S001,S001-WAT-08,0.0,1190.899502077302,2043.2069372570872,1.2195257371607946,72.89942806309345
T018,A,U04,BA04,S001,S001-FOD-01|S001-WAT-06,0.0,1250.899502077302,2121.355027214739,1.2823460485526663,71.50342114327408
T019,A,U02,BA05,S001,S001-FOD-02|S001-FOD-03,1190.9,2441.7995020773023,3298.0140849698487,1.2330504792434298,72.59887823903489
T003,B,U05,BB01,S010,S010-WAT-01|S010-MED-01|S010-FOD-01,1560.0,3115.3795658311296,4572.097701669994,1.823195698089688,54.4201075477578
T001,C,U07,BC01,S001,S001-WAT-01|S001-MED-01|S001-MED-02|S001-WAT-02|S001-WAT-03|S001-WAT-04|S001-WAT-05,1565.8,3125.9690773291595,4749.480952299218,2.917582307581756,63.53022115522805
T007,B,U06,BB04,S014,S014-WAT-01|S014-MED-01|S014-FOD-01,1943.0,3788.697855183627,5378.69629363542,2.130765627196446,46.73085932008885
T008,C,U08,BC04,S007>S003,S007-FOD-01|S007-HYG-01|S007-MED-01|S007-WAT-01|S007-WAT-02|S003-FOD-02|S003-HYG-01|S003-WAT-02,2111.9,4865.810536678449,7350.386296688959,6.096895113884957,23.788811076438034
T009,A,U01,BA01,S008,S008-MED-01|S008-WAT-01,2640.0,4803.285192402563,6226.784416371429,3.1967280829691536,28.96159815624103
T014,B,U05,BB03,S011,S011-WAT-01|S011-MED-01|S011-FOD-01,3115.4,4303.820472235157,5435.866237257187,1.0739517654354556,73.1512058641136
T015,C,U07,BC03,S005,S005-WAT-01|S005-MED-01|S005-WAT-02|S005-WAT-03|S005-FOD-01|S005-HYG-01,3180.0,5057.19052452578,7034.034423975601,4.222192859507031,47.22258925616212
T023,B,U06,BB02,S008,S008-FOD-01,3900.0,5733.984088655123,7471.300195661684,2.4707294777074478,38.231763057313806
T010,B,U05,BB01,S015,S015-MED-01|S015-WAT-01|S015-FOD-01,4620.0,6448.276637426976,8114.839527950081,2.3074528242840895,42.31367939289776
T012,C,U08,BC02,S003,S003-FOD-01|S003-MED-01|S003-WAT-01|S003-WAT-03|S003-WAT-04,4865.9,7235.991349604668,9598.191644446431,5.645047242492665,29.436909468841687
T011,C,U07,BC01,S004,S004-WAT-01|S004-MED-01|S004-WAT-02|S004-WAT-03|S004-FOD-01|S004-HYG-01,5100.0,7401.0566924832,9900.809114270569,6.152932018907209,23.08834976365989
T020,B,U06,BB04,S002,S002-FOD-02|S002-HYG-01,6000.0,7760.0145759773695,9450.42957740203,2.3624961571338323,40.93759607165419
T021,C,U08,BC04,S008,S008-WAT-02,7350.4,9276.470378124524,11511.491064548292,5.1754609960262155,35.306737549672306
T013,B,U06,BB02,S009,S009-WAT-01|S009-MED-01|S009-FOD-01,7800.0,9358.44173308876,10933.476351340101,2.0962337344261712,47.59415663934572
T022,B,U05,BB01,S001,S001-HYG-01|S001-HYG-02,8114.9,9264.000207293351,10359.618629728502,0.9898886671580388,75.25278332104904
T024,B,U05,BB03,S008,S008-HYG-01,9300.0,11133.984088655123,12859.081561884848,2.442532630530137,38.93668423674658
