道路要素编号,点序号,名称,道路类型,OSM编号,经度,纬度,x_m,y_m
RD0001,1,柳南高速,高速公路,49177928,109.0378916,23.1863366,-19781.518476851717,19693.307124189432
RD0001,2,柳南高速,高速公路,49177928,109.0377114,23.1858923,-19799.991879536,19644.10350811905
RD0001,3,柳南高速,高速公路,49177928,109.037064,23.1841633,-19866.36080794151,19452.626910808107
RD0001,4,柳南高速,高速公路,49177928,109.0364936,23.1826466,-19924.835996020356,19284.66129187121
RD0002,1,未记录,高速公路匝道,184466570,109.0404506,23.1930965,-19519.17975614022,20441.926355053463
RD0002,2,未记录,高速公路匝道,184466570,109.0400503,23.1923319,-19560.216954225183,20357.25139478499
RD0002,3,未记录,高速公路匝道,184466570,109.0395977,23.1912405,-19606.61574476621,20236.385253486285
RD0002,4,未记录,高速公路匝道,184466570,109.0393755,23.1907751,-19629.39482399284,20184.84493631535
RD0002,5,未记录,高速公路匝道,184466570,109.0391482,23.1904395,-19652.696735371956,20147.679206958735
RD0002,6,未记录,高速公路匝道,184466570,109.0388563,23.1901794,-19682.621187335153,20118.874659266225
RD0002,7,未记录,高速公路匝道,184466570,109.0383221,23.1898857,-19737.38529229994,20086.349108872724
RD0002,8,未记录,高速公路匝道,184466570,109.037745,23.1895273,-19796.547338303288,20046.658413397723
RD0002,9,未记录,高速公路匝道,184466570,109.0374108,23.1892202,-19830.8082216409,20012.648891689
RD0002,10,未记录,高速公路匝道,184466570,109.0372047,23.1889141,-19851.936791526976,19978.75011410839
RD0002,11,未记录,高速公路匝道,184466570,109.0371027,23.1886244,-19862.39343455631,19946.667540226557
RD0002,12,未记录,高速公路匝道,184466570,109.0370356,23.1882866,-19869.272265412987,19909.258173788647
RD0002,13,未记录,高速公路匝道,184466570,109.0370288,23.1880956,-19869.969374947694,19888.106045340628
RD0002,14,未记录,高速公路匝道,184466570,109.0370418,23.1878818,-19868.636665542424,19864.428950774218
RD0002,15,未记录,高速公路匝道,184466570,109.0370766,23.18769,-19865.069104978513,19843.188227023944
RD0002,16,未记录,高速公路匝道,184466570,109.037144,23.1874802,-19858.15951929122,19819.9541089696
RD0002,17,未记录,高速公路匝道,184466570,109.0372244,23.1873003,-19849.917224197205,19800.031240342578
RD0002,18,未记录,高速公路匝道,184466570,109.0373287,23.1871285,-19839.224794118596,19781.00539915221
RD0002,19,未记录,高速公路匝道,184466570,109.0374353,23.1869706,-19828.29657699217,19763.51890134093
RD0002,20,未记录,高速公路匝道,184466570,109.0375831,23.1868028,-19813.1446962094,19744.93603666262
RD0002,21,未记录,高速公路匝道,184466570,109.0377287,23.1866509,-19798.218350865707,19728.114003619627
RD0002,22,未记录,高速公路匝道,184466570,109.0379993,23.1864291,-19770.477492005753,19703.550956029492
RD0002,23,未记录,高速公路匝道,184466570,109.0382482,23.1862633,-19744.961232691323,19685.18957960702
RD0002,24,未记录,高速公路匝道,184466570,109.0385786,23.1860615,-19711.089910564795,19662.841414576793
RD0002,25,未记录,高速公路匝道,184466570,109.0389569,23.1858437,-19672.308066857426,19638.721343498328
RD0002,26,未记录,高速公路匝道,184466570,109.039378,23.185598,-19629.138533723155,19611.511511248762
RD0002,27,未记录,高速公路匝道,184466570,109.039651,23.1854314,-19601.151636202267,19593.061539524035
RD0002,28,未记录,高速公路匝道,184466570,109.0397938,23.1853119,-19586.512335961783,19579.827616228056
RD0002,29,未记录,高速公路匝道,184466570,109.03998,23.1851326,-19567.423836627346,19559.971194077825
RD0002,30,未记录,高速公路匝道,184466570,109.0405478,23.1847813,-19509.215190429844,19521.06678191176
RD0002,31,未记录,高速公路匝道,184466570,109.0412217,23.1843968,-19440.129585159855,19478.485664695636
RD0002,32,未记录,高速公路匝道,184466570,109.0415521,23.1841842,-19406.258263031872,19454.9414630832
RD0002,33,未记录,高速公路匝道,184466570,109.0416869,23.1840587,-19392.439091655833,19441.04307501933
RD0002,34,未记录,高速公路匝道,184466570,109.0418748,23.1838535,-19373.17631493772,19418.31837995383
RD0002,35,未记录,高速公路匝道,184466570,109.0419845,23.1836204,-19361.93029787601,19392.503923716842
RD0002,36,未记录,高速公路匝道,184466570,109.0420768,23.1834076,-19352.468061094798,19368.93757327855
RD0002,37,未记录,高速公路匝道,184466570,109.042143,23.1831509,-19345.681494737248,19340.50955562131
RD0002,38,未记录,高速公路匝道,184466570,109.0422688,23.1824031,-19332.784968333526,19257.69509670294
RD0003,1,未记录,干线公路,184470364,109.3487317,23.1356871,12084.598826654728,14084.172413075847
RD0003,2,未记录,干线公路,184470364,109.3494567,23.1358643,12158.923005051047,14103.796272557709
RD0003,3,未记录,干线公路,184470364,109.3511098,23.1364954,12328.39238340468,14173.68689173819
RD0003,4,未记录,干线公路,184470364,109.3526811,23.1371207,12489.475944112692,14242.935194976242
RD0003,5,未记录,干线公路,184470364,109.3531841,23.1372029,12541.041546502789,14252.038362297562
RD0003,6,未记录,干线公路,184470364,109.3535703,23.1372079,12580.6332674644,14252.592082937736
RD0003,7,未记录,干线公路,184470364,109.3539494,23.137159,12619.497124057778,14247.176695078617
RD0003,8,未记录,干线公路,184470364,109.3543965,23.1370599,12665.332076002587,14236.201951993873
RD0003,9,未记录,干线公路,184470364,109.3547451,23.136907,12701.069191298535,14219.269174822764
RD0003,10,未记录,干线公路,184470364,109.3551582,23.1367195,12743.418595568357,14198.504650822946
RD0003,11,未记录,干线公路,184470364,109.355953,23.1360539,12824.898398311445,14124.79335922629
RD0003,12,未记录,干线公路,184470364,109.3567996,23.135345,12911.688535456664,14046.28684688748
RD0003,13,未记录,干线公路,184470364,109.3575293,23.1347759,12986.49453956028,13983.262363642949
RD0003,14,未记录,干线公路,184470364,109.3596856,23.1326569,13207.550023527336,13748.59555641185
RD0003,15,未记录,干线公路,184470364,109.36019,23.132191,13259.259148469038,13696.999867176659
RD0003,16,未记录,干线公路,184470364,109.3608284,23.1317963,13324.705431900773,13653.289159855509
RD0003,17,未记录,干线公路,184470364,109.3617881,23.1313211,13423.090140875054,13600.663550230085
RD0003,18,未记录,干线公路,184470364,109.3624377,23.1311748,13489.684604718179,13584.461684303658
RD0003,19,未记录,干线公路,184470364,109.3631887,23.1311304,13566.67420192504,13579.54464502046
RD0003,20,未记录,干线公路,184470364,109.3637564,23.1311548,13624.872596512334,13582.246801743751
RD0003,21,未记录,干线公路,184470364,109.3651038,23.1314412,13763.002800610037,13613.96392000285
RD0003,22,未记录,干线公路,184470364,109.3659784,23.1315942,13852.663388783003,13630.907771586495
RD0003,23,未记录,干线公路,184470364,109.3663698,23.1315694,13892.788193505849,13628.161317212272
RD0003,24,未记录,干线公路,184470364,109.3668634,23.1313918,13943.390144479894,13608.493160079479
RD0003,25,未记录,干线公路,184470364,109.3704983,23.1297665,14316.025945930016,13428.500728841738
RD0003,26,未记录,干线公路,184470364,109.3744777,23.1279126,14723.978546632929,13223.192189943322
RD0003,27,未记录,干线公路,184470364,109.3750333,23.1276647,14780.936496311164,13195.738720612459
RD0003,28,未记录,干线公路,184470364,109.3754572,23.1275834,14824.393074548645,13186.735223005928
RD0003,29,未记录,干线公路,184470364,109.3759131,23.127682,14871.130168246822,13197.654594026813
RD0003,30,未记录,干线公路,184470364,109.3777236,23.1282429,15056.735582019684,13259.77097542176
RD0003,31,未记录,干线公路,184470364,109.3781877,23.128353,15104.313307804174,13271.963903914573
RD0003,32,未记录,干线公路,184470364,109.3785647,23.1283377,15142.961880570141,13270.269518756051
RD0003,33,未记录,干线公路,184470364,109.3800946,23.1279407,15299.80127440286,13226.30409994028
RD0003,34,未记录,干线公路,184470364,109.3829986,23.1272291,15597.508052418169,13147.498578455918
RD0003,35,未记录,干线公路,184470364,109.3843836,23.1268878,15739.492862182993,13109.701607569414
RD0003,36,未记录,干线公路,184470364,109.3850578,23.1267723,15808.609222285053,13096.910660785496
RD0003,37,未记录,干线公路,184470364,109.3871557,23.1267146,16023.67776553568,13090.520724600003
RD0003,38,未记录,干线公路,184470364,109.3895924,23.1266658,16273.47876622247,13085.116411153813
RD0003,39,未记录,干线公路,184470364,109.3906283,23.1266934,16379.67520263741,13088.172949086516
RD0003,40,未记录,干线公路,184470364,109.391073,23.1268187,16425.264115924198,13102.049188324921
RD0003,41,未记录,干线公路,184470364,109.3919225,23.1271182,16512.351549782834,13135.21705466085
RD0004,1,南宁—宾阳—黎塘一级公路,干线公路,202770474,109.0422688,23.1824031,-19332.784968333526,19257.69509670294
RD0004,2,南宁—宾阳—黎塘一级公路,干线公路,202770474,109.0417046,23.1824021,-19390.624556541807,19257.58435257522
RD0004,3,南宁—宾阳—黎塘一级公路,干线公路,202770474,109.0388,23.1824011,-19688.39284422417,19257.473608447108
RD0004,4,南宁—宾阳—黎塘一级公路,干线公路,202770474,109.0358404,23.1823882,-19991.799517852698,19256.045009195743
RD0004,5,南宁—宾阳—黎塘一级公路,干线公路,202770474,109.0328115,23.182375139187613,-20302.310557775516,19254.598600917157
RD0005,1,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0422688,23.1824031,-19332.784968333526,19257.69509670294
RD0005,2,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0431882,23.1824194,-19238.53165851646,19259.500225989577
RD0005,3,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0435638,23.1824961,-19200.026608302094,19267.994300607257
RD0005,4,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0444325,23.1824946,-19110.970865167623,19267.82818441489
RD0005,5,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0453793,23.1824966,-19013.90861398841,19268.049672671117
RD0005,6,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0455282,23.1825002,-18998.643965486106,19268.448351531853
RD0005,7,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0468526,23.1825327,-18862.87163187678,19272.0475356918
RD0005,8,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0468823,23.1825368,-18859.826903465357,19272.50158661679
RD0005,9,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.048094,23.1827147,-18735.608135239905,19292.202966987585
RD0005,10,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0488137,23.1828848,-18661.82729221794,19311.040543160514
RD0005,11,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0492215,23.1830107,-18620.021223321015,19324.983228875706
RD0005,12,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0510926,23.1835882,-18428.20333339411,19388.93796279529
RD0005,13,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0544788,23.1847067,-18081.063288036556,19512.805269962842
RD0005,14,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0578206,23.1858106,-17738.474957879367,19635.05571286159
RD0005,15,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0589097,23.1861596,-17626.824664512147,19673.705413533426
RD0005,16,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0691354,23.1894363,-16578.5256975828,20036.580697749636
RD0005,17,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.070102,23.1898413,-16479.433627460698,20081.432069589526
RD0005,18,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0713542,23.1902913,-16351.06295685762,20131.26692718901
RD0005,19,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0719759,23.1904572,-16287.328692432036,20149.639378024414
RD0005,20,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0722956,23.1905425,-16254.554292661505,20159.085852142613
RD0005,21,南宁—宾阳—黎塘一级公路,干线公路,216932235,109.0728979,23.1906356,-16192.808840733624,20169.396130459463
RD0006,1,未记录,次要道路,216933270,109.3963275,23.0554455,16963.935006105447,5197.886391787254
RD0006,2,未记录,次要道路,216933270,109.3967905,23.0554962,17011.3999641704,5203.501119076741
RD0006,3,未记录,次要道路,216933270,109.3971075,23.0554607,17043.897570449382,5199.569702532847
RD0006,4,未记录,次要道路,216933270,109.3974787,23.0552899,17081.951549787063,5180.6546054702
RD0006,5,未记录,次要道路,216933270,109.3979582,23.0549341,17131.10802363776,5141.251844728216
