点位编号,名称,类别,OSM编号,位置,经度,纬度,x_m,y_m
ST001,黎塘镇,乡镇,621892885,乡外,109.129485,23.20284,-10391.71957823095,21520.961766216995
ST002,三里镇,乡镇,3155700108,乡外,109.3917952,23.0561446,16499.301249217304,5275.3076116715765
ST003,云表镇,乡镇,3155700111,乡外,109.3858039,22.9062875,15885.09649056275,-11320.486252369994
ST004,五里镇,乡镇,3155700112,乡外,109.3938582,22.9618298,16710.791980293816,-5169.502671780552
ST005,黄练镇,乡镇,3722472095,乡外,109.3118097,23.1581487,8299.499082187496,16571.66271855096
ST006,定布,村庄,3810307024,乡外,109.3999847,23.1991,17338.85691676814,21106.778727499004
ST007,红坭,村庄,3810307026,乡外,109.3972304,23.183709,17056.49680013823,19402.315853457774
ST008,平龙,村庄,3810307030,乡外,109.4007833,23.2167599,17420.726280722316,23062.5089535581
ST009,覃塘街道,乡镇,3810307031,乡外,109.4158451,23.1373934,18964.80339819165,14273.135118681721
ST010,宾州,村庄,3909352213,乡外,109.407,23.0041,18058.038170148986,-488.3262324137761
ST011,长塘,村庄,3909352214,乡外,109.42,23.0101,19390.747575871548,176.1385355835644
ST012,东流,村庄,3909352217,乡外,109.444,22.9915,21851.13417105076,-1883.7022452084273
ST013,吉水,村庄,3909352219,乡外,109.43,23.0314,20415.908657196705,2534.9884619740446
ST014,吉塘,村庄,3909352220,乡外,109.426,23.0194,20005.84422466635,1206.0589259793635
ST015,冷尾,村庄,3909352221,乡外,109.441,23.001,21543.585846653357,-831.6330292123758
ST016,梁屋,村庄,3909352222,乡外,109.439,23.0675,21338.553630387454,6532.851482757624
ST017,隆兴,村庄,3909352225,乡外,109.404,23.0207,17750.489845751585,1350.0262923788398
ST018,石社,村庄,3909352226,乡外,109.434,23.0465,20825.9730897256,4207.224794767325
ST019,旺六村,村庄,3909352228,乡外,109.422,23.0365,19595.779792135996,3099.7835147716264
ST020,西域,村庄,3909352231,乡外,109.431,23.018,20518.4247653282,1051.0171467799578
ST021,庞村,村庄,3909512213,乡外,109.043,22.9833,-19257.825190066644,-2791.804094804609
ST022,草衣,村庄,3910747325,乡外,109.198,22.9115,-3367.828429536171,-10743.232485172442
ST023,长安,村庄,3910747326,乡外,109.112,22.8748,-12184.213728927863,-14807.541982755993
ST024,呔赖,村庄,3910747327,乡外,109.127,22.9925,-10646.472106940857,-1772.9581172087394
ST025,大料,村庄,3910747328,乡外,109.0774522,22.9257376,-15725.919729466434,-9166.50188836587
ST026,定里,村庄,3910747329,乡外,109.195,22.9419,-3675.3767539335727,-7376.610993986023
ST027,逢村,村庄,3910747330,乡外,109.05,22.8954,-18540.212433140347,-12526.212945965412
ST028,高石,村庄,3910747331,乡外,109.058,22.9144,-17720.083568079637,-10422.074513973703
ST029,古逢,村庄,3910747332,乡外,109.123,22.9423,-11056.536539469755,-7332.313342786305
ST030,禾仓,村庄,3910747333,乡外,109.036,22.9238,-19975.4379469944,-9381.079710777973
ST031,何村,村庄,3910747334,乡外,109.161,22.9541,-7160.924430436486,-6025.532632391482
ST032,何代,村庄,3910747335,乡外,109.1,22.987,-13414.40702651747,-2382.050821206433
ST033,禾塘,村庄,3910747336,乡外,109.053,22.8853,-18232.66410874294,-13644.728638760645
