水体要素编号,多边形编号,环编号,点序号,名称,水体类型,OSM编号,经度,纬度,x_m,y_m
WS001,1,1,1,未记录,一般水体,387829312,109.0568256,22.8872183,-17840.478485471496,-13432.288178019124
WS001,1,1,2,未记录,一般水体,387829312,109.0562078,22.8867344,-17903.81293707579,-13485.877261557995
WS001,1,1,3,未记录,一般水体,387829312,109.0559838,22.8871258,-17926.7765452963,-13442.532009859187
WS001,1,1,4,未记录,一般水体,387829312,109.0556671,22.8875029,-17959.24339674321,-13400.770399190395
WS001,1,1,5,未记录,一般水体,387829312,109.0552655,22.8877021,-18000.413865768118,-13378.710168893183
WS001,1,1,6,未记录,一般水体,387829312,109.0552732,22.8878515,-17999.62449173574,-13362.164996169882
WS001,1,1,7,未记录,一般水体,387829312,109.0553427,22.8879227,-17992.49962222104,-13354.280014256234
WS001,1,1,8,未记录,一般水体,387829312,109.0558834,22.8878231,-17937.06916255362,-13365.310129405234
WS001,1,1,9,未记录,一般水体,387829312,109.0561151,22.8878942,-17913.316180299276,-13357.436221904121
WS001,1,1,10,未记录,一般水体,387829312,109.0564317,22.8880223,-17880.859580464024,-13343.249899107628
WS001,1,1,11,未记录,一般水体,387829312,109.0565785,22.8880579,-17865.81021579059,-13339.307408150806
WS001,1,1,12,未记录,一般水体,387829312,109.0569338,22.8884136,-17829.386242571596,-13299.915721821357
WS001,1,1,13,未记录,一般水体,387829312,109.0570882,22.8883709,-17813.55775547599,-13304.644496086723
WS001,1,1,14,未记录,一般水体,387829312,109.0573431,22.8882002,-17787.42639951286,-13323.54851873644
WS001,1,1,15,未记录,一般水体,387829312,109.057374,22.8880863,-17784.2586517717,-13336.162274915454
WS001,1,1,16,未记录,一般水体,387829312,109.0572118,22.8879227,-17800.886764509884,-13354.280014256234
WS001,1,1,17,未记录,一般水体,387829312,109.056872,22.8879298,-17835.721738053922,-13353.493730947692
WS001,1,1,18,未记录,一般水体,387829312,109.0566326,22.8877519,-17860.26409434064,-13373.195111318488
WS001,1,1,19,未记录,一般水体,387829312,109.0565785,22.88751,-17865.81021579059,-13399.98411588185
WS001,1,1,20,未记录,一般水体,387829312,109.0566171,22.8873961,-17861.853094017053,-13412.597872060865
WS001,1,1,21,未记录,一般水体,387829312,109.0568256,22.8872183,-17840.478485471496,-13432.288178019124
WS002,1,1,1,未记录,一般水体,387841468,109.0610081,22.8987419,-17411.704863207586,-12156.117144603448
WS002,1,1,2,未记录,一般水体,387841468,109.0609153,22.8983714,-17421.218358041275,-12197.147844027559
WS002,1,1,3,未记录,一般水体,387841468,109.0607143,22.8980723,-17441.824095776323,-12230.271412712162
WS002,1,1,4,未记录,一般水体,387841468,109.060521,22.8979868,-17461.640459478993,-12239.740035655825
WS002,1,1,5,未记录,一般水体,387841468,109.0603045,22.8979583,-17483.835196888995,-12242.896243304105
WS002,1,1,6,未记录,一般水体,387841468,109.0600957,22.8978158,-17505.240560266622,-12258.677281543936
WS002,1,1,7,未记录,一般水体,387841468,109.0595544,22.8978799,-17560.732529599645,-12251.578582939224
WS002,1,1,8,未记录,一般水体,387841468,109.0594848,22.8980224,-17567.867650724547,-12235.797544699395
WS002,1,1,9,未记录,一般水体,387841468,109.059624,22.898286,-17553.59740847328,-12206.605392558684
WS002,1,1,10,未记录,一般水体,387841468,109.0602658,22.8985495,-17487.802570274194,-12177.42431483051
WS002,1,1,11,未记录,一般水体,387841468,109.0604514,22.8985139,-17468.7755806039,-12181.366805787335
WS002,1,1,12,未记录,一般水体,387841468,109.0605596,22.8985994,-17457.683337704,-12171.898182843672
WS002,1,1,13,未记录,一般水体,387841468,109.0605828,22.8987062,-17455.30496399521,-12160.0707099732
WS002,1,1,14,未记录,一般水体,387841468,109.0607684,22.8987917,-17436.277974326375,-12150.602087029145
WS002,1,1,15,未记录,一般水体,387841468,109.0610081,22.8987419,-17411.704863207586,-12156.117144603448
WS003,1,1,1,未记录,一般水体,387841470,109.062864,22.89627,-17221.445218123565,-12429.865554605514
WS003,1,1,2,未记录,一般水体,387841470,109.0622222,22.8966333,-17287.24005632411,-12389.632212903269
WS003,1,1,3,未记录,一般水体,387841470,109.0625624,22.8974027,-17252.36407633634,-12304.425680820483
WS003,1,1,4,未记录,一般水体,387841470,109.062949,22.8978301,-17212.73134893245,-12257.093640513527
WS003,1,1,5,未记录,一般水体,387841470,109.0629181,22.8981506,-17215.899096673616,-12221.600147489578
WS003,1,1,6,未记录,一般水体,387841470,109.0630805,22.8983643,-17199.250480713563,-12197.9341273361
WS003,1,1,7,未记录,一般水体,387841470,109.0633589,22.8983501,-17170.709996209574,-12199.506693953974
WS003,1,1,8,未记录,一般水体,387841470,109.0637842,22.8981934,-17127.10989542049,-12216.860298811283
WS003,1,1,9,未记录,一般水体,387841470,109.0639466,22.8982076,-17110.461279460436,-12215.287732193803
WS003,1,1,10,未记录,一般水体,387841470,109.0641322,22.8977517,-17091.43428979014,-12265.775980148646
WS003,1,1,11,未记录,一般水体,387841470,109.0641708,22.8974525,-17087.4771680166,-12298.91062324618
WS003,1,1,12,未记录,一般水体,387841470,109.0639388,22.8971747,-17111.260905103016,-12329.67534200437
WS003,1,1,13,未记录,一般水体,387841470,109.0637764,22.896904,-17127.909521064525,-12359.653777454016
WS003,1,1,14,未记录,一般水体,387841470,109.0633434,22.8967687,-17172.298995885987,-12374.637457972374
WS003,1,1,15,未记录,一般水体,387841470,109.0631424,22.8964552,-17192.904733619576,-12409.355742100317
WS003,1,1,16,未记录,一般水体,387841470,109.0629413,22.8963911,-17213.52072296483,-12416.454440705027
WS003,1,1,17,未记录,一般水体,387841470,109.062864,22.89627,-17221.445218123565,-12429.865554605514
WS004,1,1,1,未记录,一般水体,387841471,109.1289534,22.8912099,-10446.217141314391,-12990.24191669621
WS004,1,1,2,未记录,一般水体,387841471,109.1291619,22.8912597,-10424.842532768835,-12984.726859121907
WS004,1,1,3,未记录,一般水体,387841471,109.1294168,22.8913949,-10398.711176805704,-12969.754253016086
WS004,1,1,4,未记录,一般水体,387841471,109.130691,22.8918645,-10268.085151823581,-12917.748810507623
WS004,1,1,5,未记录,一般水体,387841471,109.130969,22.8917435,-10239.585673763326,-12931.148849995574
WS004,1,1,6,未记录,一般水体,387841471,109.1311698,22.8916439,-10219.000439250145,-12942.178965144572
WS004,1,1,7,未记录,一般水体,387841471,109.1311544,22.8914589,-10220.579187314896,-12962.666628824303
WS004,1,1,8,未记录,一般水体,387841471,109.1312548,22.8913878,-10210.286570059034,-12970.540536325021
WS004,1,1,9,未记录,一般水体,387841471,109.1314633,22.8913736,-10188.911961513477,-12972.113102942501
WS004,1,1,10,未记录,一般水体,387841471,109.1313243,22.8910819,-10203.161700542876,-13004.417165080167
WS004,1,1,11,未记录,一般水体,387841471,109.131332,22.8908613,-10202.372326510502,-13028.847319716722
WS004,1,1,12,未记录,一般水体,387841471,109.1300191,22.8901427,-10336.965724877824,-13108.428050097486
WS004,1,1,13,未记录,一般水体,387841471,109.129355,22.8897301,-10405.04667228803,-13154.12107730978
WS004,1,1,14,未记录,一般水体,387841471,109.1292391,22.8897799,-10416.928289220303,-13148.606019735476
WS004,1,1,15,未记录,一般水体,387841471,109.1290847,22.8903989,-10432.75677631591,-13080.055404503713
WS004,1,1,16,未记录,一般水体,387841471,109.1290692,22.890655,-10434.345775992322,-13051.693833323263
WS004,1,1,17,未记录,一般水体,387841471,109.1289534,22.8912099,-10446.217141314391,-12990.24191669621
WS005,1,1,1,未记录,一般水体,387841473,109.1202664,22.8776283,-11336.774572660564,-14494.324365534758
WS005,1,1,2,未记录,一般水体,387841473,109.1203308,22.8776283,-11330.172535296895,-14494.324365534758
WS005,1,1,3,未记录,一般水体,387841473,109.120363,22.8775591,-11326.871516615789,-14501.987859192572
WS005,1,1,4,未记录,一般水体,387841473,109.1202772,22.87748,-11335.667398692907,-14510.74771971741
WS005,1,1,5,未记录,一般水体,387841473,109.1202557,22.8772428,-11337.871495018018,-14537.016226878603
WS005,1,1,6,未记录,一般水体,387841473,109.1202128,22.877223,-11342.269436056577,-14539.208960613045
WS005,1,1,7,未记录,一般水体,387841473,109.1201806,22.8771538,-11345.570454739141,-14546.872454270859
WS005,1,1,8,未记录,一般水体,387841473,109.1199875,22.8771933,-11365.366315219946,-14542.498061214905
WS005,1,1,9,未记录,一般水体,387841473,109.1196227,22.877134,-11402.764191466651,-14549.065188004906
WS005,1,1,10,未记录,一般水体,387841473,109.1193223,22.877134,-11433.560030349687,-14549.065188004906
WS005,1,1,11,未记录,一般水体,387841473,109.1187,22.8770154,-11497.355804439412,-14562.199441585699
WS005,1,1,12,未记录,一般水体,387841473,109.1186357,22.8769759,-11503.947590192876,-14566.573834641655
WS005,1,1,13,未记录,一般水体,387841473,109.1186464,22.8768276,-11502.850667835424,-14582.997188824305
WS005,1,1,14,未记录,一般水体,387841473,109.1186249,22.8768078,-11505.054764160534,-14585.189922558355
WS005,1,1,15,未记录,一般水体,387841473,109.1186893,22.8766892,-11498.452726796864,-14598.324176139147
WS005,1,1,16,未记录,一般水体,387841473,109.1186464,22.8766497,-11502.850667835424,-14602.698569195101
WS005,1,1,17,未记录,一般水体,387841473,109.1186464,22.8765706,-11502.850667835424,-14611.45842971994
WS005,1,1,18,未记录,一般水体,387841473,109.1185284,22.8765805,-11514.947568595106,-14610.362062852915
WS005,1,1,19,未记录,一般水体,387841473,109.1185069,22.8765014,-11517.151664920217,-14619.121923377754
WS005,1,1,20,未记录,一般水体,387841473,109.1183352,22.8764025,-11534.753680686117,-14630.07451763664
WS005,1,1,21,未记录,一般水体,387841473,109.1179276,22.8760269,-11576.539246361177,-14671.67001211346
