from_id,to_id,type_id,flight_s,horizontal_energy_factor,climb_energy_per_kg
O01,S001,A,338.5768147,13743.10623,0.000549946528
O01,S001,B,287.6764212,12216.09443,0.000549946528
O01,S001,C,306.2725229,24432.18886,0.000549946528
O01,S002,A,713.8276042,33351.90216,0.0006857627436
O01,S002,B,590.3020407,29646.13526,0.0006857627436
O01,S002,C,611.331083,59292.27051,0.0006857627436
O01,S003,A,839.3419486,32687.22135,0.001642402526
O01,S003,B,718.2781659,29055.30787,0.001642402526
O01,S003,C,769.5488555,58110.61574,0.001642402526
O01,S004,A,801.0455258,34716.06741,0.001023565939
O01,S004,B,672.4674983,30858.72659,0.001023565939
O01,S004,C,707.4973594,61717.45317,0.001023565939
O01,S005,A,558.8507658,23762.67016,0.0007518086946
O01,S005,B,470.8408763,21122.37348,0.0007518086946
O01,S005,C,497.2293577,42244.74695,0.0007518086946
O01,S006,A,365.5016532,14337.89484,0.0009019614858
O01,S006,B,312.398339,12744.79541,0.0009019614858
O01,S006,C,333.4213122,25489.59082,0.0009019614858
O01,S007,A,571.3734429,20406.22819,0.001453870576
O01,S007,B,495.79482,18138.8695,0.001453870576
O01,S007,C,537.7603492,36277.739,0.001453870576
O01,S008,A,795.7993811,36355.99702,0.000927732291
O01,S008,B,661.1475403,32316.4418,0.000927732291
O01,S008,C,687.6957623,64632.88359,0.000927732291
O01,S009,A,555.9098229,25673.86551,0.0006262670171
O01,S009,B,460.8214322,22821.21379,0.0006262670171
O01,S009,C,478.1795842,45642.42757,0.0006262670171
O01,S010,A,534.9830017,21531.03528,0.001165056261
O01,S010,B,455.2384266,19138.69803,0.001165056261
O01,S010,C,484.1711825,38277.39605,0.001165056261
O01,S011,A,323.2008216,12636.47886,0.0006343364789
O01,S011,B,276.3990481,11232.42565,0.0006343364789
O01,S011,C,295.902674,22464.8513,0.0006343364789
O01,S012,A,764.5290764,33260.13073,0.00108055131
O01,S012,B,641.3434071,29564.56065,0.00108055131
O01,S012,C,673.7335729,59129.1213,0.00108055131
O01,S013,A,513.6147419,21822.91585,0.001027132418
O01,S013,B,432.7891277,19398.14742,0.001027132418
O01,S013,C,455.6360983,38796.29484,0.001027132418
O01,S014,A,702.7561093,24387.91335,0.001756447394
O01,S014,B,612.4305043,21678.1452,0.001756447394
O01,S014,C,667.4750689,43356.2904,0.001756447394
O01,S015,A,687.7665283,27043.94201,0.00168021835
O01,S015,B,587.6037801,24039.05957,0.00168021835
O01,S015,C,626.9403226,48078.11914,0.00168021835
S001,O01,A,342.330148,13743.10623,0.0003369394311
S001,O01,B,291.4297546,12216.09443,0.0003369394311
S001,O01,C,311.9025229,24432.18886,0.0003369394311
S001,S002,A,441.0427161,19623.41091,0.0004738550675
S001,S002,B,368.3634165,17443.03192,0.0004738550675
S001,S002,C,385.6875569,34886.06383,0.0004738550675
S001,S003,A,849.3203423,34471.50036,0.001407225509
S001,S003,B,721.6481187,30641.33366,0.001407225509
S001,S003,C,768.1888515,61282.66731,0.001407225509
S001,S004,A,557.7560431,22174.5078,0.0008504307981
S001,S004,B,475.6282364,19710.6736,0.0008504307981
S001,S004,C,508.6611931,39421.3472,0.0008504307981
S001,S005,A,336.5216189,13177.1026,0.0004999348466
S001,S005,B,287.7175352,11712.98009,0.0004999348466
S001,S005,C,308.6405353,23425.96018,0.0004999348466
S001,S006,A,543.0078718,23834.2538,0.0007942767471
S001,S006,B,454.7328577,21186.00337,0.0007942767471
S001,S006,C,476.6421308,42372.00675,0.0007942767471
S001,S007,A,553.7249184,23349.40158,0.0009654380345
S001,S007,B,467.2456533,20755.02362,0.0009654380345
S001,S007,C,493.324879,41510.04725,0.0009654380345
S001,S008,A,596.6807586,26859.42901,0.0006915624247
S001,S008,B,497.2013918,23875.04801,0.0006915624247
S001,S008,C,518.9759202,47750.09602,0.0006915624247
S001,S009,A,282.6440296,11930.91267,0.0004132599203
S001,S009,B,238.4554642,10605.25571,0.0004132599203
S001,S009,C,252.0602829,21210.51141,0.0004132599203
S001,S010,A,423.3431336,16696.33383,0.0009348086256
S001,S010,B,361.5048601,14841.18563,0.0009348086256
S001,S010,C,385.924807,29682.37125,0.0009348086256
S001,S011,A,252.7203647,10595.2985,0.0003495431663
S001,S011,B,213.4785184,9418.043109,0.0003495431663
S001,S011,C,226.0665032,18836.08622,0.0003495431663
S001,S012,A,537.7373296,21143.75127,0.0009519094557
S001,S012,B,459.4271397,18794.44557,0.0009519094557
S001,S012,C,491.7804079,37588.89114,0.0009519094557
S001,S013,A,317.062131,13046.98702,0.0007353504748
S001,S013,B,268.7399568,11597.3218,0.0007353504748
S001,S013,C,284.363425,23194.6436,0.0007353504748
S001,S014,A,671.3430625,23384.12894,0.001574097532
S001,S014,B,584.7351776,20785.89239,0.001574097532
S001,S014,C,637.3769134,41571.78478,0.001574097532
S001,S015,A,645.3377746,24755.75848,0.001563748983
S001,S015,B,553.6497803,22005.11865,0.001563748983
S001,S015,C,593.4856445,44010.2373,0.001563748983
S002,O01,A,719.9476042,33351.90216,0.0003384438895
S002,O01,B,596.4220407,29646.13526,0.0003384438895
S002,O01,C,620.511083,59292.27051,0.0003384438895
S002,S001,A,443.4093828,19623.41091,0.0003395433102
S002,S001,B,370.7300831,17443.03192,0.0003395433102
S002,S001,C,389.2375569,34886.06383,0.0003395433102
S002,S003,A,1061.845092,44005.43121,0.001519544234
S002,S003,B,898.8620139,39115.93885,0.001519544234
S002,S003,C,953.900582,78231.87771,0.001519544234
S002,S004,A,267.6088816,10120.29476,0.0004319095458
S002,S004,B,230.1263084,8995.817568,0.0004319095458
S002,S004,C,248.2726756,17991.63514,0.0004319095458
S002,S005,A,436.8905757,15645.86475,0.0007086312721
S002,S005,B,378.9429285,13907.43533,0.0007086312721
S002,S005,C,412.6093694,27814.87066,0.0007086312721
S002,S006,A,855.5439389,41335.82394,0.0006613386307
S002,S006,B,702.4482947,36742.95461,0.0006613386307
S002,S006,C,722.0514123,73485.90923,0.0006613386307
S002,S007,A,812.2319088,36539.88715,0.0009656378977
S002,S007,B,676.8989935,32479.89969,0.0009656378977
S002,S007,C,706.5370234,64959.79938,0.0009656378977
S002,S008,A,498.8752442,21620.74024,0.0006142114451
S002,S008,B,418.7984285,19218.43577,0.0006142114451
S002,S008,C,440.7155117,38436.87153,0.0006142114451
S002,S009,A,219.292181,7760.626372,0.0004115866578
S002,S009,B,190.5491204,6898.334553,0.0004115866578
S002,S009,C,207.630229,13796.66911,0.0004115866578
S002,S010,A,639.9826199,26627.20533,0.001030432019
S002,S010,B,541.3633408,23668.62696,0.001030432019
S002,S010,C,573.5456647,47337.25393,0.001030432019
S002,S011,A,589.1768715,26021.21162,0.0005383265907
S002,S011,B,492.8020136,23129.96589,0.0005383265907
S002,S011,C,517.2562368,46259.93177,0.0005383265907
S002,S012,A,370.2516014,13824.40765,0.0007138509226
S002,S012,B,319.0500916,12288.36236,0.0007138509226
