from_id,to_id,distance_m,geodesic_m,projection_relative_error,terrain_max_m,cruise_alt_m,climb_m,descent_m,cell_count
O01,S001,3054.023608,3053.978844,1.465759875e-05,223.0566101,273.0566101,145.3566101,89.05661011,136
O01,S002,7411.533814,7411.310455,3.013759457e-05,258.9542542,308.9542542,181.2542542,89.45425415,323
O01,S003,7263.826968,7263.179257,8.91773681e-05,511.8041382,561.8041382,434.1041382,223.3041382,338
O01,S004,7714.681646,7714.696449,-1.918783293e-06,348.2391663,398.2391663,270.5391663,169.9391663,276
O01,S005,5280.593369,5280.606937,-2.56935566e-06,276.4108887,326.4108887,198.7108887,131.4108887,181
O01,S006,3186.198852,3186.208178,-2.927009907e-06,316.0978394,366.0978394,238.3978394,51.29783936,116
O01,S007,4534.717375,4534.460567,5.663476442e-05,461.973175,511.973175,384.273175,163.473175,213
O01,S008,8079.110449,8079.033112,9.572477822e-06,322.9093323,372.9093323,245.2093323,102.0093323,321
O01,S009,5705.303447,5705.144962,2.777919633e-05,243.2289124,293.2289124,165.5289124,63.22891235,253
O01,S010,4784.674506,4784.494852,3.75493388e-05,385.6365356,435.6365356,307.9365356,84.03653564,203
O01,S011,2808.106412,2808.074233,1.145970069e-05,245.3617554,295.3617554,167.6617554,83.26175537,123
O01,S012,7391.140163,7390.491687,8.774457312e-05,363.3009949,413.3009949,285.6009949,133.5009949,354
O01,S013,4849.536855,4849.242377,6.072645897e-05,349.1818237,399.1818237,271.4818237,47.48182373,228
O01,S014,5419.5363,5419.601858,-1.209651071e-05,541.9473877,591.9473877,464.2473877,240.9473877,203
O01,S015,6009.764892,6009.382972,6.355404572e-05,521.7992554,571.7992554,444.0992554,97.29925537,286
S001,O01,3054.023608,3053.978844,1.465759875e-05,223.0566101,273.0566101,89.05661011,145.3566101,136
S001,S002,4360.757979,4360.597539,3.679313906e-05,259.2448425,309.2448425,125.2448425,89.74484253,188
S001,S003,7660.333414,7658.743085,0.0002076488012,505.944397,555.944397,371.944397,217.444397,293
S001,S004,4927.6684,4927.678447,-2.038802378e-06,358.7777405,408.7777405,224.7777405,180.4777405,179
S001,S005,2928.245023,2928.040272,6.992743938e-05,266.1380005,316.1380005,132.1380005,121.1380005,136
S001,S006,5296.500843,5296.167857,6.287311434e-05,343.9356384,393.9356384,209.9356384,79.13563843,251
S001,S007,5188.755906,5187.88323,0.0001682143216,389.175354,439.175354,255.175354,90.675354,198
S001,S008,5968.762003,5968.208405,9.275781315e-05,316.7871704,366.7871704,182.7871704,95.88717041,276
S001,S009,2651.313927,2651.198774,4.34342393e-05,243.2289124,293.2289124,109.2289124,63.22891235,118
S001,S010,3710.296407,3709.89418,0.000108420003,381.0796814,431.0796814,247.0796814,79.4796814,170
S001,S011,2354.510777,2354.092459,0.00017769812,226.3879089,276.3879089,92.38790894,64.28790894,90
S001,S012,4698.611393,4697.683539,0.0001975130916,385.5996094,435.5996094,251.5996094,155.7996094,219
S001,S013,2899.33045,2898.825753,0.000174103889,328.3608093,378.3608093,194.3608093,26.66080933,111
S001,S014,5196.473098,5196.211105,5.042011037e-05,550.050415,600.050415,416.050415,249.050415,248
S001,S015,5501.279663,5500.079173,0.0002182676731,547.3151855,597.3151855,413.3151855,122.8151855,241
S002,O01,7411.533814,7411.310455,3.013759457e-05,258.9542542,308.9542542,89.45425415,181.2542542,323
S002,S001,4360.757979,4360.597539,3.679313906e-05,259.2448425,309.2448425,89.74484253,125.2448425,188
S002,S003,9778.984713,9776.007015,0.0003045925017,571.1314087,621.1314087,401.6314087,282.6314087,432
S002,S004,2248.954392,2248.017698,0.0004166754741,283.6582031,333.6582031,114.1582031,105.3582031,102
S002,S005,3476.858833,3475.746984,0.0003198876701,356.798645,406.798645,187.298645,211.798645,161
S002,S006,9185.738653,9184.869515,9.462717773e-05,344.2987061,394.2987061,174.7987061,79.49870605,438
S002,S007,8119.974923,8118.281841,0.0002085516745,424.7281799,474.7281799,255.2281799,126.2281799,385
S002,S008,4804.608941,4802.361653,0.0004679548024,331.8424988,381.8424988,162.3424988,110.9424988,199
S002,S009,1724.583638,1724.547196,2.113152574e-05,278.2866516,328.2866516,108.7866516,98.28665161,71
S002,S010,5917.156741,5917.036166,2.037760546e-05,441.8539429,491.8539429,272.3539429,140.2539429,247
S002,S011,5782.491471,5781.673944,0.0001413997985,311.7853394,361.7853394,142.2853394,149.6853394,277
S002,S012,3072.090589,3071.275527,0.0002653823019,358.1782532,408.1782532,188.6782532,128.3782532,146
S002,S013,4540.229318,4540.132863,2.124477709e-05,327.2103271,377.2103271,157.7103271,25.51032715,188
S002,S014,7654.791492,7654.630751,2.099916145e-05,457.5832214,507.5832214,288.0832214,156.5832214,325
S002,S015,7166.819355,7164.390109,0.0003390723204,593.7526245,643.7526245,424.2526245,169.2526245,314
S003,O01,7263.826968,7263.179257,8.91773681e-05,511.8041382,561.8041382,223.3041382,434.1041382,338
S003,S001,7660.333414,7658.743085,0.0002076488012,505.944397,555.944397,217.444397,371.944397,293
S003,S002,9778.984713,9776.007015,0.0003045925017,571.1314087,621.1314087,282.6314087,401.6314087,432
S003,S004,8234.251527,8231.978295,0.0002761464756,674.2682495,724.2682495,385.7682495,495.9682495,385
S003,S005,6341.959269,6340.247461,0.0002699906225,533.8880615,583.8880615,245.3880615,388.8880615,272
S003,S006,4801.178458,4800.944759,4.867765196e-05,612.3626709,662.3626709,323.8626709,347.5626709,229
S003,S007,2734.688325,2734.261623,0.0001560576232,360.6993408,410.6993408,72.19934082,62.19934082,126
S003,S008,6255.275707,6254.068545,0.0001930202762,746.0787354,796.0787354,457.5787354,525.1787354,300
S003,S009,8900.023984,8897.537412,0.0002794673946,544.5881348,594.5881348,256.0881348,364.5881348,362
S003,S010,11226.03088,11224.34153,0.0001505074793,466.9641724,516.9641724,178.4641724,165.3641724,462
S003,S011,5357.674991,5356.618098,0.000197306042,485.4223022,535.4223022,196.9223022,323.3223022,216
S003,S012,11820.28941,11816.96239,0.00028154671,544.5889282,594.5889282,256.0889282,314.7889282,463
S003,S013,10559.66302,10557.5672,0.0001985136872,505.944397,555.944397,217.444397,204.244397,403
S003,S014,12386.88471,12385.71458,9.447429044e-05,542.7295532,592.7295532,254.2295532,241.7295532,540
S003,S015,2616.960741,2616.366901,0.0002269714436,437.8988647,487.8988647,149.3988647,13.39886475,119
S004,O01,7714.681646,7714.696449,-1.918783293e-06,348.2391663,398.2391663,169.9391663,270.5391663,276
S004,S001,4927.6684,4927.678447,-2.038802378e-06,358.7777405,408.7777405,180.4777405,224.7777405,179
S004,S002,2248.954392,2248.017698,0.0004166754741,283.6582031,333.6582031,105.3582031,114.1582031,102
S004,S003,8234.251527,8231.978295,0.0002761464756,674.2682495,724.2682495,495.9682495,385.7682495,385
S004,S005,2608.294551,2608.141553,5.866168829e-05,315.8065796,365.8065796,137.5065796,170.8065796,114
S004,S006,8706.373978,8705.954301,4.820573648e-05,375.2806396,425.2806396,196.9806396,110.4806396,391
S004,S007,7097.409235,7096.418611,0.000139595013,543.2369995,593.2369995,364.9369995,244.7369995,338
S004,S008,2612.942542,2611.596348,0.0005154676929,336.8334961,386.8334961,158.5334961,115.9334961,98
S004,S009,2985.458345,2985.089053,0.0001237122668,275.2157898,325.2157898,96.91578979,95.21578979,140
S004,S010,7545.766883,7545.204777,7.449844919e-05,432.9572754,482.9572754,254.6572754,131.3572754,348
S004,S011,5403.918133,5403.734548,3.397375642e-05,311.138916,361.138916,132.838916,149.038916,230
S004,S012,5286.827376,5285.127318,0.0003216684002,312.006958,362.006958,133.706958,82.20695801,247
S004,S013,6196.8342,6196.225149,9.829380705e-05,322.2989807,372.2989807,143.9989807,20.59898071,289
S004,S014,9294.319073,9293.779822,5.802274991e-05,505.3861084,555.3861084,327.0861084,204.3861084,426
S004,S015,5649.854647,5648.280045,0.0002787755167,641.2510376,691.2510376,462.9510376,216.7510376,267
S005,O01,5280.593369,5280.606937,-2.56935566e-06,276.4108887,326.4108887,131.4108887,198.7108887,181
S005,S001,2928.245023,2928.040272,6.992743938e-05,266.1380005,316.1380005,121.1380005,132.1380005,136
S005,S002,3476.858833,3475.746984,0.0003198876701,356.798645,406.798645,211.798645,187.298645,161
S005,S003,6341.959269,6340.247461,0.0002699906225,533.8880615,583.8880615,388.8880615,245.3880615,272
S005,S004,2608.294551,2608.141553,5.866168829e-05,315.8065796,365.8065796,170.8065796,137.5065796,114
S005,S006,6107.345679,6107.117973,3.728524642e-05,366.7322998,416.7322998,221.7322998,101.9322998,278
S005,S007,4688.674243,4687.969222,0.0001503893959,467.1478271,517.1478271,322.1478271,168.6478271,225
S005,S008,3040.519784,3040.170436,0.0001149106597,316.7871704,366.7871704,171.7871704,95.88717041,141
S005,S009,2650.844495,2649.922537,0.0003479190074,313.5632019,363.5632019,168.5632019,133.5632019,97
S005,S010,6362.158983,6361.357076,0.0001260592399,416.1532593,466.1532593,271.1532593,114.5532593,305
S005,S011,2802.763602,2802.712805,1.812401965e-05,297.5489197,347.5489197,152.5489197,135.4489197,117
S005,S012,5624.552469,5622.613283,0.0003448906042,313.5632019,363.5632019,168.5632019,83.7632019,204
S005,S013,5215.452719,5214.490977,0.0001844364476,324.444458,374.444458,179.444458,22.74445801,246
S005,S014,7996.206911,7995.561185,8.076057041e-05,552.8875122,602.8875122,407.8875122,251.8875122,383
S005,S015,3756.100729,3754.922176,0.0003138687678,568.6133423,618.6133423,423.6133423,144.1133423,154
S006,O01,3186.198852,3186.208178,-2.927009907e-06,316.0978394,366.0978394,51.29783936,238.3978394,116
S006,S001,5296.500843,5296.167857,6.287311434e-05,343.9356384,393.9356384,79.13563843,209.9356384,251
S006,S002,9185.738653,9184.869515,9.462717773e-05,344.2987061,394.2987061,79.49870605,174.7987061,438
S006,S003,4801.178458,4800.944759,4.867765196e-05,612.3626709,662.3626709,347.5626709,323.8626709,229
S006,S004,8706.373978,8705.954301,4.820573648e-05,375.2806396,425.2806396,110.4806396,196.9806396,391
S006,S005,6107.345679,6107.117973,3.728524642e-05,366.7322998,416.7322998,101.9322998,221.7322998,278
S006,S007,2507.453896,2507.441751,4.843822928e-06,540.3613281,590.3613281,275.5613281,241.8613281,104
