type_id,soc,charge_to_full_s
A,0,1800
A,0.01,1787
A,0.02,1774
A,0.03,1761
A,0.04,1748
A,0.05,1735
A,0.06,1722
A,0.07,1709
A,0.08,1696
A,0.09,1683
A,0.1,1670
A,0.11,1657
A,0.12,1644
A,0.13,1631
A,0.14,1618
A,0.15,1605
A,0.16,1592
A,0.17,1579
A,0.18,1566
A,0.19,1553
A,0.2,1540
A,0.21,1527
A,0.22,1514
A,0.23,1501
A,0.24,1488
A,0.25,1475
A,0.26,1462
A,0.27,1449
A,0.28,1436
A,0.29,1423
A,0.3,1410
A,0.31,1397
A,0.32,1384
A,0.33,1371
A,0.34,1358
A,0.35,1345
A,0.36,1332
A,0.37,1319
A,0.38,1306
A,0.39,1293
A,0.4,1280
A,0.41,1267
A,0.42,1254
A,0.43,1241
A,0.44,1228
A,0.45,1215
A,0.46,1202
A,0.47,1189
A,0.48,1176
A,0.49,1163
A,0.5,1150
A,0.51,1137
A,0.52,1124
A,0.53,1111
A,0.54,1098
A,0.55,1085
A,0.56,1072
A,0.57,1059
A,0.58,1046
A,0.59,1033
A,0.6,1020
A,0.61,1007
A,0.62,994
A,0.63,981
A,0.64,968
A,0.65,955
A,0.66,942
A,0.67,929
A,0.68,916
A,0.69,903
A,0.7,890
A,0.71,877
A,0.72,864
A,0.73,851
A,0.74,838
A,0.75,825
A,0.76,812
A,0.77,799
A,0.78,786
A,0.79,773
A,0.8,760
A,0.81,747
A,0.82,734
A,0.83,721
A,0.84,708
A,0.85,695
A,0.86,682
A,0.87,669
A,0.88,656
A,0.89,643
A,0.9,630
A,0.91,567
A,0.92,504
A,0.93,441
A,0.94,378
A,0.95,315
A,0.96,252
A,0.97,189
A,0.98,126
A,0.99,63
A,1,0
B,0,2400
B,0.01,2382.666667
B,0.02,2365.333333
B,0.03,2348
B,0.04,2330.666667
B,0.05,2313.333333
B,0.06,2296
B,0.07,2278.666667
B,0.08,2261.333333
B,0.09,2244
B,0.1,2226.666667
B,0.11,2209.333333
B,0.12,2192
B,0.13,2174.666667
B,0.14,2157.333333
B,0.15,2140
B,0.16,2122.666667
B,0.17,2105.333333
B,0.18,2088
B,0.19,2070.666667
B,0.2,2053.333333
B,0.21,2036
B,0.22,2018.666667
B,0.23,2001.333333
B,0.24,1984
B,0.25,1966.666667
B,0.26,1949.333333
B,0.27,1932
B,0.28,1914.666667
B,0.29,1897.333333
B,0.3,1880
B,0.31,1862.666667
B,0.32,1845.333333
B,0.33,1828
B,0.34,1810.666667
B,0.35,1793.333333
B,0.36,1776
B,0.37,1758.666667
B,0.38,1741.333333
B,0.39,1724
B,0.4,1706.666667
B,0.41,1689.333333
B,0.42,1672
B,0.43,1654.666667
B,0.44,1637.333333
B,0.45,1620
B,0.46,1602.666667
B,0.47,1585.333333
B,0.48,1568
B,0.49,1550.666667
B,0.5,1533.333333
B,0.51,1516
B,0.52,1498.666667
B,0.53,1481.333333
B,0.54,1464
B,0.55,1446.666667
B,0.56,1429.333333
B,0.57,1412
B,0.58,1394.666667
B,0.59,1377.333333
B,0.6,1360
B,0.61,1342.666667
B,0.62,1325.333333
B,0.63,1308
B,0.64,1290.666667
B,0.65,1273.333333
B,0.66,1256
B,0.67,1238.666667
B,0.68,1221.333333
B,0.69,1204
B,0.7,1186.666667
B,0.71,1169.333333
B,0.72,1152
B,0.73,1134.666667
B,0.74,1117.333333
B,0.75,1100
B,0.76,1082.666667
B,0.77,1065.333333
B,0.78,1048
B,0.79,1030.666667
B,0.8,1013.333333
B,0.81,996
B,0.82,978.6666667
B,0.83,961.3333333
B,0.84,944
B,0.85,926.6666667
B,0.86,909.3333333
B,0.87,892
B,0.88,874.6666667
B,0.89,857.3333333
B,0.9,840
B,0.91,756
B,0.92,672
B,0.93,588
B,0.94,504
B,0.95,420
B,0.96,336
B,0.97,252
B,0.98,168
B,0.99,84
B,1,0
C,0,3000
C,0.01,2978.333333
C,0.02,2956.666667
C,0.03,2935
C,0.04,2913.333333
C,0.05,2891.666667
C,0.06,2870
C,0.07,2848.333333
C,0.08,2826.666667
C,0.09,2805
C,0.1,2783.333333
C,0.11,2761.666667
C,0.12,2740
C,0.13,2718.333333
C,0.14,2696.666667
C,0.15,2675
C,0.16,2653.333333
C,0.17,2631.666667
C,0.18,2610
C,0.19,2588.333333
C,0.2,2566.666667
C,0.21,2545
C,0.22,2523.333333
C,0.23,2501.666667
C,0.24,2480
C,0.25,2458.333333
C,0.26,2436.666667
C,0.27,2415
C,0.28,2393.333333
C,0.29,2371.666667
C,0.3,2350
C,0.31,2328.333333
C,0.32,2306.666667
C,0.33,2285
C,0.34,2263.333333
C,0.35,2241.666667
C,0.36,2220
C,0.37,2198.333333
C,0.38,2176.666667
C,0.39,2155
C,0.4,2133.333333
C,0.41,2111.666667
C,0.42,2090
C,0.43,2068.333333
C,0.44,2046.666667
C,0.45,2025
C,0.46,2003.333333
C,0.47,1981.666667
C,0.48,1960
C,0.49,1938.333333
C,0.5,1916.666667
C,0.51,1895
C,0.52,1873.333333
C,0.53,1851.666667
C,0.54,1830
C,0.55,1808.333333
C,0.56,1786.666667
C,0.57,1765
C,0.58,1743.333333
C,0.59,1721.666667
C,0.6,1700
C,0.61,1678.333333
C,0.62,1656.666667
C,0.63,1635
C,0.64,1613.333333
C,0.65,1591.666667
C,0.66,1570
C,0.67,1548.333333
C,0.68,1526.666667
C,0.69,1505
C,0.7,1483.333333
