from_id,O01,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015
O01,0,145.3566101,181.2542542,434.1041382,270.5391663,198.7108887,238.3978394,384.273175,245.2093323,165.5289124,307.9365356,167.6617554,285.6009949,271.4818237,464.2473877,444.0992554
S001,89.05661011,0,125.2448425,371.944397,224.7777405,132.1380005,209.9356384,255.175354,182.7871704,109.2289124,247.0796814,92.38790894,251.5996094,194.3608093,416.050415,413.3151855
S002,89.45425415,89.74484253,0,401.6314087,114.1582031,187.298645,174.7987061,255.2281799,162.3424988,108.7866516,272.3539429,142.2853394,188.6782532,157.7103271,288.0832214,424.2526245
S003,223.3041382,217.444397,282.6314087,0,385.7682495,245.3880615,323.8626709,72.19934082,457.5787354,256.0881348,178.4641724,196.9223022,256.0889282,217.444397,254.2295532,149.3988647
S004,169.9391663,180.4777405,105.3582031,495.9682495,0,137.5065796,196.9806396,364.9369995,158.5334961,96.91578979,254.6572754,132.838916,133.706958,143.9989807,327.0861084,462.9510376
S005,131.4108887,121.1380005,211.798645,388.8880615,170.8065796,0,221.7322998,322.1478271,171.7871704,168.5632019,271.1532593,152.5489197,168.5632019,179.444458,407.8875122,423.6133423
S006,51.29783936,79.13563843,79.49870605,347.5626709,110.4806396,101.9322998,0,275.5613281,253.0421021,76.27128906,118.4227783,85.66759033,120.5490295,79.37092896,291.8621094,336.4601318
S007,163.473175,90.675354,126.2281799,62.19934082,244.7369995,168.6478271,241.8613281,0,308.239502,119.8708191,88.449646,90.675354,109.1636353,84.03811646,232.3557739,154.4182129
S008,102.0093323,95.88717041,110.9424988,525.1787354,115.9334961,95.88717041,296.9421021,385.839502,0,117.7203613,198.1903015,142.0165039,88.25319824,115.4731079,321.5922485,439.5509277
S009,63.22891235,63.22891235,98.28665161,364.5881348,95.21578979,133.5632019,161.0712891,238.3708191,158.6203613,0,252.9572754,85.66766357,130.9196167,142.2989807,322.7727966,352.3267822
S010,84.03653564,79.4796814,140.2539429,165.3641724,131.3572754,114.5532593,81.62277832,85.349646,117.4903015,131.3572754,0,85.44333496,121.5903076,152.4703735,185.9635681,266.7262329
S011,83.26175537,64.28790894,149.6853394,323.3223022,149.038916,135.4489197,188.3675903,227.075354,200.8165039,103.5676636,224.943335,0,208.3505615,166.2608093,406.4668335,376.6306519
S012,133.5009949,155.7996094,128.3782532,314.7889282,82.20695801,83.7632019,155.5490295,177.8636353,79.35319824,81.1196167,193.3903076,140.6505615,0,156.7263672,251.3858215,304.9462158
S013,47.48182373,26.66080933,25.51032715,204.244397,20.59898071,22.74445801,42.47092896,80.83811646,34.67310791,20.59898071,152.3703735,26.66080933,84.82636719,0,181.5603149,228.0706299
S014,240.9473877,249.050415,156.5832214,241.7295532,204.3861084,251.8875122,255.6621094,229.8557739,241.4922485,201.7727966,186.5635681,267.5668335,180.1858215,182.2603149,0,277.795166
S015,97.29925537,122.8151855,169.2526245,13.39886475,216.7510376,144.1133423,176.7601318,28.41821289,235.9509277,107.8267822,143.8262329,114.2306519,110.2462158,105.2706299,154.295166,0
