from_id,O01,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015
O01,0,273.0566101,308.9542542,561.8041382,398.2391663,326.4108887,366.0978394,511.973175,372.9093323,293.2289124,435.6365356,295.3617554,413.3009949,399.1818237,591.9473877,571.7992554
S001,273.0566101,0,309.2448425,555.944397,408.7777405,316.1380005,393.9356384,439.175354,366.7871704,293.2289124,431.0796814,276.3879089,435.5996094,378.3608093,600.050415,597.3151855
S002,308.9542542,309.2448425,0,621.1314087,333.6582031,406.798645,394.2987061,474.7281799,381.8424988,328.2866516,491.8539429,361.7853394,408.1782532,377.2103271,507.5832214,643.7526245
S003,561.8041382,555.944397,621.1314087,0,724.2682495,583.8880615,662.3626709,410.6993408,796.0787354,594.5881348,516.9641724,535.4223022,594.5889282,555.944397,592.7295532,487.8988647
S004,398.2391663,408.7777405,333.6582031,724.2682495,0,365.8065796,425.2806396,593.2369995,386.8334961,325.2157898,482.9572754,361.138916,362.006958,372.2989807,555.3861084,691.2510376
S005,326.4108887,316.1380005,406.798645,583.8880615,365.8065796,0,416.7322998,517.1478271,366.7871704,363.5632019,466.1532593,347.5489197,363.5632019,374.444458,602.8875122,618.6133423
S006,366.0978394,393.9356384,394.2987061,662.3626709,425.2806396,416.7322998,0,590.3613281,567.8421021,391.0712891,433.2227783,400.4675903,435.3490295,394.170929,606.6621094,651.2601318
S007,511.973175,439.175354,474.7281799,410.6993408,593.2369995,517.1478271,590.3613281,0,656.739502,468.3708191,436.949646,439.175354,457.6636353,432.5381165,580.8557739,502.9182129
S008,372.9093323,366.7871704,381.8424988,796.0787354,386.8334961,366.7871704,567.8421021,656.739502,0,388.6203613,469.0903015,412.9165039,359.1531982,386.3731079,592.4922485,710.4509277
S009,293.2289124,293.2289124,328.2866516,594.5881348,325.2157898,363.5632019,391.0712891,468.3708191,388.6203613,0,482.9572754,315.6676636,360.9196167,372.2989807,552.7727966,582.3267822
S010,435.6365356,431.0796814,491.8539429,516.9641724,482.9572754,466.1532593,433.2227783,436.949646,469.0903015,482.9572754,0,437.043335,473.1903076,504.0703735,537.5635681,618.3262329
S011,295.3617554,276.3879089,361.7853394,535.4223022,361.138916,347.5489197,400.4675903,439.175354,412.9165039,315.6676636,437.043335,0,420.4505615,378.3608093,618.5668335,588.7306519
S012,413.3009949,435.5996094,408.1782532,594.5889282,362.006958,363.5632019,435.3490295,457.6636353,359.1531982,360.9196167,473.1903076,420.4505615,0,436.5263672,531.1858215,584.7462158
S013,399.1818237,378.3608093,377.2103271,555.944397,372.2989807,374.444458,394.170929,432.5381165,386.3731079,372.2989807,504.0703735,378.3608093,436.5263672,0,533.2603149,579.7706299
S014,591.9473877,600.050415,507.5832214,592.7295532,555.3861084,602.8875122,606.6621094,580.8557739,592.4922485,552.7727966,537.5635681,618.5668335,531.1858215,533.2603149,0,628.795166
S015,571.7992554,597.3151855,643.7526245,487.8988647,691.2510376,618.6133423,651.2601318,502.9182129,710.4509277,582.3267822,618.3262329,588.7306519,584.7462158,579.7706299,628.795166,0
