table,field,dtype,description,missing_count
boxes,box_id,str,逐箱唯一编号,0
boxes,service_id,str,所属服务区编号,0
boxes,material,str,物资类型,0
boxes,mass_kg,int64,单箱质量，kg,0
boxes,volume_m3,float64,单箱体积，立方米,0
boxes,first_batch,bool,是否首批保障，布尔值,0
boxes,first_deadline_s,float64,原始首批截止时间，秒；非首批为空，不能填0,50
boxes,expected_s,int64,原始期望交付完成时间，秒,0
boxes,priority,int64,附件应急优先系数,0
boxes,source_file,str,来源文件相对路径,0
boxes,source_sheet,str,来源工作表,0
boxes,source_row,int64,来源Excel行号，1起,0
boxes,expected_is_hard,bool,医疗为真；其他为假，首批另有硬时限,0
boxes,hard_deadline_s,float64,医疗期望时间与首批截止时间的适用最小值；无硬时限为空,49
boxes,has_hard_deadline,bool,是否有硬时限,0
demand_by_material,service_id,str,所属服务区编号,0
demand_by_material,material,str,物资类型,0
demand_by_material,total_boxes,int64,总需求箱数,0
demand_by_material,first_boxes,int64,首批保障箱数,0
demand_by_material,mass_kg,int64,单箱质量，kg,0
demand_by_material,volume_m3,float64,单箱体积，立方米,0
demand_by_material,priority,int64,附件应急优先系数,0
demand_by_material,first_deadline_s,float64,原始首批截止时间，秒；非首批为空，不能填0,23
demand_by_material,expected_s,int64,原始期望交付完成时间，秒,0
demand_by_material,source_file,str,来源文件相对路径,0
demand_by_material,source_sheet,str,来源工作表,0
demand_by_material,source_row,int64,来源Excel行号，1起,0
transport_types,type_id,str,机型编号,0
transport_types,type_name,str,附件机型名称,0
transport_types,empty_mass_kg,float64,含电池/能源组件的空载总质量，kg,0
transport_types,max_payload_kg,int64,标称最大载货质量，kg,0
transport_types,capacity_m3,float64,可用装载体积，立方米,0
transport_types,cruise_mps,int64,计划水平巡航速度，m/s,0
transport_types,range_empty_m,int64,空载标准航程，米,0
transport_types,range_full_m,int64,满载标准航程，米,0
transport_types,energy_kwh,float64,电池/组件可用能量，kWh,0
transport_types,reserve_fraction,float64,返航SOC下限比例，0至1,0
transport_types,prepare_s,int64,工位固定准备时间，秒,0
transport_types,load_per_box_s,int64,每箱装载时间，秒,0
transport_types,handover_base_s,int64,接收点基础交接时间，秒,0
transport_types,handover_per_box_s,int64,每箱增加交接时间，秒,0
