from_id,O01,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015
O01,0,89.05661011,89.45425415,223.3041382,169.9391663,131.4108887,51.29783936,163.473175,102.0093323,63.22891235,84.03653564,83.26175537,133.5009949,47.48182373,240.9473877,97.29925537
S001,145.3566101,0,89.74484253,217.444397,180.4777405,121.1380005,79.13563843,90.675354,95.88717041,63.22891235,79.4796814,64.28790894,155.7996094,26.66080933,249.050415,122.8151855
S002,181.2542542,125.2448425,0,282.6314087,105.3582031,211.798645,79.49870605,126.2281799,110.9424988,98.28665161,140.2539429,149.6853394,128.3782532,25.51032715,156.5832214,169.2526245
S003,434.1041382,371.944397,401.6314087,0,495.9682495,388.8880615,347.5626709,62.19934082,525.1787354,364.5881348,165.3641724,323.3223022,314.7889282,204.244397,241.7295532,13.39886475
S004,270.5391663,224.7777405,114.1582031,385.7682495,0,170.8065796,110.4806396,244.7369995,115.9334961,95.21578979,131.3572754,149.038916,82.20695801,20.59898071,204.3861084,216.7510376
S005,198.7108887,132.1380005,187.298645,245.3880615,137.5065796,0,101.9322998,168.6478271,95.88717041,133.5632019,114.5532593,135.4489197,83.7632019,22.74445801,251.8875122,144.1133423
S006,238.3978394,209.9356384,174.7987061,323.8626709,196.9806396,221.7322998,0,241.8613281,296.9421021,161.0712891,81.62277832,188.3675903,155.5490295,42.47092896,255.6621094,176.7601318
S007,384.273175,255.175354,255.2281799,72.19934082,364.9369995,322.1478271,275.5613281,0,385.839502,238.3708191,85.349646,227.075354,177.8636353,80.83811646,229.8557739,28.41821289
S008,245.2093323,182.7871704,162.3424988,457.5787354,158.5334961,171.7871704,253.0421021,308.239502,0,158.6203613,117.4903015,200.8165039,79.35319824,34.67310791,241.4922485,235.9509277
S009,165.5289124,109.2289124,108.7866516,256.0881348,96.91578979,168.5632019,76.27128906,119.8708191,117.7203613,0,131.3572754,103.5676636,81.1196167,20.59898071,201.7727966,107.8267822
S010,307.9365356,247.0796814,272.3539429,178.4641724,254.6572754,271.1532593,118.4227783,88.449646,198.1903015,252.9572754,0,224.943335,193.3903076,152.3703735,186.5635681,143.8262329
S011,167.6617554,92.38790894,142.2853394,196.9223022,132.838916,152.5489197,85.66759033,90.675354,142.0165039,85.66766357,85.44333496,0,140.6505615,26.66080933,267.5668335,114.2306519
S012,285.6009949,251.5996094,188.6782532,256.0889282,133.706958,168.5632019,120.5490295,109.1636353,88.25319824,130.9196167,121.5903076,208.3505615,0,84.82636719,180.1858215,110.2462158
S013,271.4818237,194.3608093,157.7103271,217.444397,143.9989807,179.444458,79.37092896,84.03811646,115.4731079,142.2989807,152.4703735,166.2608093,156.7263672,0,182.2603149,105.2706299
S014,464.2473877,416.050415,288.0832214,254.2295532,327.0861084,407.8875122,291.8621094,232.3557739,321.5922485,322.7727966,185.9635681,406.4668335,251.3858215,181.5603149,0,154.295166
S015,444.0992554,413.3151855,424.2526245,149.3988647,462.9510376,423.6133423,336.4601318,154.4182129,439.5509277,352.3267822,266.7262329,376.6306519,304.9462158,228.0706299,277.795166,0
