from_id,O01,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015
O01,0,3054.023608,7411.533814,7263.826968,7714.681646,5280.593369,3186.198852,4534.717375,8079.110449,5705.303447,4784.674506,2808.106412,7391.140163,4849.536855,5419.5363,6009.764892
S001,3054.023608,0,4360.757979,7660.333414,4927.6684,2928.245023,5296.500843,5188.755906,5968.762003,2651.313927,3710.296407,2354.510777,4698.611393,2899.33045,5196.473098,5501.279663
S002,7411.533814,4360.757979,0,9778.984713,2248.954392,3476.858833,9185.738653,8119.974923,4804.608941,1724.583638,5917.156741,5782.491471,3072.090589,4540.229318,7654.791492,7166.819355
S003,7263.826968,7660.333414,9778.984713,0,8234.251527,6341.959269,4801.178458,2734.688325,6255.275707,8900.023984,11226.03088,5357.674991,11820.28941,10559.66302,12386.88471,2616.960741
S004,7714.681646,4927.6684,2248.954392,8234.251527,0,2608.294551,8706.373978,7097.409235,2612.942542,2985.458345,7545.766883,5403.918133,5286.827376,6196.8342,9294.319073,5649.854647
S005,5280.593369,2928.245023,3476.858833,6341.959269,2608.294551,0,6107.345679,4688.674243,3040.519784,2650.844495,6362.158983,2802.763602,5624.552469,5215.452719,7996.206911,3756.100729
S006,3186.198852,5296.500843,9185.738653,4801.178458,8706.373978,6107.345679,0,2507.453896,8061.429184,7669.726455,7921.576205,3409.826859,9991.005409,7783.246214,8596.657308,4684.467491
S007,4534.717375,5188.755906,8119.974923,2734.688325,7097.409235,4688.674243,2507.453896,0,5911.691775,6909.134984,8600.953064,2834.487102,9665.42163,8056.279599,9684.640719,2219.350976
S008,8079.110449,5968.762003,4804.608941,6255.275707,2612.942542,3040.519784,8061.429184,5911.691775,0,5019.818776,9294.307503,5327.220538,7730.731128,8055.544715,10975.50884,3929.332309
S009,5705.303447,2651.313927,1724.583638,8900.023984,2985.458345,2650.844495,7669.726455,6909.134984,5019.818776,0,4564.345675,4325.841074,2973.718035,3211.380183,6315.671829,6364.775032
S010,4784.674506,3710.296407,5917.156741,11226.03088,7545.766883,6362.158983,7921.576205,8600.953064,9294.307503,4564.345675,0,5874.255552,3951.019075,1378.690187,1753.200164,9197.58206
S011,2808.106412,2354.510777,5782.491471,5357.674991,5403.918133,2802.763602,3409.826859,2834.487102,5327.220538,4325.841074,5874.255552,0,6905.034447,5234.089763,7128.155043,3461.755517
S012,7391.140163,4698.611393,3072.090589,11820.28941,5286.827376,5624.552469,9991.005409,9665.42163,7730.731128,2973.718035,3951.019075,6905.034447,0,2855.338172,5454.829146,9320.587719
S013,4849.536855,2899.33045,4540.229318,10559.66302,6196.8342,5215.452719,7783.246214,8056.279599,8055.544715,3211.380183,1378.690187,5234.089763,2855.338172,0,3127.432918,8350.811076
S014,5419.5363,5196.473098,7654.791492,12386.88471,9294.319073,7996.206911,8596.657308,9684.640719,10975.50884,6315.671829,1753.200164,7128.155043,5454.829146,3127.432918,0,10557.27016
S015,6009.764892,5501.279663,7166.819355,2616.960741,5649.854647,3756.100729,4684.467491,2219.350976,3929.332309,6364.775032,9197.58206,3461.755517,9320.587719,8350.811076,10557.27016,0
