resource_id,type_id,resource_kind,id_generated,initial_soc,initial_node,full_charge_s
BAT-A-01,A,transport_battery,True,1,O01,1800
BAT-A-02,A,transport_battery,True,1,O01,1800
BAT-A-03,A,transport_battery,True,1,O01,1800
BAT-A-04,A,transport_battery,True,1,O01,1800
BAT-A-05,A,transport_battery,True,1,O01,1800
BAT-A-06,A,transport_battery,True,1,O01,1800
BAT-B-01,B,transport_battery,True,1,O01,2400
BAT-B-02,B,transport_battery,True,1,O01,2400
BAT-B-03,B,transport_battery,True,1,O01,2400
BAT-B-04,B,transport_battery,True,1,O01,2400
BAT-C-01,C,transport_battery,True,1,O01,3000
BAT-C-02,C,transport_battery,True,1,O01,3000
BAT-C-03,C,transport_battery,True,1,O01,3000
BAT-C-04,C,transport_battery,True,1,O01,3000
ENG-R-01,R,relay_energy,True,1,O01,1800
ENG-R-02,R,relay_energy,True,1,O01,1800
ENG-R-03,R,relay_energy,True,1,O01,1800
ENG-R-04,R,relay_energy,True,1,O01,1800
ENG-R-05,R,relay_energy,True,1,O01,1800
ENG-R-06,R,relay_energy,True,1,O01,1800
