node_id,node_name,node_type,lon_deg,lat_deg,ground_m,population,source_file,source_sheet,source_row,x_m,y_m,operation_alt_m,dem_row,dem_col,dem_nearest_m,dem_bilinear_m,dem_minus_given_m
O01,凤丹村无人机调度中心,depot,109.2308517,23.0085095,127.7,,调度中心与服务区.xlsx,数据,3,0,0,127.7,778,713,128.7255402,128.3642731,1.025540161
S001,平旺、那龙、镇龙乡,service,109.2432319,23.0335927,154,2100,调度中心与服务区.xlsx,数据,7,1269.169922,2777.817111,184,688,758,153.9613647,153.3505554,-0.03863525391
S002,上良,service,109.2585519,23.0703271,189.5,330,调度中心与服务区.xlsx,数据,8,2839.716698,6845.936207,219.5,556,813,188.7942352,189.261261,-0.7057647705
S003,六造、那旭、都长,service,109.1688578,23.0402714,308.5,275,调度中心与服务区.xlsx,数据,9,-6355.373356,3517.443919,338.5,664,490,308.5106812,309.1880798,0.01068115234
S004,大站,service,109.2381714,23.0778414,198.3,188,调度中心与服务区.xlsx,数据,10,750.3871567,7678.100808,228.3,529,739,195.1157532,196.1090088,-3.184246826
S005,上良、古律、那麓,service,109.2283003,23.0561338,165,126,调度中心与服务区.xlsx,数据,11,-261.5595983,5274.111575,195,607,704,169.0395508,169.0578156,4.039550781
S006,六昌、木路,service,109.1997836,23.007714,284.8,121,调度中心与服务区.xlsx,数据,12,-3184.980699,-88.09695382,314.8,781,601,275.1272278,277.5614624,-9.672772217
S007,佛子、那桑、银坑,service,109.1928191,23.0294186,318.5,76,调度中心与服务区.xlsx,数据,13,-3898.954134,2315.560047,348.5,703,576,314.2220459,316.4118042,-4.277954102
S008,古麻、大站,service,109.2127472,23.0795113,240.9,55,调度中心与服务区.xlsx,数据,14,-1856.00288,7863.032427,270.9,523,648,248.2891846,246.5404968,7.38918457
S009,那龙,service,109.2541424,23.0552989,200,45,调度中心与服务区.xlsx,数据,15,2387.67192,5181.651303,230,610,797,189.437088,189.9735565,-10.56291199
S010,镇龙乡,service,109.2760168,23.0194009,321.6,31,调度中心与服务区.xlsx,数据,16,4630.150275,1206.158596,351.6,739,876,321.581665,322.2761841,-0.01833496094
S011,那从,service,109.2203356,23.0319231,182.1,30,调度中心与服务区.xlsx,数据,17,-1078.069645,2592.918715,212.1,694,675,178.0428619,177.8342285,-4.057138062
S012,镇龙乡,service,109.2831357,23.054464,249.8,16,调度中心与服务区.xlsx,数据,18,5359.952198,5089.19103,279.8,613,901,253.3150787,251.1332092,3.515078735
S013,镇龙乡,service,109.2713839,23.0310882,321.7,14,调度中心与服务区.xlsx,数据,19,4155.203398,2500.458443,351.7,697,859,321.7080688,322.2543335,0.008068847656
S014,镇龙乡,service,109.2835966,23.0052097,321,12,调度中心与服务区.xlsx,数据,20,5407.201872,-365.4334736,351,790,903,320.9825134,321.3494873,-0.01748657227
S015,六造、那托、那旭,service,109.1923786,23.0494548,444.5,3,调度中心与服务区.xlsx,数据,21,-3944.11248,4534.451544,474.5,631,575,436.229248,437.0914917,-8.270751953
