service_id,total_boxes,total_mass_kg,total_volume_m3,first_boxes,hard_boxes,medical_boxes,earliest_hard_s
S001,15,154,0.394,2,3,2,3600
S002,8,81,0.211,2,2,1,3600
S003,8,81,0.211,2,2,1,7200
S004,6,59,0.156,2,2,1,7200
S005,6,59,0.156,2,2,1,10800
S006,6,59,0.156,2,2,1,3600
S007,5,45,0.129,2,2,1,3600
S008,5,45,0.129,2,2,1,7200
S009,3,25,0.067,2,2,1,10800
S010,3,25,0.067,2,2,1,3600
S011,3,25,0.067,2,2,1,10800
S012,3,25,0.067,2,2,1,3600
S013,3,25,0.067,2,2,1,3600
S014,3,25,0.067,2,2,1,3600
S015,3,25,0.067,2,2,1,7200
