service_id,operation_alt_m,gateway_alt_m,distance_3d_km,terrain_obstructed,los_min_clearance_m,path_loss_db,link_margin_db,direct_available
S001,184,147.7,3.05423933,True,-52.49681484,119.7522861,2.247713859,True
S002,219.5,147.7,7.411881591,True,-51.33815299,127.4527943,-5.452794286,False
S003,338.5,147.7,7.266332421,True,-276.4180213,127.2805301,-5.280530077,False
S004,228.3,147.7,7.715102674,True,-138.9041442,127.801059,-5.801059036,False
S005,195,147.7,5.280805206,True,-98.67631284,124.5082278,-2.508227791,False
S006,314.8,147.7,3.190577618,True,-35.9121075,120.1316111,1.86838888,True
S007,348.5,147.7,4.53916097,True,-168.2516852,123.1937365,-1.193736518,False
S008,270.9,147.7,8.080049745,True,-97.43352378,128.2025055,-6.202505525,False
S009,230,147.7,5.705897012,True,-47.68800639,125.1807034,-3.180703407,False
S010,351.6,147.7,4.789017158,True,-114.6796512,123.6591527,-1.659152695,False
S011,212.1,147.7,2.808844777,True,-47.3669659,119.0247796,2.975220369,True
S012,279.8,147.7,7.392320563,True,-154.2578451,127.4298407,-5.429840665,False
S013,351.7,147.7,4.853825677,True,-33.62719104,123.7759083,-1.77590833,False
S014,351,147.7,5.423348098,True,-217.1227968,124.7395744,-2.739574446,False
S015,474.5,147.7,6.018643726,True,-126.0871824,125.6441976,-3.644197554,False
