from_id,to_id,row,col,t_enter,t_exit,terrain_m
O01,S001,778,713,0,0.009588090834,128.7255402
O01,S001,777,713,0.009588090834,0.009735078773,130.8047485
O01,S001,777,714,0.009735078773,0.02066234682,132.3164215
O01,S001,776,714,0.02066234682,0.03173660281,133.5413055
O01,S001,775,714,0.03173660281,0.0321723397,135.1181488
O01,S001,775,715,0.0321723397,0.0428108588,140.2415924
O01,S001,774,715,0.0428108588,0.05388511478,144.3026123
O01,S001,773,715,0.05388511478,0.05460960063,145.2320862
O01,S001,773,716,0.05460960063,0.06495937077,142.6736755
O01,S001,772,716,0.06495937077,0.07603362676,141.5878448
O01,S001,771,716,0.07603362676,0.07704686157,141.0373077
O01,S001,771,717,0.07704686157,0.08710788274,137.09552
O01,S001,770,717,0.08710788274,0.09818213873,138.4673767
O01,S001,769,717,0.09818213873,0.0994841225,142.2293701
O01,S001,769,718,0.0994841225,0.1092563947,139.0387878
O01,S001,768,718,0.1092563947,0.1203306507,142.0905914
O01,S001,767,718,0.1203306507,0.1219213834,150.4017334
O01,S001,767,719,0.1219213834,0.1314049067,146.4553375
O01,S001,766,719,0.1314049067,0.1424791627,153.67836
O01,S001,765,719,0.1424791627,0.1443586444,158.9069824
O01,S001,765,720,0.1443586444,0.1535534187,156.932663
O01,S001,764,720,0.1535534187,0.1646276747,161.6325226
O01,S001,763,720,0.1646276747,0.1667959053,162.7542114
O01,S001,763,721,0.1667959053,0.1757019306,163.5756073
O01,S001,762,721,0.1757019306,0.1867761866,165.6675415
O01,S001,761,721,0.1867761866,0.1892331662,166.5437775
O01,S001,761,722,0.1892331662,0.1978504426,163.1529083
O01,S001,760,722,0.1978504426,0.2089246986,166.9786835
O01,S001,759,722,0.2089246986,0.2116704272,174.7891693
O01,S001,759,723,0.2116704272,0.2199989546,176.5019684
O01,S001,758,723,0.2199989546,0.2310732106,186.7433014
O01,S001,757,723,0.2310732106,0.2341076881,195.837738
O01,S001,757,724,0.2341076881,0.2421474666,199.0145264
O01,S001,756,724,0.2421474666,0.2532217226,205.363678
O01,S001,755,724,0.2532217226,0.256544949,199.1165161
O01,S001,755,725,0.256544949,0.2642959785,206.6109924
O01,S001,754,725,0.2642959785,0.2753702345,205.8351593
O01,S001,753,725,0.2753702345,0.2789822099,196.8179321
O01,S001,753,726,0.2789822099,0.2864444905,196.6206665
O01,S001,752,726,0.2864444905,0.2975187465,181.0129242
O01,S001,751,726,0.2975187465,0.3014194709,159.155838
O01,S001,751,727,0.3014194709,0.3085930025,157.1140289
O01,S001,750,727,0.3085930025,0.3196672585,138.3493195
O01,S001,749,727,0.3196672585,0.3238567318,140.8925476
O01,S001,749,728,0.3238567318,0.3307415145,139.7754974
O01,S001,748,728,0.3307415145,0.3418157704,155.7379303
O01,S001,747,728,0.3418157704,0.3462939927,171.0520782
O01,S001,747,729,0.3462939927,0.3528900264,168.0222473
O01,S001,746,729,0.3528900264,0.3639642824,187.8583679
O01,S001,745,729,0.3639642824,0.3687312537,198.9006348
O01,S001,745,730,0.3687312537,0.3750385384,193.0738678
O01,S001,744,730,0.3750385384,0.3861127944,182.7345886
O01,S001,743,730,0.3861127944,0.3911685146,172.3097839
O01,S001,743,731,0.3911685146,0.3971870504,160.8581696
O01,S001,742,731,0.3971870504,0.4082613064,153.7488708
O01,S001,741,731,0.4082613064,0.4136057755,160.1838226
O01,S001,741,732,0.4136057755,0.4193355624,163.2061005
O01,S001,740,732,0.4193355624,0.4304098183,164.891922
O01,S001,739,732,0.4304098183,0.4360430365,176.8428802
O01,S001,739,733,0.4360430365,0.4414840743,186.7476501
O01,S001,738,733,0.4414840743,0.4525583303,196.0955811
O01,S001,737,733,0.4525583303,0.4584802974,189.8667145
O01,S001,737,734,0.4584802974,0.4636325863,178.469986
O01,S001,736,734,0.4636325863,0.4747068423,164.6157684
O01,S001,735,734,0.4747068423,0.4809175583,148.6401978
O01,S001,735,735,0.4809175583,0.4857810983,143.9332733
O01,S001,734,735,0.4857810983,0.4968553543,148.2702789
O01,S001,733,735,0.4968553543,0.5033548193,152.0780792
O01,S001,733,736,0.5033548193,0.5079296103,159.9031067
O01,S001,732,736,0.5079296103,0.5190038662,160.8942566
O01,S001,731,736,0.5190038662,0.5257920802,165.4351044
O01,S001,731,737,0.5257920802,0.5300781222,157.2445679
O01,S001,730,737,0.5300781222,0.5411523782,164.9209595
O01,S001,729,737,0.5411523782,0.5482293411,170.7846527
O01,S001,729,738,0.5482293411,0.5522266342,182.3708191
O01,S001,728,738,0.5522266342,0.5633008902,180.5310364
O01,S001,727,738,0.5633008902,0.570666602,185.4036713
O01,S001,727,739,0.570666602,0.5743751462,200.0676422
O01,S001,726,739,0.5743751462,0.5854494022,207.7728729
O01,S001,725,739,0.5854494022,0.593103863,195.9775543
O01,S001,725,740,0.593103863,0.5965236582,196.936142
O01,S001,724,740,0.5965236582,0.6075979141,182.552536
O01,S001,723,740,0.6075979141,0.6155411239,191.4572296
O01,S001,723,741,0.6155411239,0.6186721701,211.8333282
O01,S001,722,741,0.6186721701,0.6297464261,219.9192657
O01,S001,721,741,0.6297464261,0.6379783848,223.0566101
O01,S001,721,742,0.6379783848,0.6408206821,221.7563934
O01,S001,720,742,0.6408206821,0.6518949381,209.3719635
O01,S001,719,742,0.6518949381,0.6604156458,197.9749756
O01,S001,719,743,0.6604156458,0.6629691941,197.1860809
O01,S001,718,743,0.6629691941,0.6740434501,181.2931061
O01,S001,717,743,0.6740434501,0.6828529067,177.4732819
O01,S001,717,744,0.6828529067,0.6851177061,189.4405212
O01,S001,716,744,0.6851177061,0.696191962,208.2810364
O01,S001,715,744,0.696191962,0.7052901676,212.2935333
O01,S001,715,745,0.7052901676,0.707266218,219.7545319
O01,S001,714,745,0.707266218,0.718340474,207.9157715
O01,S001,713,745,0.718340474,0.7277274286,196.9198761
O01,S001,713,746,0.7277274286,0.72941473,194.6550293
O01,S001,712,746,0.72941473,0.740488986,186.6600952
O01,S001,711,746,0.740488986,0.7501646895,182.5639954
O01,S001,711,747,0.7501646895,0.751563242,186.3681335
O01,S001,710,747,0.751563242,0.762637498,176.9164124
O01,S001,709,747,0.762637498,0.7726019504,181.5545197
O01,S001,709,748,0.7726019504,0.7737117539,195.9501648
O01,S001,708,748,0.7737117539,0.7847860099,194.3182831
O01,S001,707,748,0.7847860099,0.7950392114,184.3134766
O01,S001,707,749,0.7950392114,0.7958602659,203.2067108
O01,S001,706,749,0.7958602659,0.8069345219,194.5969086
O01,S001,705,749,0.8069345219,0.8174764723,184.7661438
O01,S001,705,750,0.8174764723,0.8180087779,195.2332001
O01,S001,704,750,0.8180087779,0.8290830339,186.4247742
O01,S001,703,750,0.8290830339,0.8399137332,192.6904602
O01,S001,703,751,0.8399137332,0.8401572899,201.8096161
O01,S001,702,751,0.8401572899,0.8512315459,194.8701935
O01,S001,701,751,0.8512315459,0.8623058018,194.1124725
O01,S001,700,751,0.8623058018,0.8623509942,180.9185944
O01,S001,700,752,0.8623509942,0.8733800578,155.0782166
O01,S001,699,752,0.8733800578,0.8844543138,146.7593384
O01,S001,698,752,0.8844543138,0.8847882551,151.4654846
O01,S001,698,753,0.8847882551,0.8955285698,150.2293091
O01,S001,697,753,0.8955285698,0.9066028258,154.8434296
