架次编号,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,往返时间（s）,架次能耗（kWh）,返航SOC（%）
Q1-001,S001,C,S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-HYG-01,76,0.17,1494.17504592,2.91758809603,63.5301487996
Q1-002,S001,C,S001-MED-01;S001-MED-02;S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-02,78,0.224,1692.17504592,2.99577580536,62.552802433
Q1-003,S002,B,S002-MED-01;S002-WAT-01;S002-FOD-01,25,0.067,1816.72408132,2.7134729412,32.1631764699
Q1-004,S002,C,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-02;S002-HYG-01,56,0.144,2041.84216605,5.72135620385,28.4830474518
Q1-005,S003,B,S003-MED-01;S003-WAT-01;S003-FOD-01,25,0.067,2080.60966509,2.78007803433,30.4980491419
Q1-006,S003,C,S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-02;S003-HYG-01,56,0.144,2370.17771116,5.76536469517,27.9329413103
Q1-007,S004,C,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,59,0.156,2301.05471881,6.15286012898,23.0892483877
Q1-008,S005,C,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,59,0.156,1877.18871553,4.22213737338,47.2232828328
Q1-009,S006,C,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,59,0.156,1561.55262448,2.59793629019,67.5257963726
Q1-010,S007,C,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,45,0.129,1907.60069833,3.41100380846,57.3624523942
Q1-011,S008,C,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,45,0.129,2199.71152467,5.83602066813,27.0497416483
Q1-012,S009,B,S009-MED-01;S009-WAT-01;S009-FOD-01,25,0.067,1558.46286442,2.09626540189,47.5933649528
Q1-013,S010,B,S010-MED-01;S010-WAT-01;S010-FOD-01,25,0.067,1555.40351971,1.82321656412,54.4195858969
Q1-014,S011,B,S011-MED-01;S011-WAT-01;S011-FOD-01,25,0.067,1188.42476283,1.07393668627,73.1515828432
Q1-015,S012,B,S012-MED-01;S012-WAT-01;S012-FOD-01,25,0.067,1922.82681425,2.75259995448,31.1850011381
Q1-016,S013,B,S013-MED-01;S013-WAT-01;S013-FOD-01,25,0.067,1510.51158878,1.82482819123,54.3792952192
Q1-017,S014,B,S014-MED-01;S014-WAT-01;S014-FOD-01,25,0.067,1869.74767529,2.14029097817,46.4927255459
Q1-018,S015,B,S015-MED-01;S015-WAT-01;S015-FOD-01,25,0.067,1828.32756016,2.30752850568,42.3117873579
