pattern_id,service_id,type_id,box_count,mass_kg,volume_m3,energy_kwh,flight_s,operation_s,return_soc,rho_max,medical_count,water_count,food_count,hygiene_count
S001-A-001,S001,A,1,6,0.035,1.17806831239,680.906962821,1190.90696282,0.73820704169,0.73820704169,0,0,0,1
S001-B-001,S001,B,1,6,0.035,0.950916164171,579.106175887,1089.10617589,0.762270958957,0.762270958957,0,0,0,1
S001-C-001,S001,C,1,6,0.035,1.95520125226,618.175045922,1164.17504592,0.755599843467,0.755599843467,0,0,0,1
S001-A-002,S001,A,1,8,0.028,1.18657983256,680.906962821,1190.90696282,0.736315592764,0.736315592764,0,0,1,0
S001-B-002,S001,B,1,8,0.028,0.961988656116,579.106175887,1089.10617589,0.759502835971,0.759502835971,0,0,1,0
S001-C-002,S001,C,1,8,0.028,1.96207009551,618.175045922,1164.17504592,0.754741238061,0.754741238061,0,0,1,0
S001-A-003,S001,A,1,14,0.027,1.21951875186,680.906962821,1190.90696282,0.72899583292,0.72899583292,0,1,0,0
S001-B-003,S001,B,1,14,0.027,1.00696628302,579.106175887,1089.10617589,0.748258429244,0.748258429244,0,1,0,0
S001-C-003,S001,C,1,14,0.027,1.98765438925,618.175045922,1164.17504592,0.751543201343,0.751543201343,0,1,0,0
S001-A-004,S001,A,1,3,0.012,1.16778899267,680.906962821,1190.90696282,0.740491334961,0.740491334961,1,0,0,0
S001-B-004,S001,B,1,3,0.012,0.937869695895,579.106175887,1089.10617589,0.765532576026,0.765532576026,1,0,0,0
S001-C-004,S001,C,1,3,0.012,1.94673117119,618.175045922,1164.17504592,0.756658603601,0.756658603601,1,0,0,0
S001-B-005,S001,B,2,12,0.07,0.989880287593,579.106175887,1149.10617589,0.752529928102,0.752529928102,0,0,0,2
S001-C-005,S001,C,2,12,0.07,1.97833655071,618.175045922,1230.17504592,0.752707931162,0.752707931162,0,0,0,2
S001-B-006,S001,B,2,14,0.063,1.00696628302,579.106175887,1149.10617589,0.748258429244,0.748258429244,0,0,1,1
S001-C-006,S001,C,2,14,0.063,1.98765438925,618.175045922,1230.17504592,0.751543201343,0.751543201343,0,0,1,1
S001-A-007,S001,A,2,16,0.056,1.23304330033,680.906962821,1250.90696282,0.725990377705,0.725990377705,0,0,2,0
S001-B-007,S001,B,2,16,0.056,1.02644505382,579.106175887,1149.10617589,0.743388736544,0.743388736544,0,0,2,0
S001-C-007,S001,C,2,16,0.056,1.99773886888,618.175045922,1230.17504592,0.750282641389,0.750282641389,0,0,2,0
S001-B-008,S001,B,2,20,0.062,1.07397225779,579.106175887,1149.10617589,0.731506935552,0.731506935552,0,1,0,1
S001-C-008,S001,C,2,20,0.062,2.02020477364,618.175045922,1230.17504592,0.747474403295,0.747474403295,0,1,0,1
S001-A-009,S001,A,2,22,0.055,1.28233841663,680.906962821,1250.90696282,0.715035907415,0.715035907415,0,1,1,0
S001-B-009,S001,B,2,22,0.055,1.10298705648,579.106175887,1149.10617589,0.724253235879,0.724253235879,0,1,1,0
S001-C-009,S001,C,2,22,0.055,2.03260432918,618.175045922,1230.17504592,0.745924458853,0.745924458853,0,1,1,0
S001-B-010,S001,B,2,28,0.054,1.22040948059,579.106175887,1149.10617589,0.694897629853,0.694897629853,0,2,0,0
S001-C-010,S001,C,2,28,0.054,2.07471059661,618.175045922,1230.17504592,0.740661175424,0.740661175424,0,2,0,0
S001-A-011,S001,A,2,9,0.047,1.19130036041,680.906962821,1250.90696282,0.735266586575,0.735266586575,1,0,0,1
S001-B-011,S001,B,2,9,0.047,0.968226946383,579.106175887,1149.10617589,0.757943263404,0.757943263404,1,0,0,1
S001-C-011,S001,C,2,9,0.047,1.96583089501,618.175045922,1230.17504592,0.754271138124,0.754271138124,1,0,0,1
S001-A-012,S001,A,2,11,0.04,1.20165798414,680.906962821,1250.90696282,0.732964892413,0.732964892413,1,0,1,0
S001-B-012,S001,B,2,11,0.04,0.982155910075,579.106175887,1149.10617589,0.754461022481,0.754461022481,1,0,1,0
S001-C-012,S001,C,2,11,0.04,1.97396885699,618.175045922,1230.17504592,0.753253892876,0.753253892876,1,0,1,0
S001-A-013,S001,A,2,17,0.039,1.24031772055,680.906962821,1250.90696282,0.724373839877,0.724373839877,1,1,0,0
S001-B-013,S001,B,2,17,0.039,1.03717923592,579.106175887,1149.10617589,0.740705191021,0.740705191021,1,1,0,0
S001-C-013,S001,C,2,17,0.039,2.00306736189,618.175045922,1230.17504592,0.749616579764,0.749616579764,1,1,0,0
S001-A-014,S001,A,2,6,0.024,1.17806831239,680.906962821,1250.90696282,0.73820704169,0.73820704169,2,0,0,0
S001-B-014,S001,B,2,6,0.024,0.950916164171,579.106175887,1149.10617589,0.762270958957,0.762270958957,2,0,0,0
S001-C-014,S001,C,2,6,0.024,1.95520125226,618.175045922,1230.17504592,0.755599843467,0.755599843467,2,0,0,0
S001-C-015,S001,C,3,20,0.098,2.02020477364,618.175045922,1296.17504592,0.747474403295,0.747474403295,0,0,1,2
S001-C-016,S001,C,3,22,0.091,2.03260432918,618.175045922,1296.17504592,0.745924458853,0.745924458853,0,0,2,1
S001-C-017,S001,C,3,24,0.084,2.04580457237,618.175045922,1296.17504592,0.744274428453,0.744274428453,0,0,3,0
S001-C-018,S001,C,3,26,0.097,2.05982999293,618.175045922,1296.17504592,0.742521250884,0.742521250884,0,1,0,2
S001-C-019,S001,C,3,28,0.09,2.07471059661,618.175045922,1296.17504592,0.740661175424,0.740661175424,0,1,1,1
S001-C-020,S001,C,3,30,0.083,2.09048187843,618.175045922,1296.17504592,0.738689765196,0.738689765196,0,1,2,0
S001-C-021,S001,C,3,34,0.089,2.1248667616,618.175045922,1296.17504592,0.7343916548,0.7343916548,0,2,0,1
S001-C-022,S001,C,3,36,0.082,2.14358052749,618.175045922,1296.17504592,0.732052434063,0.732052434063,0,2,1,0
S001-C-023,S001,C,3,42,0.081,2.20655004556,618.175045922,1296.17504592,0.724181244305,0.724181244305,0,3,0,0
S001-C-024,S001,C,3,15,0.082,1.99260119525,618.175045922,1296.17504592,0.750924850594,0.750924850594,1,0,0,2
S001-C-025,S001,C,3,17,0.075,2.00306736189,618.175045922,1296.17504592,0.749616579764,0.749616579764,1,0,1,1
S001-B-026,S001,B,3,19,0.068,1.06088318915,579.106175887,1209.10617589,0.734779202711,0.734779202711,1,0,2,0
S001-C-026,S001,C,3,19,0.068,2.01429915648,618.175045922,1296.17504592,0.74821260544,0.74821260544,1,0,2,0
S001-C-027,S001,C,3,23,0.074,2.03910296496,618.175045922,1296.17504592,0.745112129381,0.745112129381,1,1,0,1
S001-B-028,S001,B,3,25,0.067,1.1550228524,579.106175887,1209.10617589,0.7112442869,0.7112442869,1,1,1,0
S001-C-028,S001,C,3,25,0.067,2.0527123883,618.175045922,1296.17504592,0.743410951463,0.743410951463,1,1,1,0
S001-C-029,S001,C,3,31,0.066,2.09871414408,618.175045922,1296.17504592,0.73766073199,0.73766073199,1,2,0,0
S001-A-030,S001,A,3,12,0.059,1.20729751631,680.906962821,1310.90696282,0.731711663042,0.731711663042,2,0,0,1
S001-B-030,S001,B,3,12,0.059,0.989880287593,579.106175887,1209.10617589,0.752529928102,0.752529928102,2,0,0,1
S001-C-030,S001,C,3,12,0.059,1.97833655071,618.175045922,1296.17504592,0.752707931162,0.752707931162,2,0,0,1
S001-A-031,S001,A,3,14,0.052,1.21951875186,680.906962821,1310.90696282,0.72899583292,0.72899583292,2,0,1,0
S001-B-031,S001,B,3,14,0.052,1.00696628302,579.106175887,1209.10617589,0.748258429244,0.748258429244,2,0,1,0
S001-C-031,S001,C,3,14,0.052,1.98765438925,618.175045922,1296.17504592,0.751543201343,0.751543201343,2,0,1,0
S001-A-032,S001,A,3,20,0.051,1.26433817251,680.906962821,1310.90696282,0.719035961664,0.719035961664,2,1,0,0
S001-B-032,S001,B,3,20,0.051,1.07397225779,579.106175887,1209.10617589,0.731506935552,0.731506935552,2,1,0,0
S001-C-032,S001,C,3,20,0.051,2.02020477364,618.175045922,1296.17504592,0.747474403295,0.747474403295,2,1,0,0
S001-C-033,S001,C,4,28,0.126,2.07471059661,618.175045922,1362.17504592,0.740661175424,0.740661175424,0,0,2,2
S001-C-034,S001,C,4,30,0.119,2.09048187843,618.175045922,1362.17504592,0.738689765196,0.738689765196,0,0,3,1
S001-C-035,S001,C,4,34,0.125,2.1248667616,618.175045922,1362.17504592,0.7343916548,0.7343916548,0,1,1,2
S001-C-036,S001,C,4,36,0.118,2.14358052749,618.175045922,1362.17504592,0.732052434063,0.732052434063,0,1,2,1
S001-C-037,S001,C,4,38,0.111,2.16338615706,618.175045922,1362.17504592,0.729576730367,0.729576730367,0,1,3,0
S001-C-038,S001,C,4,40,0.124,2.18435089249,618.175045922,1362.17504592,0.726956138438,0.726956138438,0,2,0,2
S001-C-039,S001,C,4,42,0.117,2.20655004556,618.175045922,1362.17504592,0.724181244305,0.724181244305,0,2,1,1
S001-C-040,S001,C,4,44,0.11,2.23006788809,618.175045922,1362.17504592,0.721241513989,0.721241513989,0,2,2,0
S001-C-041,S001,C,4,48,0.116,2.28144808191,618.175045922,1362.17504592,0.714818989761,0.714818989761,0,3,0,1
S001-C-042,S001,C,4,50,0.109,2.30953432758,618.175045922,1362.17504592,0.711308209052,0.711308209052,0,3,1,0
S001-C-043,S001,C,4,56,0.108,2.40502836213,618.175045922,1362.17504592,0.699371454733,0.699371454733,0,4,0,0
S001-C-044,S001,C,4,23,0.11,2.03910296496,618.175045922,1362.17504592,0.745112129381,0.745112129381,1,0,1,2
S001-C-045,S001,C,4,25,0.103,2.0527123883,618.175045922,1362.17504592,0.743410951463,0.743410951463,1,0,2,1
S001-C-046,S001,C,4,27,0.096,2.06716130786,618.175045922,1362.17504592,0.741604836518,0.741604836518,1,0,3,0
S001-C-047,S001,C,4,29,0.109,2.08248246747,618.175045922,1362.17504592,0.739689691566,0.739689691566,1,1,0,2
S001-C-048,S001,C,4,31,0.102,2.09871414408,618.175045922,1362.17504592,0.73766073199,0.73766073199,1,1,1,1
S001-C-049,S001,C,4,33,0.095,2.11590033541,618.175045922,1362.17504592,0.735512458074,0.735512458074,1,1,2,0
S001-C-050,S001,C,4,37,0.101,2.15334283643,618.175045922,1362.17504592,0.730832145446,0.730832145446,1,2,0,1
S001-C-051,S001,C,4,39,0.094,2.17371912836,618.175045922,1362.17504592,0.728285108955,0.728285108955,1,2,1,0
S001-C-052,S001,C,4,45,0.093,2.2423503597,618.175045922,1362.17504592,0.719706205038,0.719706205038,1,3,0,0
S001-C-053,S001,C,4,18,0.094,2.00858714418,618.175045922,1362.17504592,0.748926606978,0.748926606978,2,0,0,2
