scenario,box_id,flight_id,service_id,type_id
E_N_T,S001-WAT-01,Q1-001,S001,C
E_N_T,S001-WAT-02,Q1-001,S001,C
E_N_T,S001-WAT-03,Q1-001,S001,C
E_N_T,S001-WAT-04,Q1-001,S001,C
E_N_T,S001-WAT-05,Q1-001,S001,C
E_N_T,S001-HYG-01,Q1-001,S001,C
E_N_T,S001-MED-01,Q1-002,S001,C
E_N_T,S001-MED-02,Q1-002,S001,C
E_N_T,S001-WAT-06,Q1-002,S001,C
E_N_T,S001-WAT-07,Q1-002,S001,C
E_N_T,S001-WAT-08,Q1-002,S001,C
E_N_T,S001-FOD-01,Q1-002,S001,C
E_N_T,S001-FOD-02,Q1-002,S001,C
E_N_T,S001-FOD-03,Q1-002,S001,C
E_N_T,S001-HYG-02,Q1-002,S001,C
E_N_T,S002-MED-01,Q1-003,S002,B
E_N_T,S002-WAT-01,Q1-003,S002,B
E_N_T,S002-FOD-01,Q1-003,S002,B
E_N_T,S002-WAT-02,Q1-004,S002,C
E_N_T,S002-WAT-03,Q1-004,S002,C
E_N_T,S002-WAT-04,Q1-004,S002,C
E_N_T,S002-FOD-02,Q1-004,S002,C
E_N_T,S002-HYG-01,Q1-004,S002,C
E_N_T,S003-MED-01,Q1-005,S003,B
E_N_T,S003-WAT-01,Q1-005,S003,B
E_N_T,S003-FOD-01,Q1-005,S003,B
E_N_T,S003-WAT-02,Q1-006,S003,C
E_N_T,S003-WAT-03,Q1-006,S003,C
E_N_T,S003-WAT-04,Q1-006,S003,C
E_N_T,S003-FOD-02,Q1-006,S003,C
E_N_T,S003-HYG-01,Q1-006,S003,C
E_N_T,S004-MED-01,Q1-007,S004,C
E_N_T,S004-WAT-01,Q1-007,S004,C
E_N_T,S004-WAT-02,Q1-007,S004,C
E_N_T,S004-WAT-03,Q1-007,S004,C
E_N_T,S004-FOD-01,Q1-007,S004,C
E_N_T,S004-HYG-01,Q1-007,S004,C
E_N_T,S005-MED-01,Q1-008,S005,C
E_N_T,S005-WAT-01,Q1-008,S005,C
E_N_T,S005-WAT-02,Q1-008,S005,C
E_N_T,S005-WAT-03,Q1-008,S005,C
E_N_T,S005-FOD-01,Q1-008,S005,C
E_N_T,S005-HYG-01,Q1-008,S005,C
E_N_T,S006-MED-01,Q1-009,S006,C
E_N_T,S006-WAT-01,Q1-009,S006,C
E_N_T,S006-WAT-02,Q1-009,S006,C
E_N_T,S006-WAT-03,Q1-009,S006,C
E_N_T,S006-FOD-01,Q1-009,S006,C
E_N_T,S006-HYG-01,Q1-009,S006,C
E_N_T,S007-MED-01,Q1-010,S007,C
E_N_T,S007-WAT-01,Q1-010,S007,C
E_N_T,S007-WAT-02,Q1-010,S007,C
E_N_T,S007-FOD-01,Q1-010,S007,C
E_N_T,S007-HYG-01,Q1-010,S007,C
E_N_T,S008-WAT-01,Q1-011,S008,B
E_N_T,S008-HYG-01,Q1-011,S008,B
E_N_T,S008-MED-01,Q1-012,S008,B
E_N_T,S008-WAT-02,Q1-012,S008,B
E_N_T,S008-FOD-01,Q1-012,S008,B
E_N_T,S009-MED-01,Q1-013,S009,B
E_N_T,S009-WAT-01,Q1-013,S009,B
E_N_T,S009-FOD-01,Q1-013,S009,B
E_N_T,S010-MED-01,Q1-014,S010,B
E_N_T,S010-WAT-01,Q1-014,S010,B
E_N_T,S010-FOD-01,Q1-014,S010,B
E_N_T,S011-MED-01,Q1-015,S011,B
E_N_T,S011-WAT-01,Q1-015,S011,B
E_N_T,S011-FOD-01,Q1-015,S011,B
E_N_T,S012-MED-01,Q1-016,S012,B
E_N_T,S012-WAT-01,Q1-016,S012,B
E_N_T,S012-FOD-01,Q1-016,S012,B
E_N_T,S013-MED-01,Q1-017,S013,B
E_N_T,S013-WAT-01,Q1-017,S013,B
E_N_T,S013-FOD-01,Q1-017,S013,B
E_N_T,S014-MED-01,Q1-018,S014,B
E_N_T,S014-WAT-01,Q1-018,S014,B
E_N_T,S014-FOD-01,Q1-018,S014,B
E_N_T,S015-MED-01,Q1-019,S015,B
E_N_T,S015-WAT-01,Q1-019,S015,B
E_N_T,S015-FOD-01,Q1-019,S015,B
