service_id,trips,energy_kwh,operation_s,mass_kg,volume_m3,box_count,min_return_soc,types
S001,2,5.91336390139,3186.35009184,154,0.394,15,0.62552802433,"C,C"
S002,2,8.43482914506,3858.56624737,81,0.211,8,0.284830474518,"B,C"
S003,2,8.5454427295,4450.78737625,81,0.211,8,0.279329413103,"B,C"
S004,1,6.15286012898,2301.05471881,59,0.156,6,0.230892483877,C
S005,1,4.22213737338,1877.18871553,59,0.156,6,0.472232828328,C
S006,1,2.59793629019,1561.55262448,59,0.156,6,0.675257963726,C
S007,1,3.41100380846,1907.60069833,45,0.129,5,0.573624523942,C
S008,1,5.83602066813,2199.71152467,45,0.129,5,0.270497416483,C
S009,1,2.09626540189,1558.46286442,25,0.067,3,0.475933649528,B
S010,1,1.82321656412,1555.40351971,25,0.067,3,0.544195858969,B
S011,1,1.07393668627,1188.42476283,25,0.067,3,0.731515828432,B
S012,1,2.75259995448,1922.82681425,25,0.067,3,0.311850011381,B
S013,1,1.82482819123,1510.51158878,25,0.067,3,0.543792952192,B
S014,1,2.14029097817,1869.74767529,25,0.067,3,0.464927255459,B
S015,1,2.30752850568,1828.32756016,25,0.067,3,0.423117873579,B
