service_id,dp_trips,milp_min_trips,dp_energy_kwh,milp_energy_at_min_trips,energy_difference,dp_operation_s,milp_min_operation_s,dp_unrestricted_energy,milp_unrestricted_energy,milp_gap,status
S001,2,2,5.9133639013899995,5.913363901390598,-5.986322548778844e-13,3186.35009184,3186.3500918446666,5.9133639013899995,5.913363901390598,0.0,optimal
S002,2,2,8.43482914505,8.434829145057144,-7.144507208067807e-12,3858.5662473700004,3858.5662473716666,8.43482914505,8.434829145057147,0.0,optimal
S003,2,2,8.5454427295,8.545442729498475,1.5241141682054149e-12,4450.78737625,4450.787376253333,8.5454427295,8.54544272949848,0.0,optimal
S004,1,1,6.15286012898,6.152860128982909,-2.9096725029376103e-12,2301.05471881,2301.0547188066666,6.15286012898,6.152860128982909,0.0,optimal
S005,1,1,4.22213737338,4.222137373376627,3.3724134596013755e-12,1877.18871553,1877.1887155266668,4.22213737338,4.222137373376627,0.0,optimal
S006,1,1,2.59793629019,2.5979362901898284,1.7141843500212417e-13,1561.55262448,1561.552624484,2.59793629019,2.5979362901898284,0.0,optimal
S007,1,1,3.41100380846,3.411003808464938,-4.938272013532696e-12,1907.60069833,1907.6006983333334,3.41100380846,3.411003808464938,0.0,optimal
S008,1,1,5.83602066813,5.836020668132865,-2.865263581952604e-12,2199.71152467,2199.7115246733333,5.73863807995,5.738638079948685,0.0,optimal
S009,1,1,2.09626540189,2.096265401887482,2.518429909059705e-12,1558.46286442,1558.4628644166667,2.09626540189,2.096265401887482,0.0,optimal
S010,1,1,1.82321656412,1.8232165641222495,-2.249533892495492e-12,1555.40351971,1555.4035197093335,1.82321656412,1.8232165641222495,0.0,optimal
S011,1,1,1.07393668627,1.0739366862727302,-2.730260462158185e-12,1188.42476283,1188.4247628313333,1.07393668627,1.0739366862727302,0.0,optimal
S012,1,1,2.75259995448,2.7525999544776885,2.311484337269576e-12,1922.82681425,1922.8268142533334,2.75259995448,2.7525999544776885,0.0,optimal
S013,1,1,1.82482819123,1.8248281912303586,-3.5860203695392556e-13,1510.51158878,1510.511588782,1.82482819123,1.8248281912303586,0.0,optimal
S014,1,1,2.14029097817,2.140290978165206,4.793943020331426e-12,1869.74767529,1869.7476752933333,2.14029097817,2.140290978165206,0.0,optimal
S015,1,1,2.30752850568,2.307528505683882,-3.881783783299397e-12,1828.32756016,1828.3275601646667,2.30752850568,2.307528505683882,0.0,optimal
