reserve_fraction,feasible,trips,energy_kwh,operation_s,operation_h,unserved_services,A_trips,B_trips,C_trips
0,True,18,59.1322603269,32776.5167827,9.10458799521,,0,9,9
0.1,True,18,59.1322603269,32776.5167827,9.10458799521,,0,9,9
0.15,True,18,59.1322603269,32776.5167827,9.10458799521,,0,9,9
0.2,True,18,59.1322603269,32776.5167827,9.10458799521,,0,9,9
0.225,True,18,59.1322603269,32776.5167827,9.10458799521,,0,9,9
0.25,True,19,61.0743111585,34566.1584461,9.60171067948,,0,10,9
0.275,True,20,63.291051674,36336.0001934,10.093333387,,0,11,9
0.3,True,20,67.2287315246,36586.6863241,10.1629684234,,0,9,11
0.325,True,20,74.2946435718,36919.8194886,10.2555054135,,0,6,14
0.35,True,25,75.6089291502,45384.2076979,12.6067243605,,0,15,10
0.375,False,,,,,S008,,,
0.4,False,,,,,S004;S008,,,
0.45,False,,,,,S002;S003;S004;S008;S012,,,
0.5,False,,,,,S002;S003;S004;S008;S012,,,
