scenario,flight_id,service_id,type_id,pattern_id,box_ids,box_count,mass_kg,volume_m3,flight_s,prepare_s,loading_s,handover_s,operation_s,energy_kwh,return_soc,reserve_fraction,max_safe_payload_kg,rated_mass_utilization,safe_mass_utilization,volume_utilization,energy_budget_utilization,out_horizontal_kwh,out_climb_kwh,back_horizontal_kwh,back_climb_kwh,medical_count,water_count,food_count,hygiene_count
rho_0.000,Q1-001,S001,C,S001-C-100,S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05;S001-HYG-01,6,76,0.17,618.175045922,300,180,396,1494.17504592,2.91758809603,0.635301487996,0,80,0.95,0.95,0.68,0.364698512004,1.87409925967,0.0802371984274,0.939699571692,0.0235520662372,0,5,0,1
rho_0.000,Q1-002,S001,C,S001-C-223,S001-MED-01;S001-MED-02;S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-02,9,78,0.224,618.175045922,300,270,504,1692.17504592,2.99577580536,0.62552802433,0,80,0.975,0.975,0.896,0.37447197567,1.95118707595,0.0813370914833,0.939699571692,0.0235520662372,2,3,3,1
rho_0.000,Q1-003,S002,B,S002-B-022,S002-MED-01;S002-WAT-01;S002-FOD-01,3,25,0.067,1186.72408132,300,90,240,1816.72408132,2.7134729412,0.321631764699,0,30,0.833333333333,0.833333333333,0.917808219178,0.678368235301,1.57096489659,0.0617186469427,1.05879054486,0.0219988528144,1,1,1,0
rho_0.000,Q1-004,S002,C,S002-C-037,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-02;S002-HYG-01,5,56,0.144,1231.84216605,300,150,360,2041.84216605,5.72135620385,0.284830474518,0,80,0.7,0.7,0.576,0.715169525482,3.33088950377,0.0863375294454,2.28047194277,0.0236572278727,0,3,1,1
rho_0.000,Q1-005,S003,B,S003-B-022,S003-MED-01;S003-WAT-01;S003-FOD-01,3,25,0.067,1450.60966509,300,90,240,2080.60966509,2.78007803433,0.304980491419,0,30,0.833333333333,0.833333333333,0.917808219178,0.695019508581,1.53965663087,0.147816227322,1.03768956686,0.0549156092774,1,1,1,0
rho_0.000,Q1-006,S003,C,S003-C-037,S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-02;S003-HYG-01,5,56,0.144,1560.17771116,300,150,360,2370.17771116,5.76536469517,0.279329413103,0,80,0.7,0.7,0.576,0.720670586897,3.26450713335,0.206778477998,2.23502368246,0.0590554013614,0,3,1,1
rho_0.000,Q1-007,S004,C,S004-C-031,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,6,59,0.156,1425.05471881,300,180,396,2301.05471881,6.15286012898,0.230892483877,0,80,0.7375,0.7375,0.624,0.769107516123,3.60223187268,0.131937649602,2.37374819877,0.0449424079364,1,3,1,1
rho_0.000,Q1-008,S005,C,S005-C-031,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,6,59,0.156,1001.18871553,300,180,396,1877.18871553,4.22213737338,0.472232828328,0,80,0.7375,0.7375,0.624,0.527767171672,2.46567812041,0.0969081407472,1.62479795969,0.03475315253,1,3,1,1
rho_0.000,Q1-009,S006,C,S006-C-031,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,6,59,0.156,685.552624484,300,180,396,1561.55262448,2.59793629019,0.675257963726,0,80,0.7375,0.7375,0.624,0.324742036274,1.48773826115,0.116262835547,0.980368877538,0.0135663159528,1,3,1,1
rho_0.000,Q1-010,S007,C,S007-C-023,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,5,45,0.129,1097.60069833,300,150,360,1907.60069833,3.41100380846,0.573624523942,0,80,0.5625,0.5625,0.516,0.426375476058,1.80542402488,0.167049729121,1.39529765385,0.0432324006141,1,2,1,1
rho_0.000,Q1-011,S008,C,S008-C-023,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,5,45,0.129,1389.71152467,300,150,360,2199.71152467,5.83602066813,0.270497416483,0,79.6774477066,0.5625,0.56477712697,0.516,0.729502583517,3.21656652402,0.10659644025,2.48588013815,0.0269775657099,1,2,1,1
