reserve_fraction,service_id,trips,types,masses_kg,energy_kwh,operation_s,patterns
0,S001,2,"C,C",76;78,5.91336390139,3186.35009184,S001-C-100;S001-C-223
0,S002,2,"B,C",25;56,8.43482914506,3858.56624737,S002-B-022;S002-C-037
0,S003,2,"B,C",25;56,8.5454427295,4450.78737625,S003-B-022;S003-C-037
0,S004,1,C,59,6.15286012898,2301.05471881,S004-C-031
0,S005,1,C,59,4.22213737338,1877.18871553,S005-C-031
0,S006,1,C,59,2.59793629019,1561.55262448,S006-C-031
0,S007,1,C,45,3.41100380846,1907.60069833,S007-C-023
0,S008,1,C,45,5.83602066813,2199.71152467,S008-C-023
0,S009,1,B,25,2.09626540189,1558.46286442,S009-B-007
0,S010,1,B,25,1.82321656412,1555.40351971,S010-B-007
0,S011,1,B,25,1.07393668627,1188.42476283,S011-B-007
0,S012,1,B,25,2.75259995448,1922.82681425,S012-B-007
0,S013,1,B,25,1.82482819123,1510.51158878,S013-B-007
0,S014,1,B,25,2.14029097817,1869.74767529,S014-B-007
0,S015,1,B,25,2.30752850568,1828.32756016,S015-B-007
0.1,S001,2,"C,C",76;78,5.91336390139,3186.35009184,S001-C-100;S001-C-223
0.1,S002,2,"B,C",25;56,8.43482914506,3858.56624737,S002-B-022;S002-C-037
0.1,S003,2,"B,C",25;56,8.5454427295,4450.78737625,S003-B-022;S003-C-037
0.1,S004,1,C,59,6.15286012898,2301.05471881,S004-C-031
0.1,S005,1,C,59,4.22213737338,1877.18871553,S005-C-031
0.1,S006,1,C,59,2.59793629019,1561.55262448,S006-C-031
0.1,S007,1,C,45,3.41100380846,1907.60069833,S007-C-023
0.1,S008,1,C,45,5.83602066813,2199.71152467,S008-C-023
0.1,S009,1,B,25,2.09626540189,1558.46286442,S009-B-007
0.1,S010,1,B,25,1.82321656412,1555.40351971,S010-B-007
0.1,S011,1,B,25,1.07393668627,1188.42476283,S011-B-007
0.1,S012,1,B,25,2.75259995448,1922.82681425,S012-B-007
0.1,S013,1,B,25,1.82482819123,1510.51158878,S013-B-007
0.1,S014,1,B,25,2.14029097817,1869.74767529,S014-B-007
0.1,S015,1,B,25,2.30752850568,1828.32756016,S015-B-007
0.15,S001,2,"C,C",76;78,5.91336390139,3186.35009184,S001-C-100;S001-C-223
0.15,S002,2,"B,C",25;56,8.43482914506,3858.56624737,S002-B-022;S002-C-037
0.15,S003,2,"B,C",25;56,8.5454427295,4450.78737625,S003-B-022;S003-C-037
0.15,S004,1,C,59,6.15286012898,2301.05471881,S004-C-031
0.15,S005,1,C,59,4.22213737338,1877.18871553,S005-C-031
0.15,S006,1,C,59,2.59793629019,1561.55262448,S006-C-031
0.15,S007,1,C,45,3.41100380846,1907.60069833,S007-C-023
0.15,S008,1,C,45,5.83602066813,2199.71152467,S008-C-023
0.15,S009,1,B,25,2.09626540189,1558.46286442,S009-B-007
0.15,S010,1,B,25,1.82321656412,1555.40351971,S010-B-007
0.15,S011,1,B,25,1.07393668627,1188.42476283,S011-B-007
0.15,S012,1,B,25,2.75259995448,1922.82681425,S012-B-007
0.15,S013,1,B,25,1.82482819123,1510.51158878,S013-B-007
0.15,S014,1,B,25,2.14029097817,1869.74767529,S014-B-007
0.15,S015,1,B,25,2.30752850568,1828.32756016,S015-B-007
0.2,S001,2,"C,C",76;78,5.91336390139,3186.35009184,S001-C-100;S001-C-223
0.2,S002,2,"B,C",25;56,8.43482914506,3858.56624737,S002-B-022;S002-C-037
0.2,S003,2,"B,C",25;56,8.5454427295,4450.78737625,S003-B-022;S003-C-037
0.2,S004,1,C,59,6.15286012898,2301.05471881,S004-C-031
0.2,S005,1,C,59,4.22213737338,1877.18871553,S005-C-031
0.2,S006,1,C,59,2.59793629019,1561.55262448,S006-C-031
0.2,S007,1,C,45,3.41100380846,1907.60069833,S007-C-023
0.2,S008,1,C,45,5.83602066813,2199.71152467,S008-C-023
0.2,S009,1,B,25,2.09626540189,1558.46286442,S009-B-007
0.2,S010,1,B,25,1.82321656412,1555.40351971,S010-B-007
0.2,S011,1,B,25,1.07393668627,1188.42476283,S011-B-007
0.2,S012,1,B,25,2.75259995448,1922.82681425,S012-B-007
0.2,S013,1,B,25,1.82482819123,1510.51158878,S013-B-007
0.2,S014,1,B,25,2.14029097817,1869.74767529,S014-B-007
0.2,S015,1,B,25,2.30752850568,1828.32756016,S015-B-007
0.225,S001,2,"C,C",76;78,5.91336390139,3186.35009184,S001-C-100;S001-C-223
0.225,S002,2,"B,C",25;56,8.43482914506,3858.56624737,S002-B-022;S002-C-037
0.225,S003,2,"B,C",25;56,8.5454427295,4450.78737625,S003-B-022;S003-C-037
0.225,S004,1,C,59,6.15286012898,2301.05471881,S004-C-031
0.225,S005,1,C,59,4.22213737338,1877.18871553,S005-C-031
0.225,S006,1,C,59,2.59793629019,1561.55262448,S006-C-031
0.225,S007,1,C,45,3.41100380846,1907.60069833,S007-C-023
0.225,S008,1,C,45,5.83602066813,2199.71152467,S008-C-023
0.225,S009,1,B,25,2.09626540189,1558.46286442,S009-B-007
0.225,S010,1,B,25,1.82321656412,1555.40351971,S010-B-007
0.225,S011,1,B,25,1.07393668627,1188.42476283,S011-B-007
0.225,S012,1,B,25,2.75259995448,1922.82681425,S012-B-007
0.225,S013,1,B,25,1.82482819123,1510.51158878,S013-B-007
0.225,S014,1,B,25,2.14029097817,1869.74767529,S014-B-007
0.225,S015,1,B,25,2.30752850568,1828.32756016,S015-B-007
0.25,S001,2,"C,C",76;78,5.91336390139,3186.35009184,S001-C-100;S001-C-223
0.25,S002,2,"B,C",25;56,8.43482914506,3858.56624737,S002-B-022;S002-C-037
0.25,S003,2,"B,C",25;56,8.5454427295,4450.78737625,S003-B-022;S003-C-037
0.25,S004,2,"B,C",17;42,8.09491096052,4090.69638218,S004-B-011;S004-C-020
0.25,S005,1,C,59,4.22213737338,1877.18871553,S005-C-031
0.25,S006,1,C,59,2.59793629019,1561.55262448,S006-C-031
0.25,S007,1,C,45,3.41100380846,1907.60069833,S007-C-023
0.25,S008,1,C,45,5.83602066813,2199.71152467,S008-C-023
0.25,S009,1,B,25,2.09626540189,1558.46286442,S009-B-007
0.25,S010,1,B,25,1.82321656412,1555.40351971,S010-B-007
0.25,S011,1,B,25,1.07393668627,1188.42476283,S011-B-007
0.25,S012,1,B,25,2.75259995448,1922.82681425,S012-B-007
0.25,S013,1,B,25,1.82482819123,1510.51158878,S013-B-007
0.25,S014,1,B,25,2.14029097817,1869.74767529,S014-B-007
0.25,S015,1,B,25,2.30752850568,1828.32756016,S015-B-007
0.275,S001,2,"C,C",76;78,5.91336390139,3186.35009184,S001-C-100;S001-C-223
0.275,S002,2,"B,C",25;56,8.43482914506,3858.56624737,S002-B-022;S002-C-037
0.275,S003,2,"B,C",25;56,8.5454427295,4450.78737625,S003-B-022;S003-C-037
0.275,S004,2,"B,C",17;42,8.09491096052,4090.69638218,S004-B-011;S004-C-020
0.275,S005,1,C,59,4.22213737338,1877.18871553,S005-C-031
0.275,S006,1,C,59,2.59793629019,1561.55262448,S006-C-031
0.275,S007,1,C,45,3.41100380846,1907.60069833,S007-C-023
0.275,S008,2,"B,C",14;31,8.05276118366,3969.55327191,S008-B-005;S008-C-018
0.275,S009,1,B,25,2.09626540189,1558.46286442,S009-B-007
0.275,S010,1,B,25,1.82321656412,1555.40351971,S010-B-007
0.275,S011,1,B,25,1.07393668627,1188.42476283,S011-B-007
0.275,S012,1,B,25,2.75259995448,1922.82681425,S012-B-007
0.275,S013,1,B,25,1.82482819123,1510.51158878,S013-B-007
0.275,S014,1,B,25,2.14029097817,1869.74767529,S014-B-007
0.275,S015,1,B,25,2.30752850568,1828.32756016,S015-B-007
0.3,S001,2,"C,C",76;78,5.91336390139,3186.35009184,S001-C-100;S001-C-223
0.3,S002,2,"C,C",42;39,10.41981429,3951.6843321,S002-C-018;S002-C-041
0.3,S003,2,"C,C",42;39,10.4981374352,4608.35542232,S003-C-018;S003-C-041
0.3,S004,2,"B,C",17;42,8.09491096052,4090.69638218,S004-B-011;S004-C-020
0.3,S005,1,C,59,4.22213737338,1877.18871553,S005-C-031
0.3,S006,1,C,59,2.59793629019,1561.55262448,S006-C-031
0.3,S007,1,C,45,3.41100380846,1907.60069833,S007-C-023
0.3,S008,2,"B,C",14;31,8.05276118366,3969.55327191,S008-B-005;S008-C-018
0.3,S009,1,B,25,2.09626540189,1558.46286442,S009-B-007
0.3,S010,1,B,25,1.82321656412,1555.40351971,S010-B-007
0.3,S011,1,B,25,1.07393668627,1188.42476283,S011-B-007
0.3,S012,1,B,25,2.75259995448,1922.82681425,S012-B-007
0.3,S013,1,B,25,1.82482819123,1510.51158878,S013-B-007
0.3,S014,1,B,25,2.14029097817,1869.74767529,S014-B-007
0.3,S015,1,B,25,2.30752850568,1828.32756016,S015-B-007
0.325,S001,2,"C,C",76;78,5.91336390139,3186.35009184,S001-C-100;S001-C-223
0.325,S002,2,"C,C",42;39,10.41981429,3951.6843321,S002-C-018;S002-C-041
0.325,S003,2,"C,C",42;39,10.4981374352,4608.35542232,S003-C-018;S003-C-041
0.325,S004,2,"C,C",28;31,10.4405763469,4206.10943761,S004-C-008;S004-C-023
0.325,S005,1,C,59,4.22213737338,1877.18871553,S005-C-031
0.325,S006,1,C,59,2.59793629019,1561.55262448,S006-C-031
0.325,S007,1,C,45,3.41100380846,1907.60069833,S007-C-023
0.325,S008,2,"C,C",22;23,10.6032283186,4069.42304935,S008-C-007;S008-C-016
0.325,S009,1,B,25,2.09626540189,1558.46286442,S009-B-007
0.325,S010,1,B,25,1.82321656412,1555.40351971,S010-B-007
0.325,S011,1,B,25,1.07393668627,1188.42476283,S011-B-007
0.325,S012,1,C,25,4.92237948039,2040.67714589,S012-C-007
0.325,S013,1,B,25,1.82482819123,1510.51158878,S013-B-007
0.325,S014,1,B,25,2.14029097817,1869.74767529,S014-B-007
0.325,S015,1,B,25,2.30752850568,1828.32756016,S015-B-007
0.35,S001,2,"C,C",76;78,5.91336390139,3186.35009184,S001-C-100;S001-C-223
0.35,S002,3,"B,B,C",20;22;39,10.2802046059,5489.2903287,S002-B-007;S002-B-008;S002-C-034
0.35,S003,3,"B,C,C",14;34;33,12.5859134402,6502.96508741,S003-B-003;S003-C-016;S003-C-032
0.35,S004,3,"B,B,C",14;17;28,10.2682456185,5880.33804555,S004-B-005;S004-B-011;S004-C-008
0.35,S005,1,C,59,4.22213737338,1877.18871553,S005-C-031
