box_id,service_id,material,max_reserve,best_type
S001-MED-01,S001,医疗物资,0.7655325760263336,B
S001-MED-02,S001,医疗物资,0.7655325760263336,B
S001-WAT-01,S001,饮用水,0.7515432013432506,C
S001-WAT-02,S001,饮用水,0.7515432013432506,C
S001-WAT-03,S001,饮用水,0.7515432013432506,C
S001-WAT-04,S001,饮用水,0.7515432013432506,C
S001-WAT-05,S001,饮用水,0.7515432013432506,C
S001-WAT-06,S001,饮用水,0.7515432013432506,C
S001-WAT-07,S001,饮用水,0.7515432013432506,C
S001-WAT-08,S001,饮用水,0.7515432013432506,C
S001-FOD-01,S001,应急食品,0.7595028359710188,B
S001-FOD-02,S001,应急食品,0.7595028359710188,B
S001-FOD-03,S001,应急食品,0.7595028359710188,B
S001-HYG-01,S001,生活卫生用品,0.7622709589571693,B
S001-HYG-02,S001,生活卫生用品,0.7622709589571693,B
S002-MED-01,S002,医疗物资,0.44981041574409986,B
S002-WAT-01,S002,饮用水,0.40967369560080547,B
S002-WAT-02,S002,饮用水,0.40967369560080547,B
S002-WAT-03,S002,饮用水,0.40967369560080547,B
S002-WAT-04,S002,饮用水,0.40967369560080547,B
S002-FOD-01,S002,应急食品,0.4359884506483953,B
S002-FOD-02,S002,应急食品,0.4359884506483953,B
S002-HYG-01,S002,生活卫生用品,0.44238173170315664,B
S003-MED-01,S003,医疗物资,0.43594131494517663,B
S003-WAT-01,S003,饮用水,0.4051725605620211,C
S003-WAT-02,S003,饮用水,0.4051725605620211,C
S003-WAT-03,S003,饮用水,0.4051725605620211,C
S003-WAT-04,S003,饮用水,0.4051725605620211,C
S003-FOD-01,S003,应急食品,0.42118192903555884,B
S003-FOD-02,S003,应急食品,0.42118192903555884,B
S003-HYG-01,S003,生活卫生用品,0.42793294961608896,B
S004-MED-01,S004,医疗物资,0.4173173272245191,B
S004-WAT-01,S004,饮用水,0.3780339956547195,C
S004-WAT-02,S004,饮用水,0.3780339956547195,C
S004-WAT-03,S004,饮用水,0.3780339956547195,C
S004-FOD-01,S004,应急食品,0.4025428212205724,B
S004-HYG-01,S004,生活卫生用品,0.4093524783626227,B
S005-MED-01,S005,医疗物资,0.5993637344463587,B
S005-WAT-01,S005,饮用水,0.5732371217059236,C
S005-WAT-02,S005,饮用水,0.5732371217059236,C
S005-WAT-03,S005,饮用水,0.5732371217059236,C
S005-FOD-01,S005,应急食品,0.5891867986285072,B
S005-HYG-01,S005,生活卫生用品,0.5938735111360731,B
S006-MED-01,S006,医疗物资,0.7523638151334409,B
S006-WAT-01,S006,饮用水,0.7387237173454864,C
S006-WAT-02,S006,饮用水,0.7387237173454864,C
S006-WAT-03,S006,饮用水,0.7387237173454864,C
S006-FOD-01,S006,应急食品,0.7456628464070575,B
S006-HYG-01,S006,生活卫生用品,0.748714878026639,B
S007-MED-01,S007,医疗物资,0.6391003067441163,B
S007-WAT-01,S007,饮用水,0.6233666752406164,C
S007-WAT-02,S007,饮用水,0.6233666752406164,C
S007-FOD-01,S007,应急食品,0.6293505308587424,B
S007-HYG-01,S007,生活卫生用品,0.6337793790373982,B
S008-MED-01,S008,医疗物资,0.3969134315126045,B
S008-WAT-01,S008,饮用水,0.35267647347351117,C
S008-WAT-02,S008,饮用水,0.35267647347351117,C
S008-FOD-01,S008,应急食品,0.3816212337913224,B
S008-HYG-01,S008,生活卫生用品,0.38868047527013505,B
S009-MED-01,S009,医疗物资,0.5751449934352015,B
S009-WAT-01,S009,饮用水,0.5439777291668453,B
S009-FOD-01,S009,应急食品,0.5643820528087267,B
S010-MED-01,S010,医疗物资,0.6309172452481646,B
S010-WAT-01,S010,饮用水,0.6093996166849562,C
S010-FOD-01,S010,应急食品,0.6210912451538395,B
S011-MED-01,S011,医疗物资,0.7821403974587633,B
S011-WAT-01,S011,饮用水,0.7701545784090358,C
S011-FOD-01,S011,应急食品,0.7764353451369533,B
S012-MED-01,S012,医疗物资,0.44185768011065407,B
S012-WAT-01,S012,饮用水,0.40403939404406364,C
S012-FOD-01,S012,应急食品,0.4275779032752923,B
S013-MED-01,S013,医疗物资,0.6308445100283582,B
S013-WAT-01,S013,饮用水,0.6069627210639044,C
S013-FOD-01,S013,应急食品,0.6210774530820538,B
S014-MED-01,S014,医疗物资,0.5655578217308753,B
S014-WAT-01,S014,饮用水,0.5481727276533817,C
S014-FOD-01,S014,应急食品,0.5544332256108052,C
S015-MED-01,S015,医疗物资,0.5332365143125377,B
S015-WAT-01,S015,饮用水,0.507387069565356,C
S015-FOD-01,S015,应急食品,0.5206235497449819,B
