service_id,energy_kwh,operation_s,patterns
S001,5.91336390139,3186.35009184,S001-C-100;S001-C-223
S002,8.43482914506,3858.56624737,S002-B-022;S002-C-037
S003,8.5454427295,4450.78737625,S003-B-022;S003-C-037
S004,6.15286012898,2301.05471881,S004-C-031
S005,4.22213737338,1877.18871553,S005-C-031
S006,2.59793629019,1561.55262448,S006-C-031
S007,3.41100380846,1907.60069833,S007-C-023
S008,5.83602066813,2199.71152467,S008-C-023
S009,2.09626540189,1558.46286442,S009-B-007
S010,1.82321656412,1555.40351971,S010-B-007
S011,1.07393668627,1188.42476283,S011-B-007
S012,2.75259995448,1922.82681425,S012-B-007
S013,1.82482819123,1510.51158878,S013-B-007
S014,2.14029097817,1869.74767529,S014-B-007
S015,2.30752850568,1828.32756016,S015-B-007
